Level,Point,Atlas,Icon,Name,Type,StarType,LightNumber,AwardId,SystemId,PromotionTaskId,StickersID
徽章等级(用于后端记录徽章的等级，前端不显示。注：徽章等级默认为0级),成就点数(升至该级徽章等级所需的总成就点数),图集名称,图标名称,前端显示的徽章名字,成就徽章类型（从低到高依次为1-N）,UI上的星级样式(0不显示，2显示两颗，3显示3颗，5显示5颗),点亮数量(需要点亮的星星个数),成就等级奖励（awardid),成就等级解锁特权/功能（PrivilegeSystemDesTable表中的功能ID，用于显示）,晋级挑战任务ID（有则显示，没有配置则为没有挑战任务）,贴纸ID
0,,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者,1,5,0,,,,
1,400,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者Ⅰ,1,5,1,4100010,1007,,
2,1000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者Ⅱ,1,5,2,4100020,1005,,
3,2500,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者Ⅲ,1,5,3,4100030,1001|1101,,
4,3800,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者Ⅳ,1,5,4,4100040,1008|1002,,
5,5300,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,初心者Ⅴ,1,5,5,4100050,1003|1103,,
6,7000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,开拓者Ⅰ,2,5,1,4100060,1105|1107,,
7,9000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,开拓者Ⅱ,2,5,2,4100070,1112|1113,,
8,11500,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,开拓者Ⅲ,2,5,3,4100080,1114,,
9,14500,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,开拓者Ⅳ,2,5,4,4100090,1115,,
10,18000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,开拓者Ⅴ,2,5,5,4100100,,,
11,21000,AchievementIcon,UI_AchievementIcon_Tiaozhanzhe.png,挑战者Ⅰ,3,5,1,4100110,1116,,
12,24000,AchievementIcon,UI_AchievementIcon_Tiaozhanzhe.png,挑战者Ⅱ,3,5,2,4100120,,,
13,27000,AchievementIcon,UI_AchievementIcon_Tiaozhanzhe.png,挑战者Ⅲ,3,5,3,4100130,1117,,
14,31000,AchievementIcon,UI_AchievementIcon_Tiaozhanzhe.png,挑战者Ⅳ,3,5,4,4100140,,,
15,35000,AchievementIcon,UI_AchievementIcon_Tiaozhanzhe.png,挑战者Ⅴ,3,5,5,4100150,,,
16,40000,AchievementIcon,UI_AchievementIcon_Lvxingjia.png,旅行家Ⅰ,4,5,1,4100160,,,
17,45000,AchievementIcon,UI_AchievementIcon_Lvxingjia.png,旅行家Ⅱ,4,5,2,4100170,,,
18,50000,AchievementIcon,UI_AchievementIcon_Lvxingjia.png,旅行家Ⅲ,4,5,3,4100180,,,
19,55000,AchievementIcon,UI_AchievementIcon_Lvxingjia.png,旅行家Ⅳ,4,5,4,4100190,,,
20,60000,AchievementIcon,UI_AchievementIcon_Lvxingjia.png,旅行家Ⅴ,4,5,5,4100200,,,
21,68000,AchievementIcon,UI_AchievementIcon_Maoxianjia.png,冒险家Ⅰ,5,5,1,,,,
22,76000,AchievementIcon,UI_AchievementIcon_Maoxianjia.png,冒险家Ⅱ,5,5,2,,,,
23,84000,AchievementIcon,UI_AchievementIcon_Maoxianjia.png,冒险家Ⅲ,5,5,3,,,,
24,92000,AchievementIcon,UI_AchievementIcon_Maoxianjia.png,冒险家Ⅳ,5,5,4,,,,
25,100000,AchievementIcon,UI_AchievementIcon_Maoxianjia.png,冒险家Ⅴ,5,5,5,,,,
