ID,Index,Group,Name,Target,TargetString,Desc,Point,Atlas,Icon,BroadCast,BroadCastText,Award,Title,HideType,StickersID,ShowPopup,OpensystemID,LocalizationArea
成就ID(单个成就的唯一ID，命名规则，8位ID，前3位对应成就分类，中间3位对应目标类型，最后两位01-99),成就分类(用于标识成就对应的分类，对应AchievementIndexTable表的Index列)分类：200个人成长|300日常活动|400社交关系|500冒险|600收集,成就分组(用于前端处理成就的堆叠显示，值为0表示当前成就不需要堆叠显示，值>0表示对应的成就分组),前端显示的成就名称,"成就目标(需要支持配置多个目标，用""|""隔开，单个目标的配置格式为""目标类型=参数1=参数2=参数3…=参数n"")注：参数1固定表示数量，方便程序读取；",成就目标详情字符串,前端显示的描述信息\r\n(参数从{0}开始，对应参数1),完成成就可获得的成就点数,成就图集,成就图标,"广播频道名称(不填表示不需要广播，填了具体的值表示需要广播的频道类型，用""|""隔开)（3工会，5世界）",广播的文本格式。{0}代表公会名称+玩家名称，{1}代表可点击的成就名称链接；注：如果是发送至公会频道的消息，则不显示公会名称,成就奖励（配置awardid）,成就称号（暂时1表示有称号，0或者不填表示无称号，等称号做好后再接称号）,0：不需要处理，与现有规则保持一致；\r\n1：表示当前成就为隐藏成就，未完成时不在成就界面中显示，完成之后再显示；\r\n2：表示当前成就为任务中使用的成就，在成就界面中永久隐藏，完成时不弹获得成就的界面；,贴纸ID,是否弹出特殊奖励框\r\n（1为弹出，0为不弹，不填默认为不弹）,,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
20000201,200,20000201,武器专精I,13=1=1,,获得{0}把{1}洞武器,25,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20000202,200,20000201,武器专精II,13=1=2,,获得{0}把{1}洞武器,75,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20000203,200,20000201,武器专精III,13=1=3,,获得{0}把{1}洞武器,175,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110010,,0,,,,
20000301,200,20000301,卡牌大师I,14=1=1,,任意{0}把武器插{1}张卡片,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20000302,200,20000301,卡牌大师II,14=1=2,,任意{0}把武器插{1}张卡片,75,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20000303,200,20000301,卡牌大师III,14=1=3,,任意{0}把武器插{1}张卡片,175,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110020,,0,,,,
20000401,200,20000401,积少成多I,3=1000000,,累计摆摊获得铜币达到100万,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20000402,200,20000401,积少成多II,3=8000000,,累计摆摊获得铜币达到800万,175,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,4110030,,0,,,,
20000403,200,20000401,积少成多III,3=30000000,,"累计摆摊获得铜币达到3,000万",225,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20000404,200,20000401,积少成多IV,3=150000000,,"累计摆摊获得铜币达到15,000万",375,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110040,,0,,,,
20000405,200,20000401,积少成多V,3=300000000,,"累计摆摊获得铜币达到30,000万",600,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110050,,0,,,,
20000501,200,20000501,精炼专家I,5=5,,任意1件装备成功精炼至{0},125,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,0,,
20000502,200,20000501,精炼专家II,5=10,,任意1件装备成功精炼至{0},375,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,0,,
20000503,200,20000501,精炼专家III,5=15,,任意1件装备成功精炼至{0},600,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20000504,200,20000501,精炼专家IV,5=20,,任意1件装备成功精炼至{0},1000,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110060,,0,,,,25
