Id,Type,Comments,Var,Notice,PvpCustomScore,PvpYoyoScore,PvpBgScore
Id,"1 击杀一名玩家(无变量)\r\n2 被击杀(无变量)\r\n3 本局游戏中，在时间{0}内连续击杀{1}名玩家并且自身不死\r\n4 本局游戏中，累计击杀{0}名玩家并且自身不死。\r\n5 击杀第{0}名的玩家\r\n6 自身血量低于{0}%时击杀其他玩家\r\n7 终结连杀（i.e.击杀的对象的连杀计数器>0)(无变量)\r\n8 协助击杀玩家（i.e.在目标玩家被击杀前{0}秒内，对目标玩家造成伤害或添加debuff，或给击杀者加过buff/回过血）\r\n9 复活一名玩家(无变量)\r\n",注释,变量,是否触发公告,角斗场自定义模式分值,角斗场溜溜猴模式分值,战场分值
100,1,击杀一名玩家(无变量),,1,2,2,2
200,2,被击杀（无变量）,,0,0,0,0
300,3,本局游戏中，在10秒内连续击杀2名玩家并且自身不死（2人多杀）,10=2,1,1,1,1
301,3,本局游戏中，在10秒内连续击杀3名玩家并且自身不死（3人多杀）,10=3,1,1,1,1
302,3,本局游戏中，在10秒内连续击杀4名玩家并且自身不死（4人多杀）,10=4,1,1,1,1
303,3,本局游戏中，在10秒内连续击杀5名玩家并且自身不死（5人多杀）,10=5,1,1,1,1
304,3,本局游戏中，在10秒内连续击杀6名玩家并且自身不死（6人多杀）,10=6,1,1,1,1
305,3,本局游戏中，在10秒内连续击杀7名玩家并且自身不死（7人多杀）,10=7,1,1,1,1
306,3,本局游戏中，在10秒内连续击杀8名玩家并且自身不死（8人多杀）,10=8,1,1,1,1
400,4,本局游戏中，累计击杀5名玩家并且自身不死。,5=0,0,1,1,1
500,5,击杀第1名的玩家,1=0,0,1,1,1
600,6,自身血量低于20%时击杀其他玩家,20=0,0,1,1,1
700,7,终结连杀（i.e.击杀的对象的连杀计数器>0) （无变量）,,1,0,0,0
800,8,协助击杀玩家（i.e.在目标玩家被击杀前{0}秒内，对目标玩家造成伤害或添加debuff，或给击杀者加过buff/回过血）,10=0,0,1,1,1
900,9,复活一名玩家（无变量）,,0,1,1,1
