ID,AwardID,ExtraAwardID,ActType,Param,IsTeamLeader,remarks,ProfessionLimit,,DungeonTeamProLimit,
编号,奖励ID,额外附加奖励ID（配自己也不会无限循环，只会触发一次）,活动类型（读TimeLimitActivityTable表里ActType，每个活动对应一个独立的Type）,参数（和TimeLimitActivity表的OpenParam对应，与活动类型共同作用，同时配代表或，只需要一个就另外一个配0即可）,队长是否可以获得额外奖励（这个配置为1则不用配活动类型）,备注,"职业限定（填允许的职业ID,参考ProfessionTable的ID",职业限制备注,副本中队伍特定职业限制（非助战）,
1,3100010,8057021,4,,,简单委托任务礼包,,,,
2,3100020,8057021,4,,,简单委托任务礼包,,,,
3,3100030,8057021,4,,,简单委托任务礼包,,,,
4,3100040,8057021,4,,,简单委托任务礼包,,,,
5,3100050,8057021,4,,,简单委托任务礼包,,,,
6,3100060,8057021,4,,,简单委托任务礼包,,,,
7,3100070,8057021,4,,,简单委托任务礼包,,,,
8,3100080,8057021,4,,,简单委托任务礼包,,,,
9,3100090,8057021,4,,,简单委托任务礼包,,,,
10,3110010,8057024,4,,,困难委托任务礼包,,,,
11,3110020,8057024,4,,,困难委托任务礼包,,,,
12,3110030,8057024,4,,,困难委托任务礼包,,,,
13,3110040,8057024,4,,,困难委托任务礼包,,,,
14,3110050,8057024,4,,,困难委托任务礼包,,,,
15,3110060,8057024,4,,,困难委托任务礼包,,,,
16,3110070,8057024,4,,,困难委托任务礼包,,,,
17,3110080,8057024,4,,,困难委托任务礼包,,,,
18,3110090,8057024,4,,,困难委托任务礼包,,,,
19,3150050,8057025,4,,,40点委托任务,,,,
20,3120010,8057024,4,,,圣歌,,,,
21,3130010,8057025,4,,,迷雾,,,,
22,5410010,8057026,4,,,mini参与奖--摇滚蝗虫--1洞首饰包--615版本,,,,
23,5410020,8057026,4,,,mini参与奖--蛙王--1洞首饰包--615版本,,,,
24,5410030,8057026,4,,,mini参与奖--蓝疯兔--1洞首饰包--615版本,,,,
25,5410040,8057026,4,,,mini参与奖--波利之王--1洞首饰包--615版本,,,,
26,5410050,8057026,4,,,mini参与奖--大脚熊mini--1洞首饰包--615版本,,,,
27,5410060,8057026,4,,,mini参与奖--巧克猴--1洞首饰包--615版本,,,,
28,5410070,8057026,4,,,mini参与奖--龙蝇--1洞首饰包--615版本,,,,
29,5410080,8057026,4,,,mini参与奖--深海人鱼--1洞首饰包--615版本,,,,
30,5410090,8057026,4,,,mini参与奖--蜗牛王--1洞首饰包--615版本,,,,
31,5410100,8057026,4,,,mini参与奖--流浪之狼--1洞首饰包--615版本,,,,
32,5410110,8057026,4,,,mini参与奖--狂暴蚁后--1洞首饰包--615版本,,,,
33,5410120,8057026,4,,,mini参与奖--幽灵波利--1洞首饰包--615版本,,,,
34,5410130,8057026,4,,,mini参与奖--君主魔碑--1洞首饰包--615版本,,,,
35,5410140,8057026,4,,,mini参与奖--地狱梦魇--1洞首饰包--615版本,,,,
36,5410150,8057026,4,,,mini参与奖--狂暴月夜猫--1洞首饰包--615版本,,,,
37,5410160,8057026,4,,,mini参与奖--远古海神--1洞首饰包--615版本,,,,
38,5410170,8057026,4,,,mini参与奖--狮鹫兽--1洞首饰包--615版本,,,,
39,5410180,8057026,4,,,mini参与奖--暗黑祭司--1洞首饰包--615版本,,,,
40,5410190,8057026,4,,,mini参与奖--犬妖首领--1洞首饰包--615版本,,,,
41,5410200,8057026,4,,,mini参与奖--安毕斯--1洞首饰包--615版本,,,,
42,3210010,8057021,4,,,海姆普通,,,,
43,3210060,8057021,4,,,海姆困难,,,,
44,3300050,8057027,4,,,无限塔5层,,,,
45,3300100,8057027,4,,,无限塔10层,,,,
46,3300150,8057027,4,,,无限塔15层,,,,
47,3300200,8057027,4,,,无限塔20层,,,,
48,3300250,8057027,4,,,无限塔25层,,,,
49,3300300,8057027,4,,,无限塔30层,,,,
50,3300350,8057027,4,,,无限塔35层,,,,
51,3300400,8057027,4,,,无限塔40层,,,,
52,3300450,8057027,4,,,无限塔45层,,,,
53,3300500,8057027,4,,,无限塔50层,,,,
54,3200010,8057021,4,,,北森迷宫主题副本首通奖励包（30级）---615版本,,,,
55,3200020,8057021,4,,,下水道主题副本首通奖励包（40级）---615版本,,,,
56,3200030,8057021,4,,,海盗船长主题副本首通奖励包（50级）---615版本,,,,
57,3200040,8057021,4,,,吉芬暗影主题副本首通奖励包（55级）---615版本,,,,
58,3200050,8057021,4,,,蚂蚁洞主题副本首通奖励包（60级）---615版本,,,,
59,3200060,8057021,4,,,金字塔主题副本首通奖励包（65级）---615版本,,,,
60,3200070,8057021,4,,,H7首通奖励包---615版本,,,,
61,3630010,8057027,4,,,极限挑战,,,,
62,3630020,8057027,4,,,极限挑战,,,,
63,3630030,8057027,4,,,极限挑战,,,,
64,6300010,8057027,4,,,奇闻,,,,
65,6200020,8057027,4,,,公会狩猎简单难度--615版本,,,,
66,6200030,8057027,4,,,公会狩猎普通难度--615版本,,,,
67,6200040,8057027,4,,,公会狩猎困难难度--615版本,,,,
68,3410010,8057021,4,,,擂台,,,,
69,3410020,8057021,4,,,擂台,,,,
70,3410030,8057021,4,,,擂台,,,,
71,3410040,8057021,4,,,擂台,,,,
72,3410050,8057021,4,,,擂台,,,,
73,3410060,8057021,4,,,擂台,,,,
74,5220010,8057027,4,,,MVP参与,,,,
75,5220020,8057027,4,,,MVP参与,,,,
76,5220030,8057027,4,,,MVP参与,,,,
77,5220040,8057027,4,,,MVP参与,,,,
78,5220050,8057027,4,,,MVP参与,,,,
79,5220060,8057027,4,,,MVP参与,,,,
80,5220070,8057027,4,,,MVP参与,,,,
81,5220080,8057027,4,,,MVP参与,,,,
82,5220090,8057027,4,,,MVP参与,,,,
83,5220100,8057027,4,,,MVP参与,,,,
84,5220110,8057027,4,,,MVP参与,,,,
85,5220120,8057027,4,,,MVP参与,,,,
86,5220130,8057027,4,,,MVP参与,,,,
87,5220140,8057027,4,,,MVP参与,,,,
88,5220150,8057027,4,,,MVP参与,,,,
89,5220160,8057027,4,,,MVP参与,,,,
90,5220170,8057027,4,,,MVP参与,,,,
91,5220690,8057027,4,,,MVP参与,,,,
92,5220700,8057027,4,,,MVP参与,,,,
93,5220710,8057027,4,,,MVP参与,,,,
94,5220720,8057027,4,,,MVP参与,,,,
95,5220730,8057027,4,,,MVP参与,,,,
96,5220740,8057027,4,,,MVP参与,,,,
97,5220750,8057027,4,,,MVP参与,,,,
98,5220760,8057027,4,,,MVP参与,,,,
99,5220770,8057027,4,,,MVP参与,,,,
100,5220780,8057027,4,,,MVP参与,,,,
101,5220790,8057027,4,,,MVP参与,,,,
102,5220800,8057027,4,,,MVP参与,,,,
103,5220810,8057027,4,,,MVP参与,,,,
104,5220820,8057027,4,,,MVP参与,,,,
105,5220830,8057027,4,,,MVP参与,,,,
106,5220840,8057027,4,,,MVP参与,,,,
107,5220850,8057027,4,,,MVP参与,,,,
108,5220860,8057027,4,,,MVP参与,,,,
109,5220870,8057027,4,,,MVP参与,,,,
110,5220880,8057027,4,,,MVP参与,,,,
111,5220890,8057027,4,,,MVP参与,,,,
112,5220900,8057027,4,,,MVP参与,,,,
113,5220910,8057027,4,,,MVP参与,,,,
114,5220920,8057027,4,,,MVP参与,,,,
115,5220930,8057027,4,,,MVP参与,,,,
116,5220940,8057027,4,,,MVP参与,,,,
117,5220950,8057027,4,,,MVP参与,,,,
118,5220960,8057027,4,,,MVP参与,,,,
119,5220970,8057027,4,,,MVP参与,,,,
120,5220980,8057027,4,,,MVP参与,,,,
121,5220990,8057027,4,,,MVP参与,,,,
122,5221000,8057027,4,,,MVP参与,,,,
123,5221010,8057027,4,,,MVP参与,,,,
124,5221020,8057027,4,,,MVP参与,,,,
125,3120010,8057022,,,1,圣歌翻牌,,,,
126,3130010,8057022,,,1,迷雾翻牌,,,,
127,3300050,8057022,,,1,无限塔5层,,,,
128,3300100,8057022,,,1,无尽之塔10层,,,,
129,3300150,8057022,,,1,无限塔15层,,,,
130,3300200,8057022,,,1,无限塔20层,,,,
131,3300250,8057022,,,1,无限塔25层,,,,
132,3300300,8057022,,,1,无限塔30层,,,,
133,3300350,8057022,,,1,无限塔35层,,,,
134,3300400,8057022,,,1,无限塔40层,,,,
135,3300450,8057022,,,1,无限塔45层,,,,
136,3300500,8057022,,,1,无限塔50层,,,,
137,3200010,8057022,,,1,北方异变之森剧情,,,,
138,3200020,8057022,,,1,普隆德拉下水道剧情,,,,
139,3200030,8057022,,,1,德瑞克幽灵船剧情,,,,
140,3200040,8057022,,,1,吉芬地下暗影剧情,,,,
141,3200050,8057022,,,1,蚂蚁地狱巢穴剧情,,,,
142,3200060,8057022,,,1,金字塔大冒险剧情,,,,
143,3200070,8057022,,,1,达纳托斯之战剧情,,,,
144,3630010,8057022,,,1,极限挑战1星奖励,,,,
145,3630020,8057022,,,1,极限挑战2星奖励,,,,
146,3630030,8057022,,,1,极限挑战3星奖励,,,,
147,6200030,8057022,,,1,公会狩猎普通,,,,
148,6200040,8057022,,,1,公会狩猎困难,,,,
149,3400010,8057022,,,1,战场胜利,,,,
150,3400020,8057022,,,1,战场失败,,,,
151,3210040,8057022,,,1,海姆普通,,,,
152,3210090,8057022,,,1,海姆困难,,,,
153,8000260,8000690,,301,,圣歌协同之证--助战,,,,
154,8000270,8000700,,301,,迷雾之森协同之证--助战,,,,
155,8000280,8000770,,301,,主题本普通协同之证--助战,,,,
156,8000290,8000780,,301,,主题本困难协同之证--助战,,,,
157,8000300,8000720,,301,,无限塔3、8协同之证--助战,,,,
158,8000310,8000730,,301,,无限塔5、10协同之证--助战,,,,
159,8000330,8000740,,301,,极限挑战*协同之证--助战,,,,
160,8000340,8000750,,301,,极限挑战**协同之证--助战,,,,
161,8000350,8000760,,301,,极限挑战***协同之证--助战,,,,
162,8000570,8000790,,301,,剧情本30难度,,,,
163,8000580,8000800,,301,,剧情本40难度,,,,
164,8000590,8000810,,301,,剧情本50难度,,,,
165,8000600,8000820,,301,,剧情本60难度,,,,
166,8000610,8000830,,301,,剧情本65难度,,,,
167,8000620,8000840,,301,,剧情本70难度,,,,
168,8000630,8000850,,301,,剧情本75难度,,,,
169,8000640,8000860,,301,,剧情本80难度,,,,
170,8000650,8000870,,301,,剧情本85难度,,,,
171,3400010,3440010,,302,,战场胜利,,,,
172,3400020,3440020,,302,,战场失败,,,,
173,3410010,3450010,,302,,擂台1层,,,,
174,3410020,3450020,,302,,擂台2层,,,,
175,3410030,3450030,,302,,擂台3层,,,,
176,3410040,3450040,,302,,擂台4层,,,,
177,3410050,3450050,,302,,擂台5层,,,,
178,3410060,3450060,,302,,擂台6层,,,,
179,3410070,3450070,,302,,擂台7层,,,,
180,3410080,3450080,,302,,擂台8层,,,,
181,3630010,3630040,,303,,极限挑战1星奖励,,,,
182,3630020,3630050,,303,,极限挑战2星奖励,,,,
183,3630030,3630060,,303,,极限挑战3星奖励,,,,
184,3110080,8200160,,305,,物种天然,,,,
185,3110090,8200160,,305,,高级魔物研究,,,,
186,3100050,8200150,,305,,收集道具,,,,
187,3110050,8200160,,305,,贸易传说手记|喷泉舞蹈会20点,,,,
188,3110020,8200160,,305,,白羽团历练,,,,
189,3150050,8200170,,305,,喷泉舞蹈会40点,,,,
190,3120010,8200160,,305,,圣歌试炼,,,,
191,3100010,8200150,,305,,教国谍影,,,,
192,3100020,8200150,,305,,灵巧试炼,,,,
