ID,Comment,BornBuff,Listeners,LuaFunction
场景ID（1~500主城和野图；501~999迷宫；1001~1999特殊场景；2000~2999，镜像副本）,场景描述备注,进场景加Buff,监听项（ID=参数=是否有公告。无参数的填-1，时间用毫秒）,Lua函数（公告函数|计分函数）
401,狩猎场,3614901|3625601|5093601,0=-1=0|1=-1=0|2=10000=1|3=10000=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|16=27625=1|16=27626=1|16=27635=1|16=27636=1,PVPNotice|PVPScoreZc
1601,GVG普隆德拉1_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1602,GVG普隆德拉1_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1603,GVG普隆德拉1_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1604,GVG普隆德拉2_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1605,GVG普隆德拉2_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1606,GVG普隆德拉2_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1607,GVG普隆德拉3_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1608,GVG普隆德拉3_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1609,GVG普隆德拉3_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1610,GVG普隆德拉4_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1611,GVG普隆德拉4_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1612,GVG普隆德拉4_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1621,GVG吉芬1_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1622,GVG吉芬1_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1623,GVG吉芬1_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1624,GVG吉芬2_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1625,GVG吉芬2_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1626,GVG吉芬2_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1627,GVG吉芬3_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1628,GVG吉芬3_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1629,GVG吉芬3_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1630,GVG吉芬4_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1631,GVG吉芬4_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1632,GVG吉芬4_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1641,GVG斐扬1_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1642,GVG斐扬1_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1643,GVG斐扬1_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1644,GVG斐扬2_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1645,GVG斐扬2_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1646,GVG斐扬2_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1647,GVG斐扬3_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1648,GVG斐扬3_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1649,GVG斐扬3_3,5090201|5091501|5094001|5093701|5093801|5093601,,
1650,GVG斐扬4_1,5090201|5091501|5094001|5093701|5093801|5093601,,
1651,GVG斐扬4_2,5090201|5091501|5094001|5093701|5093801|5093601,,
1652,GVG斐扬4_3,5090201|5091501|5094001|5093701|5093801|5093601,,
