【此数据覆盖用户数TOP300机型，以benchmark分数进行排名，并进行分档分类】只关心档位和型号，档位1最高，4最低,,,,,,,,,,,,,,,,,,,,,,
综合分排名,综合评分,档位,用户占比排名,用户占比(%),手机名,型号,厂商,CPU名,CPU型号,核心数,CPU频率,内存(GB),启用Zram,GPU名,GPU频率,是否降频设备,OpenGL_es,Vulkan,安卓7.0以上用户比例,分辨率,异形屏,CPU位数
1,500,2,71,0.37,MIX 2S,MIX 2S,小米,高通 骁龙845,SDM845,8,2400,6,否,Adreno630,710,0,3.2,1.0 and 1.1,0.366189,2160x1080,否,64
2,500,2,130,0.18,一加6,ONEPLUS A6000,一加,高通 骁龙845,SDM845,8,2800,8,否,Adreno630,710,0,3.2,1.0 and 1.1,0.18,2280x1080,否,64
3,500,2,216,0.09,三星（SAMSUNG） Galaxy S9,SM-G9600,三星,高通 骁龙845,SDM845,8,2800,4,--,Adreno630,710,0,3.2,1.0 and 1.1,0.09,2960x1440,否,64
4,500,2,134,0.17,三星（SAMSUNG） Galaxy S9+,SM-G9650,三星,高通 骁龙845,SDM845,8,2800,4,是,Adreno630,710,0,3.2,1.0 and 1.1,0.169551,2960x1440,否,64
5,500,2,7,1.64,小米8,MI 8,小米,高通 骁龙845,SDM845,8,2800,6,否,Adreno630,710,0,3.2,1.0 and 1.1,1.637284,2248x1080,是,64
6,500,2,194,0.1,黑鲨游戏手机,SKR-A0,小米,高通 骁龙845,SDM845,8,2800,8,是,Adreno630,710,1,3.2,1.0 and 1.1,0.1,2280x1080,否,64
7,468.95,2,149,0.14,一加5T（8GB RAM/全网通）,ONEPLUS A5010,一加,高通 骁龙835,MSM8998,8,2400,6,否,Adreno540,710,0,3.2,1,0.139168,2160x1080,否,64
8,468.95,2,167,0.12,一加5（6GB RAM/全网通）,ONEPLUS A5000,一加,高通 骁龙835,MSM8998,8,2400,6,否,Adreno540,710,0,3.2,1,0.119153,1920x1080,否,64
9,468.95,2,46,0.51,小米MIX 2（全网通）,MIX 2,小米,高通 骁龙835,MSM8998,8,2400,6,否,Adreno540,710,0,3.2,1,0.424004,2160x1080,否,64
10,468.95,2,227,0.08,努比亚Z17（尊享版/全网通）,NX563J,努比亚,高通 骁龙835,MSM8998,8,2400,8,否,Adreno540,710,0,3.2,1,0.079697,1920x1080,否,64
11,468.95,2,15,1.07,小米6（6GB RAM/全网通）,MI 6,小米,高通 骁龙835,MSM8998,8,2400,6,否,Adreno540,710,0,3.2,1,0.956978,1920x1080,否,64
12,468.95,2,70,0.37,三星GALAXY S8+（G9550/单卡版/全网通）,SM-G9550,三星,高通 骁龙835,MSM8998,8,2400,4,否,Adreno540,710,0,3.2,1,0.368041,2960x1440,否,64
13,468.95,2,151,0.14,三星GALAXY Note 8（N9500/全网通）,SM-N9500,三星,高通 骁龙835,MSM8998,8,2400,6,是,Adreno540,710,0,3.2,1,0.14,2960×1440,否,64
