ID,Name,ActionName,SearchMode,MaxTime,SpecialEffect,EffectParent,AudioPath
编号,名字,动作名,检索方式（0不检索；1根据性别和prefab检索；2根据职业检索）默认1,最长时间（-1代表使用默认时间）,挂载的特效ID,特效挂载节点（0脚下  1右手  2左手 3头盔 4背后 5尾部 6Mount7Cart8非人形）,音效（要填路径）
1001,坐,Zuo,,-1,,,
1002,躺,Tang,,-1,,,
1003,洗澡,XiZao,,-1,,,
1004,切菜,ChuShi_QieCai,,-1,,,
1005,烹饪,PengRen,,12,,,
1006,跷跷板,QiaoQiaoBan,,-1,,,
1010,躺椅（坐）,TangYiZuo,,-1,,,
1,坐下(表情动作),Zuo,2,-1,,,
2,赌气(表情动作),DuQi,,2.4,,,
3,飞吻(表情动作),FeiWen,,2.4,123003,0,
4,撒娇(表情动作),SaJiao,,3.1,123011,0,
5,坐下(表情动作),Zuo,2,-1,,,
6,坐下(表情动作),Zuo,2,5,,,
1007,下坠,XiaZhui,,-1,,,
1008,站起,ZhanQi,,-1,,,
1101,拍灰尘,PaiHuiChen,,-1,,,
1103,伸懒腰,ShenLanYao,,-1,,,
1105,男思考,SiKao,,-1,,,
1106,女揉眼睛,RouYanJing,,-1,,,
1203,发抖,FaDou,,-1,,,
1205,擦汗,CaHan,,-1,,,
1207,撑伞：开始(男1),Idle_To_Chengsan,,-1,120018,1,
1208,撑伞：持续(男1),Chengsan_Idle,,-1,120019,1,
1209,撑伞：结束(男1),Chengsan_To_Idle,,-1,120020,1,
1210,挡雨：开始,Idle_To_Zheyu,,-1,,,
1211,挡雨：持续,Zheyu_Idle,,-1,,,
1212,挡雨：结束,Zheyu_To_Idle,,-1,,,
1213,撑伞：开始(男2),Idle_To_Chengsan,,-1,120011,1,
1214,撑伞：持续(男2),Chengsan_Idle,,-1,120012,1,
1215,撑伞：结束(男2),Chengsan_To_Idle,,-1,120013,1,
1216,撑伞：开始(女1),Idle_To_Chengsan,,-1,120026,1,
1217,撑伞：持续(女1),Chengsan_Idle,,-1,120027,1,
1218,撑伞：结束(女1),Chengsan_To_Idle,,-1,120028,1,
1219,撑伞：开始(女2),Idle_To_Chengsan,,-1,120023,1,
1220,撑伞：持续(女2),Chengsan_Idle,,-1,120024,1,
1221,撑伞：结束(女2),Chengsan_To_Idle,,-1,120025,1,
1901,拉机关,CaiJi,,0.3,,,
2001,采集,CaiJi,,-1,,,
2002,喝酒-任务-普隆德拉,HeJiu,,-1,120031,1,
2003,浇花-任务,JiaoShui,,4,120029,1,
2004,受伤坐-任务-安德鲁,ShouShangZuo,,-1,,,
2005,采集(疗伤)——不循环,CaiJi,,2,,,
2006,递交物品,DiShang,,3,,,
2007,抚摸,FuMo,,3,,,
2008,食用,ShiYong,,3,,,
2009,重病躺下（小王子专用）,TangXia,,-1,,,
2010,死亡动作,Death,,-1,,,
2011,破坏水晶,WaKuang,,3,,,
2012,敬礼,JingLi,,2,,,
2013,拍手,PaiShou,,10,,,
2014,查看,ChaKan,,3,,,
2015,丢瓶子,DiuPingZi,,3,,,
2016,拉弓,LaGong,,5,,,
2017,宣誓,XuanShi,,4,,,
2018,拆信封,ChaiXinFeng,,4,,,
2019,阅读,YueDu,,4,,,
2020,制作箭矢,ZhiJian,,5,,,
2021,念咒,NianZhou,,3,,,
2022,抛洒,PaoSa,1,2.2,,,
2023,砍树,KanShu,1,3,,,
2024,丢硬币,PaoYingBi,1,2.6,,,
2025,咏唱,PaoYingBi,1,2.6,,,
2026,搬运,BanYun,1,2.6,,,
2027,抛洒加花瓣特效,PaoSa,1,4,700002,,
2028,启动热气球,QiDongReQiQiu,1,-1,,,
2029,躲起来,DuoQiLai,1,-1,,,
2030,配置药剂,PeiZhiYaoJi,1,-1,,,
2031,发射信号,FaSheXinHao,1,-1,,,
2032,捡起挠头疑惑,JianWeiTuoJuan,1,-1,,,
2033,拔剑,Common_M_BaJian,0,-1,,,
2034,获取能量,GanShouNengLiang,,-1,,,
2035,吃,ChiDongXi,,-1,,,
2101,钓鱼：待机-未抛竿,DiaoYu_Idle,,-1,,,
2102,钓鱼：抛竿,DiaoYu_PaoGan,,-1,,,
2103,钓鱼：待机-等于上钩,DiaoYu_PaoGan_Idle,,-1,,,
2104,钓鱼：用力拉杆,DiaoYu_LaGan_Idle,,-1,,,
2105,钓鱼：起杆（通常）,DiaoYu_QiGan_01,,-1,,,
2106,钓鱼：起杆-大鱼,DiaoYu_QiGan_02,,-1,,,
2107,自动钓鱼,DiaoYu_Auto,,8,,,
2151,采摘,CaiZhai,,-1,,,UI/Skills/Picking
2152,挖矿,WaKuang,,-1,,,
2108,老奶奶熬汤（老奶奶NPC专用）,AoTang,,-1,,,
2109,羌羌水越来|道具商人,QiangQiangWuDao_04_Loop,,-1,,,
2110,羌羌水越来|妹子商人,QiangQiangWuDao_01_Loop,,-1,,,
2111,羌羌水越来|道具商人,QiangQiangWuDao_02_Loop,,-1,,,
2112,羌羌水越来|纳迷,QiangQiangWuDao_03_Loop,,-1,,,
2113,羌羌水越来|卡普拉,QiangQiangWuDao_04_Loop,,-1,,,
2114,羌羌水越来|尤诺,QiangQiangWuDao_05_Loop,,-1,,,
2115,做饼揉面,ZuoSongBing_Loop,,-1,2691170,2,
2116,分糖,SaTang_Loop,,-1,2691166,1,
2117,拔河1,BaHe_01 _Loop,,-1,,,
2118,拔河2,BaHe_Loop,,-1,,,
2119,秋夕射箭,LaGong,,5,,,
2120,打牌1,DaPai_Loop,,-1,2691171,2,
2121,打牌2,DaPai_01_Loop,,-1,2691171,2,
2122,打牌3,DaPai_02_Loop,,-1,2691172,2,
2123,打牌4,DaPai_03_Loop,,-1,2691172,2,
6040,烹饪,PengRen,,4,,,
6050,制药,PengRen,,4,,,
6060,甜品,PengRen,,4,,,
6070,武器冶炼,PengRen,,4,,,
6080,防具冶炼,PengRen,,4,,,
6090,饰品冶炼,PengRen,,4,,,
6100,宝箱（采集物）打开,Open,1,0.67,,,
6101,宝箱（采集物）打开后,Open_Idle,1,-1,,,
6102,魔物宝藏宝箱（采集物）打开,DaKai,1,1,,,
6103,魔物宝藏宝箱（采集物）打开后,DaKai_Idle,1,-1,,,
6110,烹饪组合,PengRen,,4,,,
6120,制药组合,PengRen,,4,,,
7,抚摸(表情动作),FuMo,,3,,,
8,拍手(表情动作),PaiShou,,10,,,
9,食用(表情动作),ShiYong,,3,,,
10,敬礼(表情动作),JingLi,,2,,,
11,思考(表情动作),SiKao,,-1,,,
12,揉眼睛(表情动作),RouYanJing,,1.333,,,
13,比心_主动（表情动作）,BiXin,,5.4,123001,0,
14,比心_被动（表情动作）,BiXin,,5.4,123001,0,
15,拥抱_主动（表情动作）,YongBao,,3.8,123002,0,
16,拥抱_被动（表情动作）,YongBao,,3.8,,,
17,躺下（表情动作）,TangXia,,-1,,,
18,嘲笑（表情动作）,ChaoXiao,,3.6,123009,0,
19,卖萌（表情动作）,MaiMeng,,3.5,123005,0,
20,告白（表情动作）,GaoBai,,2.667,123006,1,
21,加油（表情动作）,JiaYou,,3.9,123007,0,
22,讨厌（表情动作）,TaoYan,,4.1,123008,0,
23,亲吻_主动（表情动作）,QinWen,,3.2,,,
24,亲吻_被动（表情动作）,QinWen,,3.2,123010,0,
25,击掌（表情动作）,JiZhang01,,2.5,,,
26,交互被动,JiaoHu_01,,3,123002,0,
27,撒娇,Show_01,,-1,123002,0,
28,宠物攻击,Attack_01,,-1,,,
29,宠物施法,Release_01,,-1,,,
3000,敲打,Common_M_DaTie_QiaoJi,0,1.3,,,
3001,战场MVP展示动画,Victory,,-1,,,
20001,驱魔仪式助阵法师1号男动作,Acolyte_F_Skill_Singing_02_Hide,0,-1,,,
20002,驱魔仪式助阵法师2号女动作,Acolyte_F_Skill_Singing_02_Hide,0,-1,,,
20003,驱魔仪式助阵法师3号男动作,Acolyte_F_Skill_Singing_02_Hide,0,-1,,,
20004,驱魔仪式助阵法师4号女动作,Acolyte_F_Skill_Singing_02_Hide,0,-1,,,
20005,驱魔仪式小王子受伤,Common_M_ShouShangZuo,0,-1,,,
20006,驱魔仪式稳固阵法动作,Common_F_Cifu_Release,0,-1,,,
20007,灵巧修炼：破坏,Thief_M_Skill_Attack_01_None,0,-1,,,
20008,男刺客坐下,Assassin_M_Zuo,0,-1,,,
