Id,ShortId,EquipId,AttrName,Type,ShowDetail,FloorNum,TypeId,MatchId,ParentId,AttrTips,SubAttrDes
素质属性ID,排序ID,装备属性ID（没有填-1）,用于显示的属性名,属性类型(1 一级属性， 2二级属性),二级属性是否显示详细信息（0不显示，1显示）,是否保留两位小数,模块ID,捆绑ID,父ID，仅子属性需要填写,属性的轻提示,子属性外显(Tips中作为子属性显示时的属性名称和说明，[属性名称]=[属性说明])
13,1,14,力量Str,1,0,0,1,,,每增加1点力量能够提供1点近战素质物理攻击、0.2点远程素质物理攻击以及0.5%近战类武器攻击；每增加1点素质力量能够提供30点负重上限,
17,2,18,敏捷Agi,1,0,0,1,,,每增加1点敏捷能够提供1点闪避、0.2点素质物理防御以及一定的攻速加成效果,
21,3,22,体质Vit,1,0,0,1,,,每增加1点体质能够提供1%自身生命上限、0.5素质物理防御、0.2素质魔法防御以及0.2生命回复效果,
15,4,16,智力Int,1,0,0,1,,,每增加1点智力能够提供1.5点素质魔法攻击、1%自身魔法上限、1点素质魔法防御、少量魔法回复效果以及减少少量技能吟唱时间,
19,5,20,灵巧Dex,1,0,0,1,,,每增加1点灵巧能够提供1点远程素质物理攻击、0.2点近战素质物理攻击、0.5%远程类武器攻击、0.2点素质魔法防御、1点命中少量的攻速加成以及少量技能吟唱时间缩减,
23,6,24,幸运Luk,1,0,0,1,,,每增加1点幸运能够提供0.3点暴击和0.2点暴击抵抗、0.2点素质物理攻击以及0.3点素质魔法攻击,
127,1,-1,生命值,2,0,0,2,,,战斗中承受敌方伤害，为0时死亡,
128,2,-1,魔法值,2,0,0,2,,,释放技能一般需要消耗的魔法值，低于技能所需值时会无法释放对应技能,
117,3,121,物理攻击,2,1,0,2,,,提升物理系技能的伤害能力,素质物理攻击|玩家六维属性和Base等级带来的物理攻击，作用于物理技能时，数值将会翻倍计算至物理攻击中
119,4,123,物理防御,2,1,0,2,,,减免物理系技能的伤害能力,素质物理防御|玩家六维属性和Base等级带来的物理防御，会使受到的物理伤害减少固定值
118,5,122,魔法攻击,2,1,0,2,,,提升魔法系技能的伤害能力,素质魔法攻击|玩家六维属性和Base等级带来的魔法攻击
120,6,124,魔法防御,2,1,0,2,,,减免魔法系技能的伤害能力,素质魔法防御|玩家六维属性和Base等级带来的魔法防御，会使受到的魔法伤害减少固定值
339,7,-1,精炼物攻,2,0,0,2,,,精炼系统带来的物理攻击，作用于物理技能时，数值将会计算至物理攻击中,
63,8,-1,精炼物防,2,0,0,2,,,每1点精炼物防约增加0.2%的物理减伤，精炼物防越高，实际获得的效果会越弱,
340,9,-1,精炼魔攻,2,0,0,2,,,精炼系统带来的魔法攻击，作用于魔法技能时，数值将会计算至魔法攻击中,
64,10,-1,精炼魔防,2,0,0,2,,,每1点精炼魔防约增加0.5%的魔法减伤，精炼魔防越高，实际获得的效果会越弱,
131,11,-1,生命回复,2,0,0,2,,,每10秒回复的生命值,
132,12,-1,魔法回复,2,0,0,2,,,每10秒回复的魔法值,
129,13,-1,命中,2,0,0,2,,,提升物理系技能或者普通攻击击中目标的几率，基础值为80,
130,14,-1,闪避,2,0,0,2,,,降低敌方物理系技能或者普通攻击击中自身的几率,
93,1,-1,攻击速度%,2,0,0,3,,,每1秒可进行普通攻击的次数，技能的次数会受到衰减,
116,2,-1,移动速度%,2,0,0,3,,,未乘坐载具时角色的移动速度,
126,3,-1,可变吟唱,2,0,0,3,,,当前释放吟唱技能可变吟唱减少的固定值,
302,4,-1,可变吟唱%,2,0,0,3,,,当前释放吟唱技能可变吟唱减少的百分比,
125,5,-1,固定吟唱,2,0,0,3,,,当前释放吟唱技能固定吟唱减少的固定值,
301,6,-1,固定吟唱%,2,0,0,3,,,当前释放吟唱技能固定吟唱减少的百分比,
90,7,-1,治疗效果%,2,0,1,3,,,治疗技能获得的治疗加成值,
91,8,-1,受治疗效果%,2,0,1,3,,,被治疗技能作用的加成值,
133,9,-1,暴击,2,0,0,3,,,提升普通攻击打出高额伤害的几率,
134,10,-1,暴击防护,2,0,0,3,,,降低敌方普通攻击打出高额伤害的几率,
59,11,-1,暴伤%,2,0,1,3,,,提升暴击时的高额伤害,
60,12,-1,暴伤防护%,2,0,1,3,,,降低敌方暴击时的高额伤害,
427,13,-1,物伤加成%,2,0,1,3,,,提升物理系技能或者普通攻击的伤害,
428,14,-1,物伤减免%,2,0,1,3,,,降低敌方物理系技能或者普通攻击的伤害,
429,15,-1,魔伤加成%,2,0,1,3,,,提升魔法系技能的伤害,
430,16,-1,魔伤减免%,2,0,1,3,,,降低敌方魔法系技能的伤害,
44,17,-1,忽视物防%,2,0,1,3,,,无视目标的一部分物理防御,
46,18,-1,忽视魔防%,2,0,1,3,,,无视目标的一部分魔法防御,
310,19,-1,近战物理伤害%,2,0,1,3,,,提升近距离物理系技能和近距离普通攻击的伤害,
249,20,-1,远程物理伤害%,2,0,1,3,,,提升远距离物理系技能和远距离普通攻击的伤害,
346,21,-1,物理追加伤害,2,0,0,3,,,物理攻击造成伤害时，无视对方防御和减伤额外附加的伤害量,
347,22,-1,魔法追加伤害,2,0,0,3,,,魔法攻击造成伤害时，无视对方防御和减伤额外附加的伤害量,
48,1,-1,生命上限%,2,0,1,4,,,当前生命上限提升百分比,
50,2,-1,魔法上限%,2,0,1,4,,,当前魔法上限提升百分比,
441,3,-1,装备物理攻击%,2,0,1,4,,,当前装备物理攻击力提升百分比,
442,4,-1,装备魔法攻击%,2,0,1,4,,,当前素质魔法攻击力、装备魔法攻击力提升百分比,
443,5,-1,装备物理防御%,2,0,1,4,,,当前装备物理防御提升百分比,
444,6,-1,装备魔法防御%,2,0,1,4,,,当前装备魔法防御提升百分比,
222,7,-1,对小体型魔物伤害增加%,2,0,1,4,,,对小体型魔物伤害增加%,
229,8,-1,受到小体型魔物伤害减免%,2,0,1,4,,,受到小体型魔物伤害减免%,
223,9,-1,对中体型魔物伤害增加%,2,0,1,4,,,对中体型魔物伤害增加%,
230,10,-1,受到中体型魔物伤害减免%,2,0,1,4,,,受到中体型魔物伤害减免%,
224,11,-1,对大体型魔物伤害增加%,2,0,1,4,,,对大体型魔物伤害增加%,
231,12,-1,受到大体型魔物伤害减免%,2,0,1,4,,,受到大体型魔物伤害减免%,
202,13,-1,对动物种族魔物伤害增加%,2,0,1,4,,,对动物种族魔物伤害增加%,
212,14,-1,受到动物种族魔物伤害减免%,2,0,1,4,,,受到动物种族魔物伤害减免%,
203,15,-1,对人形种族魔物伤害增加%,2,0,1,4,,,对人形种族魔物伤害增加%,
213,16,-1,受到人形种族魔物伤害减免%,2,0,1,4,,,受到人形种族魔物伤害减免%,
204,17,-1,对恶魔种族魔物伤害增加%,2,0,1,4,,,对恶魔种族魔物伤害增加%,
214,18,-1,受到恶魔种族魔物伤害减免%,2,0,1,4,,,受到恶魔种族魔物伤害减免%,
205,19,-1,对植物种族魔物伤害增加%,2,0,1,4,,,对植物种族魔物伤害增加%,
215,20,-1,受到植物种族魔物伤害减免%,2,0,1,4,,,受到植物种族魔物伤害减免%,
206,21,-1,对不死种族魔物伤害增加%,2,0,1,4,,,对不死种族魔物伤害增加%,
216,22,-1,受到不死种族魔物伤害减免%,2,0,1,4,,,受到不死种族魔物伤害减免%,
207,23,-1,对无形种族魔物伤害增加%,2,0,1,4,,,对无形种族魔物伤害增加%,
217,24,-1,受到无形种族魔物伤害减免%,2,0,1,4,,,受到无形种族魔物伤害减免%,
208,25,-1,对鱼贝种族魔物伤害增加%,2,0,1,4,,,对鱼贝种族魔物伤害增加%,
218,26,-1,受到鱼贝种族魔物伤害减免%,2,0,1,4,,,受到鱼贝种族魔物伤害减免%,
209,27,-1,对天使种族魔物伤害增加%,2,0,1,4,,,对天使种族魔物伤害增加%,
