Profession,STR,INT,AGI,DEX,VIT,LUK
流派,力量,智力,敏捷,灵巧,体力,幸运
1|100001,1,1,1,1,1,1
2|100001,2,1,1,1,1,1
3|100001,4,1,1,1,1,1
4|100001,4,1,1,2,1,1
5|100001,6,1,1,2,1,1
6|100001,8,1,1,2,1,1
7|100001,9,1,1,2,1,1
8|100001,11,1,1,2,1,1
9|100001,12,1,1,2,1,1
10|100001,13,1,1,2,1,1
11|100001,28,1,1,2,1,1
12|100001,29,1,1,3,1,1
13|100001,30,1,1,3,1,1
14|100001,30,1,1,5,1,1
15|100001,31,1,1,5,1,1
16|100001,31,1,4,5,1,1
17|100001,31,1,6,6,1,1
18|100001,32,1,7,6,1,1
19|100001,32,1,9,7,1,1
20|100001,32,1,11,7,1,1
21|100001,32,1,13,7,1,1
22|100001,33,1,13,8,1,1
23|100001,33,1,15,8,1,1
24|100001,34,1,16,8,1,1
25|100001,34,1,18,8,1,1
26|100001,36,1,18,8,1,1
27|100001,37,1,19,8,1,1
28|100001,38,1,19,9,1,1
29|100001,38,1,21,9,1,1
30|100001,39,1,22,9,1,1
31|100001,40,1,22,9,1,1
32|100001,41,1,23,9,1,1
33|100001,42,1,24,9,1,1
34|100001,43,1,25,9,1,1
35|100001,44,1,25,10,1,1
36|100001,45,1,26,10,1,1
37|100001,46,1,27,10,1,1
38|100001,47,1,28,10,1,1
39|100001,48,1,29,10,1,1
40|100001,49,1,29,11,1,1
41|100001,50,1,29,12,1,1
42|100001,51,1,30,12,1,1
43|100001,52,1,31,12,1,1
44|100001,53,1,31,13,1,1
45|100001,53,1,33,13,1,1
46|100001,53,1,35,14,1,1
47|100001,54,1,36,14,1,1
48|100001,55,1,36,16,1,1
49|100001,55,1,37,18,1,1
50|100001,55,1,38,20,1,1
51|100001,55,1,39,22,1,1
52|100001,55,1,40,24,1,1
53|100001,55,1,41,25,1,1
54|100001,56,1,41,27,1,1
55|100001,57,1,42,27,1,1
56|100001,58,1,43,27,1,1
57|100001,59,1,44,27,1,1
58|100001,60,1,45,27,1,1
59|100001,60,1,46,29,1,1
60|100001,61,1,47,29,1,1
61|100001,62,1,48,29,1,1
62|100001,63,1,49,30,1,1
63|100001,64,1,50,30,1,1
64|100001,65,1,51,30,1,1
65|100001,66,1,52,30,1,1
66|100001,67,1,53,30,1,1
67|100001,68,1,54,30,1,1
68|100001,69,1,55,30,1,1
69|100001,70,1,55,32,1,1
70|100001,70,1,56,33,1,1
71|100001,70,1,57,35,1,1
72|100001,70,1,59,35,1,1
73|100001,71,1,60,35,1,1
74|100001,72,1,61,35,1,1
75|100001,73,1,62,35,1,1
76|100001,74,1,64,35,1,1
77|100001,75,1,65,35,1,1
78|100001,75,1,67,35,1,1
