AuctionID,ItemID,,AuctionType,MoneyType,Enable,Overlap,AuctionPrice,BaseRaisePrice,SellPrice,InventoryUpperLimit,PriceBaseFloat,PriceFloatLimit,ServerLevelLimit,TimeLimit,Weight,Group,Recommend,ShowIndex,SortID,LocalizationArea
拍卖ID(道具ID有可能重复),道具ID,道具名称(策划用),拍卖类型(1玩家上架2系统上架),道具类型(1喵喵果实道具2Zeny币道具),是否有效(1有效0无效),拍卖上架的堆叠数量(不能超过道具本身的堆叠上限),拍卖价格,拍卖基础加价,出售基础价格，0=0表示不能出售(只对AuctionType值为1的道具生效),起拍库存下限(只对AuctionType值为1的道具生效),基础价格浮动(绝对值)(只对AuctionType值为1的道具生效)注：喵喵果实起拍的道具，售价永远不变，需要填0,价格浮动下限(绝对值)(只对AuctionType值为1的道具生效)注：喵喵果实起拍的道具，售价永远不变，需要填0,服务器等级限制(只对AuctionType值为2的道具生效),自然时间限制，格式：开始日期|结束日期(只对AuctionType值为2的道具生效),随机权重(只对AuctionType值为2的道具生效),随机用分组(只对AuctionType值为2的道具生效),是否推荐(0不推荐，1推荐，需要显示在推荐页签里),显示类型(对应AuctionIndexTable表的分类),排序ID,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
100001,4010010,海葵卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,1,101,101001,
100002,4010046,邪骸矿工卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,1,101,101002,
100003,4010030,邪骸士兵卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101003,
100004,4010029,邪骸弓箭手卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101004,
100005,4010017,哥布灵首领卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,101,101005,
100006,4010025,弓箭哥布灵卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101006,
100007,4010027,直升机哥布灵卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101007,
100008,4010026,喷射哥布灵卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101008,
100009,4010028,沙漠之狼卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,1,101,101009,
100010,4010040,米洛斯卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,1,101,101010,
100011,4010031,黑蛇卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101011,
100012,4010056,犬妖弓箭手卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101012,
100013,4010057,犬妖首领卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101013,
100014,4020003,达拉蛙卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,102,102001,
100015,4020010,锹形虫卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,0,102,102002,
100016,4030013,马克卡片,1,2,1,1,102=120000,102=2000,102=600000,3,15000,120000,0,,0,0,0,103,103001,
100017,4030020,异变鱼卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,103,103002,
100018,4030015,泥人卡片,1,2,1,1,102=120000,102=2000,102=200000,3,5000,120000,0,,0,0,0,103,103003,
100019,4030021,土人卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,103,103004,
100020,4030012,艾吉欧蜈蚣卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,103,103005,
100021,4030016,帕莎纳卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,103,103006,
100022,4040017,兽人婴儿卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104001,
100023,4040021,九尾狐卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104002,
