Id,AudioName,AudioBank,AudioPath,Length,Area
编号,音效名,bank名,事件名,时长,区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,打开界面,UI,Open,0.239,
2,关闭,UI,Close,0.219,
3,通用退回,UI,Back,0.279,
4,按钮默认音效,UI,Click,0.292,
5,点击各类非按钮区域,UI,MiniMapZoom,0.163,
6,确认/取消,UI,Button,0.454,
7,切页,UI,Tab,0.133,
8,道具-红药,Item,HP,0.537,
9,道具-蓝药,Item,MP,0.561,
10,道具-苍蝇翅膀,Item,FlyWing,1.242,
11,道具-蝴蝶翅膀,Item,ButterflyWing,0.971,
12,base升级,UI,LevelUp,3.629,
13,烹饪开始,Behavior,SingleCooking,,
14,QTE开始,Behavior,CookingQte,,
15,QTE成功,Behavior,CookintQteSuccessful,,
16,QTE失败,Behavior,CookintQteFail,,
17,登录,UI,Login,2.485,
18,Uibutton登录,UI,UIButtonLogin,3.153,
19,副本胜利,UI,Victory ,4.372,
20,锻造,UI,Forge,2.367,
21,鉴定,UI,Identify,1.237,
22,job升级,UI,JobLevelUp,1.934,
23,MVP击杀,UI,MVP,2.78,
24,副本tv提示,UI,TV_warning,2.369,
25,精炼成功音效,UI,Success,2.861,
26,精炼失败音效,UI,Failure,1.306,
27,宝箱打开声音,Item,HP,0.537,
28,驱魔仪式魔法阵音效,Monster,Dungeon_QuMoYiShi/Monster_MoFaZhen,20.682,
29,驱魔仪式魔法光柱音效,Monster,Dungeon_QuMoYiShi/Monster_MoFaGuangZhu,21.687,
30,任务完成,UI,MissionComplete,0,
31,技能加点,UI,SkillPanelAddPoint,0.53,
32,图鉴完成,UI,QuestClear,4.596,
33,图标-通用,UI,UI_Common,0.178,
34,图标-技能,UI,UI_SkillPanel,0.975,
35,图标-奖励,UI,UI_PrizePanel,1.623,
36,图标-背包,UI,UI_Bag,0.603,
37,图标-冒险,UI,UI_Adventure,1.27,
38,图标-冒险日记,UI,UI_Request,0.561,
39,图标-交易,UI,UI_Trade,0.178,
40,界面淡入,UI,ScreenFadeIn,0.274,
41,界面淡出,UI,ScreenFadeOut,0.483,
42,舞娘出现音效,Ambience,Object/Cheers_Dance,8.478,
43,加点体验属性提音效,Monster,Dungeon_HuanJingFuBen/Player_Buff_JiaDian,4.985,
44,打开角色面板,UI,UIPanelPopup_CharacterInventory,2.258,
45,选取装备道具,UI,UIButtonOnClick_ItemWeapon,1.194,
46,选取杂项物品,UI,UIButtonOnClick_ItemMisc,0.754,
47,选取食物多水的,UI,UIButtonOnClick_ItemFoodJuicy,1.491,
48,选取拾取药剂水,UI,UIButtonOnClick_ItemPotionDrink,0.375,
49,选取宝石硬质闪耀物,UI,UIButtonOnClick_ItemTreasureTokenGem,2.032,
50,切换小选项卡,UI,UITabOnClick_SmallSide,1.172,
51,折叠关闭,UI,UIButtonOnClick_Fold,1.2,
52,折叠打开,UI,UIButtonOnClick_Unfold,1.326,
53,选取软质布料皮质装备,UI,UIButtonOnClick_ItemCloth,1.346,
54,选取套装,UI,UIButtonOnClick_ItemSuit,1.495,
55,弹出不利消息（缺乏培养材料）,UI,UIinfo_Error,,
56,弹出小弹窗,UI,UIPanelPopup_SmallOtherWindow,2.069,
57,获取道具通用提示,UI,UIInfoPopup_ItemGainCommon,1.812,
58,培养成功（小正面提示）,UI,UIinfo_Successful,,
59,获取坐骑（弹出小面版）,UI,UIPanelPopup_LesserPanel,1.469,
60,重新培养吗（确认信息弹窗）,UI,UIPanelPopup_SmallConfirmWindow,1.91,
61,新信息彈出,UI,UIImagePopup_NewInfo_Tutorial,2.616,
62,新信息彈出_新手,UI,UIImagePopup_NewInfo,2.504,
63,新功能开启基础,UI,UIImagePopup_NewFeature,3.382,
64,照片墻,UI,UIFeatureEnable_PhotoWall,4.725,
65,獲得新物品,UI,UIAnimFXPopup_NewItem,7.159,
66,锻造,UI,ForgeIron,0.855,
67,时空裂缝持续音效,Monster,Dungeon_ZhuanZhiTiYan/Monster_ShiKongLieFeng_Idle,26.318,
68,露克西火场持续音效,Ambience,Map/sc_heishi_001,10.069,
69,地图面板副本选项卡弹出,UI,UIPanelPopup_LeatherPaperSpecial,0.939,
70,合成界面弹出,UI,UIButtonOnClick_Forge,0.994,
71,地图面版弹出,UI,UIPanelPopup_Map,1.893,
72,委托面版弹出,UI,UIPanelPopup_Quest,0.863,
73,商城弹出,UI,UIPanelPopup_Shop,4.45,
74,豪华的tab切换按纽,UI,UITabOnClick_BigTab,0.985,
75,卡片类道具点击声,UI,UIButtonOnClick_ItemCard,0,
76,奖励面版的特质木制按纽（特殊按纽）,UI,UIButtonOnClick_WoodType,0.442,
77,技能面板获取技能天赋点,UI,UIImagePopUp_SkillTalentPoint,,
78,相册界面弹出,UI,UIPanelPopup_Album,0.627,
79,奖励界面弹出,UI,UIPanelPopup_BonusPanel,1.913,
80,角色信息界面弹出,UI,UIPanelPopup_CharacterInfo,0.986,
81,专业技能生活技能面版弹出,UI,UIPanelPopup_Profession,0.986,
82,设置面版弹出,UI,UIPanelPopup_Setting,0.443,
83,专业技能面版tab切换（中型tab切换）,UI,UITabOnClick_ProfessionTab,1.1,
84,弹出找到波利,UI,UIAnimFXPopup_BoliFind,2.396,
85,打开衣橱界面,UI,UIPanelPopup_Garderobe,3.545,
86,滑走面版,UI,UIPanelDisalbe_CommonSlide,2.055,
87,弹出成就界面,UI,UIPanelPopup_AchievementBadge,2.51,
88,灯光特效,UI,UIFeature_LightFX,4.923,
89,倒酒,UI,UIFeature_PourWine,4.069,
90,摇酒,UI,UIFeature_ShakeWine,3.575,
91,移动瓶盖,UI,UIFeature_MoveBottle,1.757,
92,打开瓶盖,UI,UIFeature_PickUpBottle,1.461,
93,鸡尾酒,UI,UIPanelPopup_Cocktail,4.383,
94,动力室传送,Ambience,Interact/ChuanSongMen2,,
95,动力室地板,Ambience,Interact/Floor_DongLiShi,,
96,动力室开启,Ambience,Interact/QiDong_DongLiShi,,
97,奇遇任务提示音效,UI,TV_warning,2.369,
98,查看装备极品属性音效,UI,EquipmentModPanel-BestButton,0.52,
99,装备改造成功音效,UI,EquipmentModPanel-Refresh,1.381,
100,A9护盾破碎,Monster,Dungeon_YeXiPuLongDeLa/Monster_BiYou_FangYu02,2.813,
101,A9柱子爆炸,Monster,Dungeon_YeXiPuLongDeLa/Monster_ChuanSongZhu_Boom,6.833,
102,新手村任务单音效,UI,UI_Mission_Complete,4.463,
103,新手村任务单音效-旧,UI,UI_taskfinish,3.793,
104,弹出图片,UI,UI_Pop_out,1.521,
105,Clear,UI,UI_Combat_clear_2,,
106,新手剧情法阵,Player,UI_Chuansongmen,,
107,波利串串移动,Monster,Vehicle/Vehicle_Boli_run,,
1001,天气-晴天（空）,Ambience,Weather/SunShine,0,
1002,天气-雨天,Ambience,Weather/Rain,0,
1003,天气-沙尘,Ambience,Weather/DesertStorm,14.2,
1004,天气-雷声,Ambience,Weather/Thunder,,
1005,爆炸,Player,Player_Assassin/Player_Assassin_DuXingGanRanBaoZha,3.858,
1006,刺客的黄昏,Player,Player_ShirenWuniang/Player_Bard_CiKeDeHuangHun,6.454,
1007,伊登的苹果,Player,Player_ShirenWuniang/Player_Bard_YiDengDePingGuo,5.68,
1008,布莱奇之诗,Player,Player_ShirenWuniang/Player_Bard_BuLaiQiZhiShi,7.434,
1009,为你服务,Player,Player_ShirenWuniang/Player_Dancer_WeiNiFuWu,3.565,
1010,勿忘我,Player,Player_ShirenWuniang/Player_Dancer_WuWangWo,5.186,
1011,女神之吻,Player,Player_ShirenWuniang/Player_Dancer_NvShenZhiWu,5.25,
1012,天气-雪天,Ambience,Weather/Snow,,
200,打地鼠-背景音乐,BGM,BGM_Adios,26.318,
201,打地鼠-倒计时,UI,Minigame_Dadishu_countdown,3.575,
202,打地鼠-波利钻出,UI,Minigame_Dadishu_appear,0.52,
203,打地鼠-波利缩回,UI,Minigame_Dadishu_disappear,0.537,
204,打地鼠-抡锤,UI,Minigame_Dadishu_hammer,0.971,
205,打地鼠-波利受击,UI,Minigame_Dadishu_boli,0.239,
206,打地鼠-货币爆出,UI,Minigame_Dadishu_money,0.537,
207,打地鼠-胜利,UI,Minigame_Dadishu_success,1.913,
208,打地鼠-失败,UI,Minigame_Dadishu_fail,1.913,
2001,剧情图鉴-主界面,UI,UI_book_click,1,
2002,剧情图鉴-内容点击,UI,UI_note_click,1,
2003,剧情图鉴-树影晃动,UI,UI_Amb_Tujian,1,
2004,剧情图鉴-bgm,BGM,BGM_IllustrationStory_Tujian,1,
1300,掷骰子-波利-普通,UI,Boli/Bubble,,
1301,掷骰子-波利-金币,UI,UI_Touzi_money,,
1302,掷骰子-波利-Start,UI,UI_Touzi_finish,,
1303,掷骰子-骰子,UI,UI_Touzi_shake,,
7001,不和谐音,Player,Player_ShirenWuniang/Player_Bard_BuHeXieYin,6.064,
7002,刺客的黄昏,Player,Player_ShirenWuniang/Player_Bard_CiKeDeHuangHun,6.454,
7003,布莱奇之诗,Player,Player_ShirenWuniang/Player_Bard_BuLaiQiZhiShi,7.434,
7004,伊登的苹果,Player,Player_ShirenWuniang/Player_Bard_YiDengDePingGuo,5.68,
7005,丑陋之舞,Player,Player_ShirenWuniang/Player_Dancer_ChouLouZhiWu,5.978,
7006,勿忘我,Player,Player_ShirenWuniang/Player_Dancer_WuWangWo,5.186,
7007,女神之吻,Player,Player_ShirenWuniang/Player_Dancer_NvShenZhiWu,5.25,
7008,为你服务,Player,Player_ShirenWuniang/Player_Dancer_WeiNiFuWu,3.565,
7009,洛奇的悲鸣,Player,Player_ShirenWuniang/Player_Minstrel_LuoQiDeBeiMing,6.837,
7010,永远的混沌,Player,Player_ShirenWuniang/Player_Minstrel_YongYuanDeHunDun,6.738,
7011,尼伯龙根的戒指,Player,Player_ShirenWuniang/Player_Minstrel_NiBeiLongGenDeJieZhi,6.247,
7012,不死神齐格弗里德,Player,Player_ShirenWuniang/Player_Minstrel_BuSiShenQiGeFuLiDe,7.556,
7013,经验值倍增,Player,Player_ShirenWuniang/Player_Minstrel_JingYanZhiBeiZeng,5.438,
7014,摇篮曲,Player,Player_ShirenWuniang/Player_Bard_YaoLanQu,6.132,
7015,5V5结算星星亮起,UI,UI_5V5_degree_01,1.813,
7016,5V5结算星星亮起+徽章动画音效,UI,UI_5V5_degree_02,3.433,
6001,波利,UI,Pet_Born_boli,1.167,
6002,土人,UI,Pet_Born_turen,3.651,
6003,火山牛头犬,UI,Pet_Born_douniuquan,2.462,
6004,傀儡娃娃,UI,Pet_Born_puppet,4.583,
6005,人鱼,UI,Pet_Born_mermaid,3.196,
6006,僵尸,UI,Pet_Born_zombie,3.894,
6007,妖道,UI,Pet_Born_yaodao,2.789,
6008,摇滚蝗虫,UI,Pet_Born_huangchong,2.729,
6009,疯兔,UI,Pet_Born_rabbit,2.734,
6010,鬼女,UI,Pet_Born_guinv,3.85,
6011,蜡泪姑娘,UI,Pet_Born_laleiguniang,4.771,
6012,小鼠掌柜,UI,Pet_Born_mouse,3.847,
6013,沙丘獭,UI,Pet_Born_yanshu,1.728,
6014,小巴风特,UI,Pet_Born_bafengte,3.761,
6015,国王小猪,UI,Pet_Born_pig,3.363,
6016,狐球,UI,Pet_Born_fox,2.52,
6017,行者浣熊,UI,Pet_Born_huanxiong,4.053,
6018,火精灵,UI,Pet_Born_firejingling,6.625,
6019,米莉,UI,Pet_Born_mili,5.978,
6020,焰小鸡,UI,Pet_Born_chick,4.157,
6021,占卜猫猫,UI,Pet_Born_cat,3.094,
6022,八爪女巫,UI,Pet_Born_zhangyu,2.833,
6023,白幽灵,UI,Pet_Born_ghost,3.672,
6024,冰火鹿,UI,Pet_Born_shenshou,5.301,
6029,安塔夏出生音效,UI,Pet_Born_antaxia,,
6093,宠物学习技能覆盖,UI,Pet_System_learnskill_01,2.716,
6094,宠物学习技能新学习,UI,Pet_System_learnskill_02,3.328,
6095,宠物装备强化一段,UI,Pet_System_intensify_01,2.354,
6096,宠物装备强化二段,UI,Pet_System_intensify_02,2.245,
6097,宠物开蛋,UI,Pet_OpenEgg,6.222,
6098,宠物升级,UI,Pet_LevelUp,3.145,
6099,宠物界面BGM,BGM,BGM_PetSystem,61.838,
300,5V5八强诞生拍脸图,UI,UI_5v5_finaleight,,
301,5V5四强诞生拍脸图,UI,UI_5v5_finalfour,,
302,5V5决赛拍脸图,UI,UI_5v5_finalbattle,,
303,5V5冠军诞生拍脸图,UI,UI_5v5_champion,,
304,比分结算页面,UI,UI_5v5_jiesuan,,
305,吃到道具球，玩家变身MVP,UI,UI_5V5MVP_PlayerChange,,
306,吃到金币,UI,UI_5V5Coins_Acheive,,
307,玩家死亡，金币爆出,UI,UI_5V5Coins_Die,,
308,BOSS爆出金币,UI,UI_5V5Coins_BossCoins,,
309,玩家占领祭坛,UI,UI_5V5Tuiche_Occupy,,
310,玩家摧毁祭坛,UI,UI_5V5Tuiche_destroy,,
311,祭坛阶段升级,UI,UI_5V5Tuiche_JieduanLevelUp,,
312,全队能量到达1/2/3/4,UI,UI_5V5Tuiche_Jieduan,,
8000,时空漫游者待机动作1,UI,UI_Fashion_M_JiJia_Idle01_Show_01,,
8001,时空漫游者待机动作2,UI,UI_Fashion_M_JiJia_Idle01_Show_02,,
8002,时空漫游者待机动作1,UI,UI_Fashion_F_JiJia_Idle01_Show_01,,
8003,时空漫游者待机动作2,UI,UI_Fashion_F_JiJia_Idle01_Show_02,,
6100,宠物技能死契,Player,Pet/Fx_Skill_ChongWu_SiQi_01,,
10000,伊芙利特火之统御开始,Monster,Monster_YiFuLiTe/Monster_YiFuLiTe_HuoQiu_Effect_start,0.65,
10001,伊芙利特火之统御循环,Monster,Monster_YiFuLiTe/Monster_YiFuLiTe_HuoQiu_Effect_loop,,
10002,伊芙利特火之统御结束,Monster,Monster_YiFuLiTe/Monster_YiFuLiTe_HuoQiu_Effect_end,0.65,
9001,波利表演音效,UI,Interface_pet/UI_Pet_BoLi_Show_01,1.197,
9002,土人表演音效,UI,Interface_pet/UI_Pet_TuRen_Show_01,2.178,
9003,火山牛头犬表演音效,UI,Interface_pet/UI_Pet_HuoShanNiuTouQuan_Show_01,3.29,
9004,傀儡娃娃表演音效,UI,Interface_pet/UI_Pet_KuiLeiWaWa_Show_01,3.543,
9005,人鱼表演音效,UI,Interface_pet/UI_Pet_RenYu_Show_01,2.269,
9006,僵尸表演音效,UI,Interface_pet/UI_Pet_JiangShi_Show_01,3.184,
9007,妖道表演音效,UI,Interface_pet/UI_Pet_YaoDao_Show_01,2.074,
9008,摇滚蝗虫表演音效,UI,Interface_pet/UI_Pet_YaoGungHuangChong_Show_01,3.249,
9009,疯兔表演音效,UI,Interface_pet/UI_Pet_FengTu_Show_01,2.951,
9010,鬼女表演音效,UI,Interface_pet/UI_Pet_GuiNv_Show_01,2.958,
9011,蜡泪姑娘表演音效,UI,Interface_pet/UI_Pet_LaZhuHunNv_Show_01,5.214,
9012,小鼠掌柜表演音效,UI,Interface_pet/UI_Pet_JinQianShu_Show_01,3.544,
9013,沙丘獭表演音效,UI,Interface_pet/UI_Pet_ShuiLan_Show_01,1.728,
9014,小巴风特表演音效,UI,Interface_pet/UI_Pet_XiaoBaFengTe_Show_01,2.667,
9015,国王小猪表演音效,UI,Interface_pet/UI_Pet_GuoWangZhuZhu_Show_01,5.642,
9016,狐球表演音效,UI,Interface_pet/UI_Pet_Huqiu_Show_01,2.958,
9017,行者浣熊表演音效,UI,Interface_pet/UI_Pet_LiMao_Show_01,3.051,
9018,火精灵表演音效,UI,Interface_pet/UI_Pet_HuoJingLing_Show_01,2.741,
9019,米莉表演音效,UI,Interface_pet/UI_Pet_MiLi_Show_01,3.825,
9020,焰小鸡表演音效,UI,Interface_pet/UI_Pet_XiaoJi_Show_01,4.985,
9021,占卜猫猫表演音效,UI,Interface_pet/UI_Pet_ZhanBuMaoMao_Show_01,4.214,
9022,八爪女巫表演音效,UI,Interface_pet/UI_Pet_HeiZhangYu_Show_01,3.044,
9023,白幽灵表演音效,UI,Interface_pet/UI_Pet_XiaoYouLing_Show_01,4.609,
9024,冰火鹿表演音效,UI,Interface_pet/UI_Pet_BingYuanLuHu_Show_01,2.747,
9025,预留表演音效,UI,Interface_pet/UI_Pet_AnTaXia_Show_01,,
9029,安塔夏表演音效,UI,Interface_pet/UI_Pet_AnTaXia_Show_01,,
11000,衣橱火鸡女休闲动作,UI,UI_Fashion_F_HuoJi_Idle_Show_01,,
12000,卡片进阶,UI,UI_Card_JinJie,,
