Id,StoryDes,StoryText,StoryAudioBank,StoryAudioName,Length,LocalizationArea,Area
编号（普通NPC：100011—400009；剧情NPC：400011—800009；功能NPC：800011—1199999；任务对话：1200000—1600000；黑幕：1600001—2400000；cutscene：2400001—3200000；卡普拉提示：3200001—3400000；QTE提示：3400001—3600000）,剧情CV说明（策划用，都写上说明，方便以后查阅）,剧情文本（策划用，都写上对应对白，方便以后查阅）,音效路径（前面为FMod Eeitor里的bankName，后面是bank路径下的pathName）,音效名,时长,区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
100011,初心者男的第1段cv,嘿！你是新来的冒险者吗？很高兴认识你！,CV/NPC,NPC_C_chuxinzheM_01,3.393,,26
100012,初心者男的第2段cv,外面遍布着各种可怕的怪物，出门在外一定要注意安全哦！,CV/NPC,NPC_C_chuxinzheM_02,4.73,,26
100013,初心者男的第3段cv,交个朋友吧！我超给力的哦！,CV/NPC,NPC_C_chuxinzheM_03,3.4,,26
100021,初心者女的第1段cv,我什么时候才能变得像前辈们那样厉害呢？,CV/NPC,NPC_C_chuxinzheF_01,3.253,,26
100022,初心者女的第2段cv,学院里的事没有什么是我不知道的！,CV/NPC,NPC_C_chuxinzheF_02,2.412,,26
100023,初心者女的第3段cv,要是能选到喜欢的导师就好了~,CV/NPC,NPC_C_chuxinzheF_03,3.14,,26
100031,商人男的第1段cv,带点特色的货物回去，肯定能挣不少钱！,CV/NPC,NPC_C_shangrenM_01,3.3,,26
100032,商人男的第2段cv,这年头，钱真的是越来越难赚了~,CV/NPC,NPC_C_shangrenM_02,3.208,,26
100033,商人男的第3段cv,这次赚了不少，回去的时候给妻子买条新裙子吧~,CV/NPC,NPC_C_shangrenM_03,4.371,,26
100041,商人女的第1段cv,什么时候才能赚到在普隆德拉买房的钱呢？,CV/NPC,NPC_C_shangrenF_01,4.45,,26
100042,商人女的第2段cv,做生意真的是太难了~,CV/NPC,NPC_C_shangrenF_02,1.93,,26
100043,商人女的第3段cv,什么时候才能卖完货物呢？我已经开始怀念家里柔软的被窝了~,CV/NPC,NPC_C_shangrenF_03,4.809,,26
100051,法师男的第1段cv,嘿！伙计！我猜你的队伍里一定缺一名优秀的法师！,CV/NPC,NPC_C_fashiM_01,4.7,,26
100052,法师男的第2段cv,这次出门准备好充足的魔法药水，一定能够拿下那只魔物！！！,CV/NPC,NPC_C_fashiM_02,5.181,,26
100053,法师男的第3段cv,隐藏着雷电之力的法杖啊~在我面前显示你真正的力量~,CV/NPC,NPC_C_fashiM_03,4.075,,26
100061,法师女的第1段cv,想见识一下魔法的力量吗？,CV/NPC,NPC_C_fashiF_01,2.69,,26
