PackId,GroupContent,GroupWeight,PackType,PackName,AwardValueWeight,Announcement,JobLimit,LevelLimit,ServerLevelLimit,GenderLimit,OpenWorldCond,LuaFunction,RandomItem,RandomMethod,GuarantGroup,Source,PackTabType,PackTabChange,LuckyPointLimit,ExpectValue,BindInfo,NumberInfo,IsCalcLucky
奖励包Id,奖励组内容,奖励组权重(固定类型的包不读取),"奖励包类型(0固定,1权重)",礼包名称,奖励价值权重,通告,"职业限制(职业Id,0通用，严格按照限制什么职业写什么职业id)",等级限制,服务器等级限制,性别限制（男0 女1 无限制2）,大世界条件（对应OpenWorldCondTable）,公式奖励,随机物品,随机方式,保底组,"来源（50101乐园团幸运，50102乐园团职业,88主线）",影响掉率配置,属性影响概率1、卡片2、头饰,幸运值限制，玩家幸运值>=配置的值时，不触发pack包掉落，值为0表示不需要判断,pack包的期望价值量，值如果为-1，表示当前pack包不用于计算幸运值,配置道具的绑定状态，必须与GroupContent对应，0非绑1绑定。注：如果Content配的是嵌套的pack包，则表示整个pack包里的道具都需要绑定,最终触发的GroupContent数量，只对PackType值为1的packid生效，格式：A=B，A值为0表示结果允许重复，值为1表示结果不允许重复；B的值表示数量,用于配置当前packid是否用于计算幸运值，0表示不计算1表示计算
205111,3040200=1|3040201=1|3040202=1|3040203=1|3040204=1|3040100=2|3040101=2|3040100=1|3040101=1|2090025=1|2090020=1,240|300|300|220|240|500|500|500|500|2000|2000,1,瓦尔基里套装大宝箱,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205121,3040200=1|3040201=1|3040202=1|3040203=1|3040204=1|3040100=1|3040101=1|3040102=1|2090021=1|2090021=2,76|84|84|70|76|500|1000|2000|4000|2000,1,瓦尔基里套装小宝箱,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205131,3040200=1|3040201=1|3040202=1|3040203=1|3040204=1,200|200|200|200|200,1,神话水晶匣,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205141,3040200=1|3040201=1|3040202=1|3040203=1|3040204=1,200|200|200|200|200,0,神话水晶自选匣,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205211,3041200=1|3041201=1|3041202=1|3041203=1|3041204=1|3041100=2|3041101=2|3041100=1|3041101=1|2090025=1|2090020=1,240|300|300|220|240|500|500|500|500|2000|2000,1,瓦尔基里套装大宝箱,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205221,3041200=1|3041201=1|3041202=1|3041203=1|3041204=1|3041100=1|3041101=1|3041102=1|2090021=1|2090021=2,76|84|84|70|76|500|1000|2000|4000|2000,1,瓦尔基里套装小宝箱,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205231,3041200=1|3041201=1|3041202=1|3041203=1|3041204=1,200|200|200|200|200,1,神话水晶匣,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205241,3041200=1|3041201=1|3041202=1|3041203=1|3041204=1,200|200|200|200|200,0,神话水晶自选匣,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205301,101=100000,1,0,天空套二期第一章奖励1,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205311,2063001=50,1,0,天空套二期第一章奖励2,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
