BarberID,BarberName,BarberAtlas,BarberIcon,SexLimit,SortID,BarberModel,BarberPrice,CollectionScoreLimit,AchievementPointLimit,AchievementLimit,TaskLimit,AchievementLevelLimit,UseItem,BarberFrame,SpecialColor,UsedForCreate,Mask,Hide,
发型ID,发型名称,图集,图标,性别限制（0男1女2无性别）,排序ID,模型,发型价格（1铜币 2喵喵果实）,兑换所需典藏值,兑换所需成就点,达成成就解锁,达成任务解锁,成就徽章等级解锁,使用道具解锁（道具id=数量）,边框,是否支持特殊染色（1是 2否）,是否创角用,掩码,是否在理发店隐藏（1隐藏）,备注
6020001,可爱的呆毛,Hairstyle_M,Hairstyle_M_001.png,0,,Common_M_BeiTou_Hair,101=20000,,,,,,,0,0,,,1,
6020002,小仙男,Hairstyle_M,Hairstyle_M_003.png,0,2,Common_M_DF01_Hair,101=20000,,,,,,,0,0,1,,,
6020003,阿银,Hairstyle_M,Hairstyle_M_004.png,0,,Common_M_DFciwei01_Hair,101=20000,,,,,,,0,0,,,1,
6020004,火焰头,Hairstyle_M,Hairstyle_M_002.png,0,3,Common_M_DFciwei02_Hair,101=20000,,,,,,,0,0,1,,,
6020005,阳光男孩,Hairstyle_M,Hairstyle_Common_M_ErJieMuShi01_hair.png,0,9,Common_M_ErJieMuShi01_Hair,101=20000,,,,,,,0,0,1,,,
6020006,骑士领主,Hairstyle_M,Hairstyle_Common_M_SanJieTaoZhuang01_Hair.png,0,113,Common_M_SanJieTaoZhuang01_Hair,101=20000,,,,,15,,0,0,,,,
6020007,刺客,Hairstyle_M,Hairstyle_Common_M_CiKe_hair.png,0,115,Common_M_JunZhuang_Hair,101=50000,,,,,,2061003=1,0,0,,,,
6020008,小恶魔,Hairstyle_M,Hairstyle_Common_M_XiaoEMo_hair.png,0,116,Common_M_XiaoEMo_Hair,101=20000,,,,,,2061004=1,0,0,,,,
6020009,翩翩少年,Hairstyle_M,Hairstyle_M_009.png,0,117,Common_M_ZhiShi_Hair,101=20000,,,,,,2061005=1,0,0,,,,
6020010,霜冻之夜,Hairstyle_M,Hairstyle_M_010.png,0,111,Common_M_DFzongse_Hair,101=50000,160,,,,,,0,0,,,,
6020011,流浪诗人,Hairstyle_M,Hairstyle_M_011.png,0,4,Common_M_YiJieShangRen_Hair,101=20000,,,,,,,0,0,1,,,
6020012,运动少年,Hairstyle_M,Hairstyle_M_012.png,0,,Common_M_ErJieTaoZhuang01_Hair,101=50000,,,,,,,0,0,,,1,
6020013,花轮头,Hairstyle_M,Hairstyle_Common_M_YiJieJianShi_Hair.png,0,1,Common_M_YiJieJianShi_Hair,101=20000,,,,,,,0,0,1,,,
6020014,旋风,Hairstyle_M,Hairstyle_Common_M_SanJieQiShi_Hair.png,0,5,Common_M_SanJieQiShi_Hair,101=20000,,,,,,,0,0,1,,,
6020015,暖男,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,118,Common_M_MoFa_Hair,101=20000,,,,,,2061007=1,0,0,,,,
6020016,万事屋阿银,Hairstyle_M,Hairstyle_Common_M_ErJieLieRen01_Hair.png,0,,Common_M_ErJieLieRen01_Hair,101=20000,,,,,,,0,0,,,1,
6020017,风暴,Hairstyle_M,Hairstyle_Common_M_ErJieCiKe01_Hair.png,0,6,Common_M_ErJieCiKe01_Hair,101=20000,,,,,,,0,0,1,,,
6020018,小王子,Hairstyle_M,Hairstyle_Common_M_YongBingErJieQiShi_Hair.png,0,119,Common_M_YongBingErJieQiShi_Hair,101=20000,,,,,,2061008=1,0,0,,,,
6020019,新发型3,Hairstyle_M,Hairstyle_Common_M_SanJieShiZiCiKe01_Hair.png,0,,Common_M_SanJieShiZiCiKe01_Hair,101=20000,,,,,,,0,0,,,1,
6020020,运动少年,Hairstyle_M,Hairstyle_Common_M_YongBingErJieLieRen_Hair.png,0,112,Common_M_YongBingErJieLieRen_Hair,101=20000,,,,,10,,0,0,,,,
6020021,飘逸,Hairstyle_M,Hairstyle_Common_M_YongBingErJieTieJiang_Hair.png,0,120,Common_M_YongBingErJieTieJiang_Hair,101=20000,,,,,,2061010=1,0,0,,,,
6020022,新发型6,Hairstyle_M,Hairstyle_Common_M_YongBingErJieWuShi_Hair.png,0,,Common_M_YongBingErJieWuShi_Hair,101=20000,,,,,,,0,0,,,1,
6020023,优质男生,Hairstyle_M,Hairstyle_Common_M_HanFu2_hair.png,0,110,Common_M_HanFu02_Hair,101=20000,80,,,,,,0,0,,,,
6020024,神秘人X,Hairstyle_M,Hairstyle_Common_M_YiJieMoFaShi_Hair.png,0,7,Common_M_YiJieMoFaShi_Hair,101=20000,,,,,,,0,0,1,,,
6020025,质感碎发,Hairstyle_M,Hairstyle_Common_M_SaiYiLian_Hair.png,0,121,Common_M_SaiYiLian_Hair,101=20000,,,,,,2061012=1,0,0,,,,
6020026,冒险者,Hairstyle_M,Hairstyle_Common_M_ChuShengZhuang_Hair.png,0,122,Common_M_ChuShengZhuang_Hair,101=20000,,,,,,2061013=1,0,0,,,,
6020027,学生头,Hairstyle_M,Hairstyle_Common_M_YiJieFuShi_Hair.png,0,8,Common_M_YiJieFuShi_Hair,101=20000,,,,,,,0,0,1,,,
6020028,cool boy,Hairstyle_M,Hairstyle_Common_M_Idol_hair.png,0,123,Common_M_Idol_Hair,101=20000,,,,,,2061014=1,0,0,,,,
6020029,新发型13,Hairstyle_M,Hairstyle_Common_M_SanJieShenSheShou01_Hair.png,0,,Common_M_SanJieShenSheShou01_Hair,101=20000,,,,,,,0,0,,,1,
6020030,纯真时光,Hairstyle_M,Hairstyle_Common_M_SanJieShenGuan_Hair.png,0,109,Common_M_SanJieShenGuan_Hair,101=20000,40,,,,,,0,0,,,,
6020031,潮男,Hairstyle_M,Hairstyle_Common_M_ErJieMuShi01_hair.png,0,,Common_M_ErJieMuShi01_Hair,101=20000,,,,,,,0,0,,,1,
6020032,秋日梦,Hairstyle_M,Hairstyle_Common_M_ShuiShou_Hair.png,0,,Common_M_ShuiShou_Hair,101=20000,,,,,,,0,0,,,1,
6020033,新发型17,Hairstyle_M,Hairstyle_M_001.png,0,,Common_M_GongTin_Hair,101=20000,,,,,,,0,0,,,1,
6020034,飘零,Hairstyle_M,Hairstyle_Common_M_YongBingErJieCiKe_Hair.png,0,124,Common_M_YongBingErJieCiKe_Hair,101=20000,,,,,,2061016=1,0,0,,,,
6020035,童话世界,Hairstyle_M,Hairstyle_Common_M_YongBingErJieMuShi_Hair.png,0,125,Common_M_YongBingErJieMuShi_Hair,101=20000,,,,,,2061017=1,0,0,,,,
6020036,蓬松卷发,Hairstyle_M,Hairstyle_Common_M_ErJieTaoWuShi_Hair.png,0,,Common_M_ErJieTaoWuShi_Hair,101=20000,,,,,,,0,0,,,1,
6020037,动漫少年,Hairstyle_M,Hairstyle_Common_M_ErJieTieJiang01_Hair.png,0,,Common_M_ErJieTieJiang01_Hair,101=20000,,,,,,,0,0,,,1,
6020038,狂野,Hairstyle_M,Hairstyle_Common_M_YiJieMoFaShi_Hair.png,0,,Common_M_YiJieMoFaShi_Hair,101=20000,,,,,,,0,0,,,1,
6030001,邻家女孩,Hairstyle_F,Hairstyle_Common_M_ShuiShouFu_Hair.png,1,9,Common_F_ShuiShouFu_Hair,101=20000,,,,,,,0,0,,,1,
6030002,异域少女,Hairstyle_F,Hairstyle_F_003.png,1,,Common_F_CFLanSe_Hair,101=20000,,,,,,,0,0,,,1,
6030003,爱心马尾,Hairstyle_F,Hairstyle_F_005.png,1,,Common_F_DaoJuShangRen_Hair,101=20000,,,,,,,0,0,,,1,
6030004,双马尾,Hairstyle_F,Hairstyle_F_006.png,1,124,Common_F_KaPuLa_Hair,101=20000,,,,,,2062014=1,0,0,,,,
6030005,活力宝贝,Hairstyle_F,Hairstyle_Common_M_YangMaoJuan_Hair.png,1,128,Common_F_JunZhuang_Hair,101=20000,,,,,,2062018=1,0,0,,,,
6030006,软萌长发,Hairstyle_F,Hairstyle_F_007.png,1,,Common_F_NvJianShi_Hair,101=20000,,,,,,,0,0,,,1,
6030007,百变少女,Hairstyle_F,Hairstyle_F_008.png,1,,Common_F_DaoZeiYiJie_Hair,101=20000,,,,,,,0,0,,,1,
6030008,沙宣头,Hairstyle_F,Hairstyle_F_012.png,1,,Common_F_YiJieTaoZhuang_Hair,101=20000,,,,,,,0,0,,,1,
6030009,小温柔,Hairstyle_F,Hairstyle_F_009.png,1,,Common_F_CFNvFuShi_Hair,101=20000,,,,,,,0,0,,,1,
6030010,背影杀手,Hairstyle_F,Hairstyle_F_004.png,1,1,Common_F_SanJieShenGuan01_Hair,101=50000,,,,,,,0,0,1,,,
