BaseLv,Exp,ReviveDeductExp
角色等级,升级经验,死亡经验损失
1,870,0
2,900,0
3,950,0
4,1240,0
5,1300,0
6,1670,0
7,2290,0
8,2490,0
9,3790,0
10,4870,0
11,5360,0
12,5760,0
13,6250,0
14,6820,0
15,7310,0
16,23860,0
17,25560,0
18,27510,0
19,29700,0
20,43200,0
21,46050,0
22,48460,0
23,50890,0
24,51370,0
25,58410,0
26,62310,0
27,65880,0
28,69770,0
29,73990,0
30,220080,0
31,245180,0
32,270610,0
33,292940,0
34,314290,0
35,376370,0
36,445270,0
37,543380,0
38,595970,0
39,681110,0
40,729600,0
41,763280,0
42,795080,0
43,828750,0
44,950730,0
45,1775990,0
46,1947360,0
47,2122430,0
48,2309180,0
49,2617250,0
50,3216690,0
51,3514420,0
52,3818870,0
53,4141990,0
54,4679670,0
55,5099810,0
56,5554940,0
57,6020580,0
58,6512660,0
59,7338120,0
60,8977000,0
61,9752790,0
62,10546670,0
63,11382540,0
64,12795290,0
65,17358730,0
66,18816630,0
67,20308550,0
68,21874340,0
69,24539380,0
70,27916990,0
71,30202590,0
72,32541250,0
73,34988750,0
74,39181740,0
75,47685940,0
76,51501640,0
77,55405070,0
78,59479900,0
79,66503220,0
80,76978170,0
81,83011670,0
82,89182170,0
83,95609160,0
84,106749280,0
85,129582450,0
86,139550330,0
87,149741180,0
88,160334240,0
89,178792310,0
90,192706340,0
91,207278800,0
92,222171870,0
93,237624510,0
94,264682670,0
95,267181920,0
96,287073020,0
97,307394010,0
98,328443600,0
99,365471650,0
100,397134850,0
101,404965680,0
102,412610060,0
103,420440880,0
104,428458160,0
105,436290620,0
106,444494380,0
107,452511680,0
108,460715440,0
109,469105640,0
110,477314220,0
111,485890960,0
112,494281250,0
113,502857990,0
114,511621180,0
115,520205650,0
116,529155430,0
117,537918750,0
118,546868520,0
119,556004750,0
120,564964910,0
121,574287760,0
122,583424160,0
123,592747010,0
124,602256320,0
125,611591990,0
126,621287960,0
127,630797470,0
128,640493440,0
129,650375870,0
130,733429890,0
