Id,Sort,Enabled,Base,FreeBasePackage,SaleBasePackage,SaleBasePackageValue,SaleBasePackagePrice,LocalizationArea
编号(礼包唯一编号）,排序（前端排列顺序）,是否有效（1为有效，0为无效）,等级,成长悦礼包（Awardid),升级惠礼包（Awardid),特惠升级礼包价值,特惠升级礼包现价,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,1,1,20,4600020,,,,27
2,2,1,30,4600030,,,,27
3,3,1,40,4600040,6060010,103=425,103=125,27
4,4,1,50,4600050,6060020,103=525,103=150,27
5,5,1,60,4600060,6060030,103=750,103=225,27
6,6,1,70,4600070,6060040,103=1075,103=300,27
7,7,1,80,4600080,6060050,103=1375,103=400,11
8,8,1,90,4600090,6060060,103=1800,103=580,11
9,9,1,100,4600100,6060062,103=4100,103=950,11
10,10,1,110,4600110,6060063,103=7700,103=1250,11
