MajorID,AwardType,BattleCardSeason,BattleCardLv,Exp,FreeAward,PayAward,DisplayType,DisplayMode
主键（可不连续）,配0表示读老配置awardid，配1代表读itemid,所属赛季,通行证等级,升级经验（升到下级）,免费奖励,付费奖励,展示类型（0或者不填为普通，1为高级，2为最终大奖）,模型展示（如果有性别 用|隔开，前为男，后为女）
1,0,1,1,2000,8510010,8520010,1,
2,0,1,2,2000,8510020,8520020,0,
3,0,1,3,2000,8510030,8520030,0,
4,0,1,4,2000,8510040,8520040,0,
5,0,1,5,2000,8510050,8520050,0,
6,0,1,6,2000,8510060,8520060,0,
7,0,1,7,2000,8510070,8520070,0,
8,0,1,8,2000,8510080,8520080,0,
9,0,1,9,2000,8510090,8520090,0,
10,0,1,10,2000,8510100,8520100,0,
11,0,1,11,2000,8510110,8520110,0,
12,0,1,12,2000,8510120,8520120,0,
13,0,1,13,2000,8510130,8520130,0,
14,0,1,14,2000,8510140,8520140,0,
15,0,1,15,2000,8510150,8520150,0,
16,0,1,16,2000,8510160,8520160,0,
17,0,1,17,2000,8510170,8520170,0,
18,0,1,18,2000,8510180,8520180,0,
19,0,1,19,2000,8510190,8520190,0,
20,0,1,20,2000,8510200,8520200,1,
21,0,1,21,2000,8510210,8520210,0,
22,0,1,22,2000,8510220,8520220,0,
23,0,1,23,2000,8510230,8520230,0,
24,0,1,24,2000,8510240,8520240,0,
25,0,1,25,2000,8510250,8520250,0,
26,0,1,26,2000,8510260,8520260,0,
27,0,1,27,2000,8510270,8520270,0,
28,0,1,28,2000,8510280,8520280,0,
29,0,1,29,2000,8510290,8520290,0,
30,0,1,30,2000,8510300,8520300,0,
31,0,1,31,2000,8510310,8520310,0,
32,0,1,32,2000,8510320,8520320,0,
33,0,1,33,2000,8510330,8520330,0,
34,0,1,34,2000,8510340,8520340,0,
35,0,1,35,2000,8510350,8520350,0,
36,0,1,36,2000,8510360,8520360,0,
37,0,1,37,2000,8510370,8520370,0,
38,0,1,38,2000,8510380,8520380,0,
39,0,1,39,2000,8510390,8520390,0,
40,0,1,40,2000,8510400,8520400,1,
41,0,1,41,2000,8510410,8520410,0,
42,0,1,42,2000,8510420,8520420,0,
43,0,1,43,2000,8510430,8520430,0,
44,0,1,44,2000,8510440,8520440,0,
45,0,1,45,2000,8510450,8520450,0,
46,0,1,46,2000,8510460,8520460,0,
47,0,1,47,2000,8510470,8520470,0,
48,0,1,48,2000,8510480,8520480,0,
49,0,1,49,2000,8510490,8520490,0,
50,0,1,50,2000,8510500,8520500,0,
51,0,1,51,2000,8510510,8520510,0,
52,0,1,52,2000,8510520,8520520,0,
53,0,1,53,2000,8510530,8520530,0,
54,0,1,54,2000,8510540,8520540,0,
55,0,1,55,2000,8510550,8520550,0,
56,0,1,56,2000,8510560,8520560,0,
57,0,1,57,2000,8510570,8520570,0,
58,0,1,58,2000,8510580,8520580,0,
59,0,1,59,2000,8510590,8520590,0,
60,0,1,60,2000,8510600,8520600,1,
61,0,1,61,2000,8510610,8520610,0,
62,0,1,62,2000,8510620,8520620,0,
63,0,1,63,2000,8510630,8520630,0,
64,0,1,64,2000,8510640,8520640,0,
65,0,1,65,2000,8510650,8520650,0,
66,0,1,66,2000,8510660,8520660,0,
67,0,1,67,2000,8510670,8520670,0,
68,0,1,68,2000,8510680,8520680,0,
69,0,1,69,2000,8510690,8520690,0,
70,0,1,70,2000,8510700,8520700,1,
71,0,1,71,2000,,8520710,0,
72,0,1,72,2000,,8520720,0,
73,0,1,73,2000,,8520730,0,
74,0,1,74,2000,,8520740,0,
75,0,1,75,2000,,8520750,0,
76,0,1,76,2000,,8520760,0,
77,0,1,77,2000,,8520770,0,
78,0,1,78,2000,,8520780,0,
79,0,1,79,2000,,8520790,0,
80,0,1,80,2000,,8520800,1,xxxx|ssss
81,0,1,81,2000,,8520810,0,
82,0,1,82,2000,,8520820,0,
83,0,1,83,2000,,8520830,0,
84,0,1,84,2000,,8520840,0,
85,0,1,85,2000,,8520850,0,
86,0,1,86,2000,,8520860,0,
87,0,1,87,2000,,8520870,0,
88,0,1,88,2000,,8520880,0,
89,0,1,89,2000,,8520890,0,
90,0,1,90,2000,,8520900,0,
91,0,1,91,2000,,8520910,0,
92,0,1,92,2000,,8520920,0,
93,0,1,93,2000,,8520930,0,
94,0,1,94,2000,,8520940,0,
95,0,1,95,2000,,8520950,0,
96,0,1,96,2000,,8520960,0,
97,0,1,97,2000,,8520970,0,
98,0,1,98,2000,,8520980,0,
99,0,1,99,2000,,8520990,0,
100,0,1,100,2000,,8521000,0,
101,0,1,101,2000,,8521010,0,
102,0,1,102,2000,,8521020,0,
103,0,1,103,2000,,8521030,0,
104,0,1,104,2000,,8521040,0,
105,0,1,105,2000,,8521050,0,
106,0,1,106,2000,,8521060,0,
107,0,1,107,2000,,8521070,0,
108,0,1,108,2000,,8521080,0,
109,0,1,109,2000,,8521090,0,
110,0,1,110,2000,,8521100,0,
111,0,1,111,2000,,8521110,0,
112,0,1,112,2000,,8521120,0,
113,0,1,113,2000,,8521130,0,
114,0,1,114,2000,,8521140,0,
115,0,1,115,2000,,8521150,0,
116,0,1,116,2000,,8521160,0,
117,0,1,117,2000,,8521170,0,
118,0,1,118,2000,,8521180,0,
119,0,1,119,2000,,8521190,0,
120,0,1,120,2000,,8521200,0,
121,0,1,121,2000,,8521210,0,
122,0,1,122,2000,,8521220,0,
123,0,1,123,2000,,8521230,0,
124,0,1,124,2000,,8521240,0,
125,0,1,125,2000,,8521250,0,
126,0,1,126,2000,,8521260,0,
127,0,1,127,2000,,8521270,0,
128,0,1,128,2000,,8521280,0,
129,0,1,129,2000,,8521290,0,
130,0,1,130,2000,,8521300,0,
131,0,1,131,2000,,8521310,0,
132,0,1,132,2000,,8521320,0,
133,0,1,133,2000,,8521330,0,
134,0,1,134,2000,,8521340,0,
135,0,1,135,2000,,8521350,0,
136,0,1,136,2000,,8521360,0,
137,0,1,137,2000,,8521370,0,
138,0,1,138,2000,,8521380,0,
139,0,1,139,2000,,8521390,0,
140,0,1,140,2000,,8521400,0,
141,0,1,141,2000,,8521410,0,
142,0,1,142,2000,,8521420,0,
143,0,1,143,2000,,8521430,0,
144,0,1,144,2000,,8521440,0,
145,0,1,145,2000,,8521450,0,
146,0,1,146,2000,,8521460,0,
147,0,1,147,2000,,8521470,0,
148,0,1,148,2000,,8521480,0,
149,0,1,149,2000,,8521490,0,
