0,占位,备注使用方法,
1,每日登录,1,表示登录打卡
2,委托点数消耗,20|2,表示累计消耗20点
3,聚宝盆时间,3|30|720 ,表示聚宝盆经验最小单位为30分钟，最大单位720分钟。
4,击杀属性怪物,1000|4|2 ,表示击杀1000只属性类型为2的怪物（entity表中查找）
5,击杀体型怪物,1000|5|2  ,表示击杀1000只体型类型为2的怪物（entity表中查找）
6,击杀种族怪物,1000|6|2  ,表示击杀1000只种族类型为2的怪物（entity表中查找）
7,MVP参与击杀次数,5|7,表示5次
8,挖宝次数,50|8,表示挖宝50次
9,天地树波次,20|9,表示天地树达到20波
10,公会狩猎次数,5|10,表示参加5次公会狩猎
11,击杀不低于玩家等级怪物,11,表示不低于玩家等级，可以和击杀怪物一起配置，例如1000|4|2|11|5表示击杀不低于玩家5级的1000只类型2的怪物
12,累积消耗Zeny,1|12,累积消耗1Zeny
13,累积消耗铜币,1|13,累积消耗1铜币
14,累积获得助战点,1|14,累积获得助战点1
15,助战次数,1|15,助战次数1
16,累积参加赫尔海姆，不限难度,1|16,累积参加并通过赫尔海姆，不限难度，1次
17,累积参加猫手商队,1|17,累积参加猫手商队1次，3艘船都开走
18,无尽之塔层数,1|18,无尽之塔层数1层，指通过这一层
19,参加极限挑战,1|19,参加极限挑战1次，需通关
20,参加公会宴会,1|20,参加公会宴会1次，参加即可
21,参加擂台,1|21,参加擂台1次，参加即可
22,参加战场,1|22,参加战场1次，参加即可
23,参加主题派对,1|23,参加主题派对1次，参加即可
24,公会组织手册参与度达到,1|24,公会组织手册参与度达到1，没有做这个打点
25,参与时空调查团,1|25,参与时空调查团1次，并通过副本
26,累积登录天数,2|26,累积登录2天数
27,击杀MINI怪物,2|27,击杀2MINI怪物
28,与好友组队通关赫尔海姆,2|28,与好友组队通关2赫尔海姆
29,在世界频道喊话,2|29,在世界频道喊话2
30,获得声望点,2|30,获得2声望点
31,获赠礼物次数,2|31,获赠礼物2次数
32,使用道具数量|32|道具id血迹树枝,2|32|2033002,使用2个血迹树枝
33,获得友好度,2|33,获得2友好度
34,获得卡片数量|34|卡片品质,2|34|2,获得2个品质2的卡片
35,复活其他玩家次数,2|35,复活其他玩家2次数
