TaskID,MajorID,Target,Describe,Awardid,BaseLimit,Weight,CountType,Route
任务ID,任务类型（1每日，2免费赛季任务，3付费赛季，4限时每日任务5周任务6聚宝盆）,目标条件先数量再类型，聚宝除外写死，达成数量|目标id|目标参数，没有参数就填0,条件描述,奖励,base等级限制,刷新权重,废弃,"（1组队，2委托：1恶魔2猫手99委托，3代表活动|DailyActivitiesTable活动id，4打怪,5打开背包）"
1,1,1|1|0,每日登录,8540010,,,,
2,6,3|30|10,时光女神的馈赠 {0}\n每30分钟获得10经验，最多累积12小时,8540010,,,,
3,1,10|2|0,消耗10张委托券并完成委托,8540010,,,,2|99
4,1,40|2|0,消耗40张委托券并完成委托,8540010,,,,2|99
5,1,60|2|0,消耗60张委托券并完成委托,8540010,,,,2|99
6,2,240|2|0,消耗240张委托券并完成委托,8540040,,,,2|99
7,2,40|8|0,累积参与40次恶魔宝藏活动,8540040,,,,2|1
8,2,1500|14|0,获得1500个协同之证,8540040,,,,1|16000
9,2,3|20|0,累积参加3次公会宴会，并且每次至少完成一道菜肴制作,8540040,,,,3|11
10,3,5|17|0,累积参与5次猫手商队活动,8540050,,,,2|2
11,3,7|16|0,累积参加7次赫尔海姆并通过副本，不限难度,8540050,,,,3|2
12,3,4|25|0,参与4次时空调查团，并通过副本,8540050,,,,3|12
13,3,20|7|0,参与击杀20次MVP,8540050,,,,3|5
14,4,300|4|1|11|20 ,击杀风属性魔物300只，等级不低于base20级,8540020,,5,,4
15,4,300|4|2|11|20 ,击杀地属性魔物300只，等级不低于base20级,8540020,,5,,4
16,4,300|4|4|11|20,击杀水属性魔物300只，等级不低于base20级,8540020,,5,,4
17,4,300|4|3|11|20,击杀火属性魔物300只，等级不低于base20级,8540020,,5,,4
18,4,300|4|5|11|20,击杀毒属性魔物300只，等级不低于base20级,8540020,,5,,4
19,4,300|4|7|11|20,击杀暗属性魔物300只，等级不低于base20级,8540020,,5,,4
20,4,300|4|9|11|20,击杀不死属性魔物300只，等级不低于base20级,8540020,,5,,4
21,4,300|5|2|11|10,击杀小体型魔物300只，等级不低于base10级,8540020,,5,,4
22,4,300|5|0|11|10,击杀中体型魔物300只，等级不低于base10级,8540020,,5,,4
23,4,300|5|1|11|10,击杀大体型魔物300只，等级不低于base10级,8540020,,5,,4
24,4,300|6|1|11|20,击杀人形种族魔物300只，等级不低于base20级,8540020,,5,,4
25,4,300|6|3|11|20,击杀植物种族魔物300只，等级不低于base20级,8540020,,5,,4
26,4,300|6|8|11|20,击杀昆虫种族魔物300只，等级不低于base20级,8540020,,5,,4
27,4,300|6|6|11|20,击杀鱼贝种族魔物300只，等级不低于base20级,8540020,,5,,4
28,5,5|7|0,参与击杀5次MVP,8540030,,5,,3|5
29,5,500|14|0,获得500个协同之证,8540030,,5,,1|16000
30,5,50000|12|0,累计消耗5万zeny,8540030,,5,,
31,5,15|9|0,天地树达到15波次,8540030,,5,,3|17
32,5,25|18|0,无尽之塔层数通过第25层,8540030,60=999,5,,3|3
33,5,2|10|0,通关2次公会狩猎副本,8540030,45=999,5,,3|15
34,5,120|2|0,消耗120张委托券并完成委托,8540030,,5,,2|99
35,5,2|20|0,参与2次公会宴会，并且每次至少完成一道菜肴制作,8540030,,5,,3|11
36,5,2|16|0,参与2次赫尔海姆挑战副本，并通过副本,8540030,,5,,3|2
37,5,5000|11|5,击杀不低于自身等级5级的怪物5000只,8540030,,5,,4
38,5,4|19|0,极限挑战通关4次副本,8540030,,5,,3|14
39,5,3|22|0,参与3次战场活动,8540030,,5,,3|7
40,5,1|21|0,参与1次擂台活动,8540030,,5,,3|10
41,5,20|8|0,完成20次恶魔宝藏活动,8540030,,5,,2|1
42,5,1|23|0,参与1次主题派对活动,8540030,,5,,3|16
43,5,3|17|0,完成3次猫手商队活动,8540030,,5,,2|2
44,5,2|25|0,参与2次时空调查团活动，并通过副本,8540030,55=999,5,,3|12
45,2,5000|11|5,累积击杀5000只不低于自身等级5级的怪物,8540040,,,,4
46,2,6|17|0,累积参与6次猫手商队活动,8540040,,,,2|2
47,2,5|25|0,参与5次时空调查团，并通过副本,8540040,,,,3|12
48,2,1500|14|0,获得1500个协同之证,8540040,,,,1|16000
49,3,7|16|0,累积参加7次赫尔海姆并通过副本，不限难度,8540050,,,,3|2
50,3,45|8|0,累积参与45次恶魔宝藏活动,8540050,,,,2|1
51,3,320|2|0,消耗320张委托券并完成委托,8540050,,,,2|99
52,3,20|7|0,参与击杀20次MVP,8540050,,,,3|5
53,3,2000|11|0,累积击杀2000只不低于自身等级的怪物,8540050,,,,4
54,5,3|26|0,累积登录3天,8540030,,5,,
55,5,15|27|0,参与击杀15只MINI怪物,8540030,,5,,
56,5,4|28|0,与好友组队通关4次赫尔海姆,8540030,,5,,3|2
57,5,20|29|0,在世界频道喊话20次,8540030,,5,,
58,5,2000|30|0,获得2000个声望点,8540030,,5,,2|2
59,5,15|31|0,获赠15个礼物,8540030,,5,,
60,5,3|32|2033002,使用3个血迹树枝,8540030,200=999,0,,5
61,5,60|33|0,获得60点友好度,8540030,200=999,0,,
62,5,1|34|2,获得1张蓝色及以上品质的卡片,8540030,,5,,
63,5,5|35|0,复活5次其他玩家,8540030,,5,,
64,2,45|8|0,累积参与45次恶魔宝藏活动,8540040,,,,2|1
65,2,15|27|0,参与击杀15只MINI怪物,8540040,,,,
66,3,6|17|0,累积参与6次猫手商队活动,8540050,,,,2|2
