EffectId,Comment,IntervalTime,TriggerCd,BuffRange,BuffRangeCount,AttrListener,TriggerTiming,TriggerCondition,TriggerAudio,EffectType,EffectParam,TargetType,Fx,NeedOnTriggerSync,TriggerFx,TriggerGroupCd,TriggerCdGroupType
效果id,效果说明（策划用）,"间隔时间(配合触发时机1使用, 单位秒",内置触发CD,"buff范围(光环类Buff, 配合触发时机为范围时生效, -1为无限大，6代表半径为6的圆形，6|5代表长6宽5的方形",buff范围内生效人数（触发时机为8.暗壁类时填写，范围内随机此数量）,属性监听,触发时机（0.buff被加的一刻 1.时间 2.圆形范围，有人进入 3.受击时 4.击中目标 5.属性变化（未实现） 6.被删除时 7.BUFF堆叠时 8.暗壁类（有人进入）9.装备更换时 10.被击中时，伤害计算前 11.攻击时，伤害计算前 12.击杀entity13.buff时间累加时 14.矩形范围（有人进入）15.释放技能后（具体释放的技能在lua里面取）16.持有者死亡时 17.骑上战斗坐骑 18.下战斗坐骑 19.被击退结束）,触发条件（lua）,触发音效,"效果（1.HP/Sp变化   2.属性变化   3.属性转化  4.特殊状态  5.变身  6.加BUFF7.删BUFF（id）  8.删BUFF（类型）  9.技能释放（动作变/不变）  10.特效  11.lua13.删除buff根据BuffEffect12.元素属性变化 14.HP/SP变化，不跳字  15.状态打断（0打断吟唱, 1打断技能）16.BUFF针对特定技能的影响 17.复活 18.瞬间移动 19.存在期间受击特效）20.LUA修改了属性需要还原 21.buff针对参与伤害公式的临时属性修改 22.对隐身状态敌人可见 23.免疫buff异常状态 24.变身 25.变身取消 26.改变shader或者添加脚本 27.buff招怪 28.改变发型 29.改变模型大小 30.召唤老鹰 31.装备元素属性改变 32.黑暗前端显示效果（显示范围=r=g=b=初始a=结束a）  33.连接型特效    34.BUFF上坐骑 35. 招召唤兽 36. NPC跟随（entityid|召唤半径|不能进入场景）37. 释放普通攻击(是否使用动作=是否打断前一个技能动作=是否打断自己动作) 38. 变身只变技能和属性 39. 灵魂击飞 40.改变怪主被动 41.开始祝福效果 42.同属性不同ID非同源buff效果不叠加属性 43. 添加吟唱条 44. 手推车 45. 幻觉 46.变身添加技能 47.传送制定位置 48.给场景AI发事件 49.添加饰品",效果参数,"目标类型(0.自己 1.友方(包括自己 2.敌方 3.所有人   4.友方死人    5.队友          这个参数只跟触发时机2,3,4有关",触发特效（特效id=挂点类型【0具体挂点，1身高百分比】=对应类型的值【具体挂点或百分比】）,是否通知客户端触发时机（1，通知，0，不通知。默认不通知）,触发特效（废弃）,内置触发共CD,内置触发CD组
6,冰冻术（控制效果）,,,,,,0,,,4,137|138|139|140|141|145,,,,,,
15,冰冻术（改变元素属性）,,,,,,0,,,31,170=4,,,,,,
1030101,冰冻术打断,,,,,,0,,,15,0,,,,,,
1030102,冰冻术属性改变,,,,,,0,,,2,31=-5000|33=-5000|42=2500,,,,,,
1330101,石化术（控制效果）,,,,,,0,,,4,137|138|139|140|141|145,,,,,,
1330102,石化术（改变元素属性）,,,,,,0,,,31,170=2,,,,,,
1330103,石化术打断,,,,,,0,,,15,0,,,,,,
1330104,石化术属性改变,,,,,,0,,,2,31=-5000|33=-5000|42=2500,,,,,,
1620101,沉默状态,,,,,,0,,,11,Nil,,,,,,
104800201,猎蝇睡眠状态,,,,,,0,,,11,Nil,,,,,,
