Id,Name,IsIP,InGameName,Description,BuffId,Level,IsDebuff,Type,ReplaceRule,AddCondition,BuffEffect,EffectGroup,DestroyTiming,DestroyLua,BeHitLua,Fx,FxWarningTime,ScaleFac,FxPoint,FxPointHightPercent,BeginFx,BeginFxPoint,BeginFxPointHightPercent,DestroyFx,DestroyFxPoint,DestroyFxPointHightPercent,BeginAudio,Audio,DestroyAudio,IsDeathClear,IsOffLineClear,IsChangeMapClear,TimePass,ConfigData,TipsForEquip,IsVisible,TransfigureDeleteType,IconAtlas,Icon,ReplaceBuffId,CouldCancel,IsChangeByNumber,MobCanInherit,IsRelateBuff,RelateBuffId,BuffPriority,IsRemovableGain,LocalizationArea
唯一id,名字,是否沿用端游翻译（0否 1是）,游戏内名字,buff描述\r\n（游戏中描述）,buffid\r\n（程序用）,等级\r\n(程序用),是否减益BUFF\r\n（0.增益  1.减益）,类型（2. 眩晕、石化、冰冻类型buff3. 黑暗、沉默、诅咒类型buff4. 加移速类型判断 5. 中毒类型 101. BUFF给坐骑类    102. 召唤NPC类型 103. 宴会buff类型 104. 变身类型 105.武器属性 106.黑暗迷宫火种 107.圣母之祈福 108.英灵殿元素灌注 109.突击炮增强buff110.攻击塔强化削弱状态 201.药水     202.料理     203.甜品 204.新料理，205新药剂）,替换规则（1.同源同ID替换  2.不同源同ID替换   3.同源同类别替换  4.不同源同类别替换  5.堆叠 6.特殊状态属性替换 7.特殊状态替换并且自身可以叠加 8.同源同ID堆叠（同等级叠加，高等级替换低等级） 9.不同源同ID堆叠（同等级堆叠，高等级替换低等级） 10.同源同ID时间叠加规则（同等级时间累加，高等级替换低等级，-1为时间无限叠加））,添加条件（lua）,状态效果(枚举在sheet2中）,buff效果组,销毁时机（1.时间到 2.不吸收溢出伤害的hp3.生效次数 4.吸收溢出伤害的hp 5.按skilltime销毁）,销毁lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,被击lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,特效,流光特效预警时间（单位秒，默认0）,预警特效参数（x=y=z）,特效挂点,包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始特效,开始特效挂点,开始包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,销毁特效,销毁特效挂点,销毁包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始音效,持续音效,结束音效,死亡是否删除（0，删除，1. 不删除）,"下线是否删除(0 删除, 1. 不删除)", 切换场景是否删除(0：不删除 1 删除),"时间流逝 ( 0.下线不流逝 1.死亡不流逝 2.切副本不流逝, 没有不填 )",传值到lua（配制方法：key1=value1=key2=value2=....=keyn=valuen=.....）,词条描述,是否可见（0为不可见，1为可见）,变身删除类型（0直接删除，1等变身结束还原并修改时间 2变身状态保留 ）,图标Atlas,图标,替换buffid，线上更新用,可以被主动取消（0不可以，1可以，默认不可以）,是否根据层数改变特效（0.否；1.是；不填默认为0）,召唤兽是否可继承（1可以继承 0不可继承 默认不可继承【未生效】）,是否为关联Buff,关联BuffID,护盾生效优先级（生效晚于未配置该字段的护盾类型，例如霸邪，配置方式为(类型=值)，同配置情况下值越小越优先，type1=护盾）,可以解除的增益标记,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
107101,沉默之术（沉默之术专用沉默）,,沉默,陷入沉默异常状态,1071,1,1,3,2=0,ChenMo|MinChance=1500,106,1620101,1=4,ChenMo|Time=4|MinTime=4,,209,,,,1,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ChenMo.png,,,,,,,,,
107102,沉默之术（沉默之术专用沉默）,,沉默,陷入沉默异常状态,1071,2,1,3,2=0,ChenMo|MinChance=1500,106,1620101,1=8,ChenMo|Time=8|MinTime=4,,209,,,,1,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ChenMo.png,,,,,,,,,
107103,沉默之术（沉默之术专用沉默）,,沉默,陷入沉默异常状态,1071,3,1,3,2=0,ChenMo|MinChance=1500,106,1620101,1=12,ChenMo|Time=12|MinTime=4,,209,,,,1,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ChenMo.png,,,,,,,,,
107104,沉默之术（沉默之术专用沉默）,,沉默,陷入沉默异常状态,1071,4,1,3,2=0,ChenMo|MinChance=1500,106,1620101,1=16,ChenMo|Time=16|MinTime=4,,209,,,,1,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ChenMo.png,,,,,,,,,
107105,沉默之术（沉默之术专用沉默）,,沉默,陷入沉默异常状态,1071,5,1,3,2=0,ChenMo|MinChance=1500,106,1620101,1=20,ChenMo|Time=20|MinTime=4,,209,,,,1,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ChenMo.png,,,,,,,,,
200401,石化术效果（魔法师、1级）,,石化,无法移动、无法释放技能，受击后可提前解除,2004,1,1,2,6=0,,302,1330101|1330102|1330103|1330104,1=15,ShiHua|Time=15|MinTime=5,,,,,,,,,,,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_ShiHua.png,,,,,,,,,
200601,冰冻术,,冰冻术,无法移动、无法释放技能，被击后可提前解除,2006,1,1,2,6=0,BingDongImmune|immuneBuff=2006|MinChance=3000,301,6|15|1030101|1030102,1=6,BingDong|Time=6|MinTime=5,,30,,,,,,,,400,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_BingDong.png,,,,,,,,,
200602,冰冻术,,冰冻术,无法移动、无法释放技能，被击后可提前解除,2006,2,1,2,6=0,BingDongImmune|immuneBuff=2006|MinChance=3000,301,6|15|1030101|1030102,1=7,BingDong|Time=7|MinTime=5,,30,,,,,,,,400,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_BingDong.png,,,,,,,,,
200603,冰冻术,,冰冻术,无法移动、无法释放技能，被击后可提前解除,2006,3,1,2,6=0,BingDongImmune|immuneBuff=2006|MinChance=3000,301,6|15|1030101|1030102,1=8,BingDong|Time=8|MinTime=5,,30,,,,,,,,400,,,,,,0,0,,,,,1,0,Buffbox,UI_Icon_Buff_Tongyong_BingDong.png,,,,,,,,,
