Id,Name,IsIP,InGameName,Description,BuffId,Level,IsDebuff,Type,ReplaceRule,AddCondition,BuffEffect,EffectGroup,DestroyTiming,DestroyLua,BeHitLua,Fx,FxWarningTime,ScaleFac,FxPoint,FxPointHightPercent,BeginFx,BeginFxPoint,BeginFxPointHightPercent,DestroyFx,DestroyFxPoint,DestroyFxPointHightPercent,BeginAudio,Audio,DestroyAudio,IsDeathClear,IsOffLineClear,IsChangeMapClear,TimePass,ConfigData,TipsForEquip,IsVisible,TransfigureDeleteType,IconAtlas,Icon,ReplaceBuffId,CouldCancel,IsChangeByNumber,MobCanInherit,IsRelateBuff,RelateBuffId,BuffPriority,IsRemovableGain,LocalizationArea
唯一id,名字,是否沿用端游翻译（0否 1是）,游戏内名字,buff描述\r\n（游戏中描述）,buffid\r\n（程序用）,等级\r\n(程序用),是否减益BUFF\r\n（0.增益  1.减益）,类型（2. 眩晕、石化、冰冻类型buff 3. 黑暗、沉默、诅咒类型buff 4. 加移速类型判断 5. 中毒类型 101. BUFF给坐骑类    102. 召唤NPC类型 103. 宴会buff类型 104. 变身类型 105.武器属性 106.黑暗迷宫火种 107.圣母之祈福 108.英灵殿元素灌注 109.突击炮增强buff 110.攻击塔强化削弱状态 111.毕尤护盾 112.秋夕节检测buff 113.万圣节淘汰通告buff 114.万圣节选择答案buff  115.万圣节抉择游戏buff  116.天罚通告 117.奶油范围Buff 118.奶油cdBuff 119.奶油伤害Buff 120.火把溅射标识 150.合奏 151.安可 152.天使之障壁 153.元素手套  154.破坏状态 201.药水     202.料理     203.甜品 204.新料理，205新药剂，206手推车 207 泡点buff 208 魔法信笺buff 209.gvg牧师机甲 210.gvg抗性祝福 300，坏血病 301，狩猎场奖励翻倍307，冒险任务阵营转换）,替换规则（1.同源同ID替换  2.不同源同ID替换   3.同源同类别替换  4.不同源同类别替换  5.堆叠 6.特殊状态属性替换 7.特殊状态替换并且自身可以叠加 8.同源同ID堆叠（同等级叠加，高等级替换低等级） 9.不同源同ID堆叠（同等级堆叠，高等级替换低等级） 10.同源同ID时间叠加规则（同等级时间累加，高等级替换低等级，-1为时间无限叠加））,添加条件（lua）,状态效果(枚举在sheet2中）,buff效果组,销毁时机（1.时间到 2.不吸收溢出伤害的hp 3.生效次数 4.吸收溢出伤害的hp 5=skill ID.按skilltime销毁）,销毁lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,被击lua（lua1|type1=value1;lua2|type2=value2  value必须整数）,特效（根据层数改变时，第1层特效①=第1层特效②| 第2层特效①=第2层特效②|=第3…不根据层数改变时，多特效之间用=即可）,流光特效预警时间（单位秒，默认0）,预警特效参数（x=y=z）,特效挂点,包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始特效,开始特效挂点,开始包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,销毁特效,销毁特效挂点,销毁包围盒特效挂点（值为0-1浮点数代表特效挂在目标身上的位置段，0为脚底，1为头顶，前字段特效挂点为空的时候读取本字段，不为空则忽视本字段）,开始音效,持续音效,结束音效,死亡是否删除（0，删除，1. 不删除）,"下线是否删除(0 删除, 1. 不删除)", 切换场景是否删除(0：不删除 1 删除),"时间流逝 ( 0.下线不流逝 1.死亡不流逝 2.切副本不流逝, 没有不填 )",传值到lua（配制方法：key1=value1=key2=value2=....=keyn=valuen=.....）,词条描述,是否可见（0为不可见，1为可见）,变身删除类型（0.变身后直接删除该buff 1.变身时删除该buff，变身后还原，变身过程中时间流逝。变身状态时，上该BUFF不会生效 2.变身状态保留该buff ）,图标Atlas,图标,替换buffid，线上更新用,可以被主动取消（0不可以，1可以，默认不可以）,是否根据层数改变特效（0.否；1.是；不填默认为0）,召唤兽是否可继承（1可以继承 0不可继承 默认不可继承【未生效】）,是否为关联Buff,关联BuffID,护盾生效优先级（生效晚于未配置该字段的护盾类型，例如霸邪，配置方式为(类型=值)，同配置情况下值越小越优先，type1=护盾）,可以解除的增益标记,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1001,NIL,,,NIL,10,1,0,,1=0,,,1001,,,,,,,,,,,,,,,,,,1,1,,,,|test,0,1,,,,,,,,,,,
2001,大嘴鸟装备buff,0,,,20,1,0,,1=0,,,2001,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2101,大嘴鸟技能buff,0,,,21,1,0,,1=0,,,2002,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2201,猎鹰装备buff,0,,,22,1,0,,1=0,,,2003,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2301,猎鹰技能buff,0,,,23,1,0,,1=0,,,2004,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2401,一阶手推车装备buff,,,,24,1,0,,1=0,,,2005,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2501,二阶手推车装备buff,,,,25,1,0,,1=0,,,2006,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2601,三阶手推车装备buff,,,,26,1,0,,1=0,,,2007,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2701,手推车技能buff,,,,27,1,0,,1=0,,,2008,,,,,,,,,,,,,,,,,,1,1,0,,,,0,0,,,,,,,,,,,
2801,删除手推车buff,,,,28,1,0,,1=0,,,2009,3=1,,,,,,,,,,,,,,,,,0,0,1,,,,0,0,,,,,,,,,,,
10001,测试Buff,,,测试Buff,100,1,0,1,1=0,HPLimitDown|HP=50,,1,1=30|2=2000|3=3,,,,,,,,,,,,,,,,,0,0,,,,,0,1,,,,,,,,,,,
10101,挑衅（1级）,,挑衅,挑衅（1级）,101,1,1,,2=0,,,1010101|4006401,1=7,,,,,,,,119,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,,
