Description,Name,Value
参数描述,名字,值
单次跑商时间,BusinessTime,600
跑商初始波利币,OpenBoliCoin,100000
随机事件刷新时间,RandomRefreshTime,1800
商店刷新时间,ShopRefreshTime,180
完成任务波利币指标,FinishBoliCoin,200000
质量为1的商人,MerchantQualityNomal,99991=4=114=10=133=180=10000|99992=4=112=10=66=272=10000|99993=4=114=10=108=270=10000|99994=38=147=14=178=180=10000|99995=45=107=33=109=188=10000|99996=36=83=23=44=316=10000
质量为2的商人,MerchantQualityMedium,99997=4=119=10=111=159=10000|99998=4=156=14=81=278=10000|99999=11=77=2=104=188=10000|999910=11=106=2=131=175=10000|999911=11=85=5=62=187=10000|999912=4=116=10=58=228=10000
质量为3的商人,MerchantQualityHigh,999913=11=60=2=42=314=8000|999914=11=126=2=111=255=8000|999915=11=70=5=42=7=8000|999916=4=44=10=87=143=8000|999917=23=48=5=128=111=8000|999918=45=143=30=72=196=8000
每次刷新事件,EventRefreshNumber,2=4
每个商人最多挂接事件数量,MerchantEventMaxNumber,2
防外挂距离,PreventPluginLenth,10
跑商任务ID,BusinessTaskID,17000018
跑商凭证ID,BusinessCertificate,9999900
跑商寻路被打断后目标点存活时间,BusinessInterruptSession,0.01
跑商背包限制数量,BusinessBagCount,15
跑商背包限制图标,BusinessBagLimitIcon,UI_Common_ItemBG_07.png
