ID,BasePrice,PriceFloat,PriceLimit,SingleSellNum,Merchant,remark1
道具ID,基础价格,价格浮动范围（单位：百分比）,价格限制范围,出售数量,出售该货物的商人,出产地
9999901,5000,-14=3,100=1000000,2500=5000,9991,普隆德拉
9999902,13000,-14=3,100=1000000,1500=2500,9991,普隆德拉
9999903,45000,-14=3,100=1000000,1000=1500,9991,普隆德拉
9999904,4000,-18=5,100=1000000,2500=5000,9992,波利岛
9999905,16000,-18=5,100=1000000,1500=2500,9992,波利岛
9999906,39000,-18=5,100=1000000,1000=1500,9992,波利岛
9999907,7000,-18=5,100=1000000,2500=5000,9993,伊斯鲁得
9999908,18000,-18=5,100=1000000,1500=2500,9993,伊斯鲁得
9999909,75000,-18=5,100=1000000,1000=1500,9993,伊斯鲁得
9999910,12000,-18=5,100=1000000,2500=5000,9994,苏克拉特沙漠
9999911,35000,-18=5,100=1000000,1500=2500,9994,苏克拉特沙漠
9999912,120000,-18=5,100=1000000,1000=1500,9994,苏克拉特沙漠
9999913,4500,-18=5,100=1000000,2500=5000,9995,沙漠之桥
9999914,24500,-18=5,100=1000000,1500=2500,9995,沙漠之桥
9999915,96000,-18=5,100=1000000,1000=1500,9995,沙漠之桥
9999916,5600,-18=5,100=1000000,2500=5000,9996,艾尔贝塔
9999917,35000,-18=5,100=1000000,1500=2500,9996,艾尔贝塔
9999918,150000,-18=5,100=1000000,1000=1500,9996,艾尔贝塔
