ID,Description,DefaultLastingTime,IsRotation,RotationAngle,TiltAngle,Distance,FOV,CameraSpdDis,CameraSpdRotX,CameraSpdRotY,VerticalOffset,HideMainUI,ShowBlackBars
镜头ID,镜头说明,默认持续时间，单位秒。如果配有，该镜头就持续相应的时间之后恢复；如果不配，则由调用该镜头的事件自己去控制持续时间,是否生效角度,方位角（对象面向的方向为0，逆时针为正向）,仰角,离目标的距离,视野（留空则使用默认值）,"摄像机距离速度（留空则使用默认值,>=100时直接到达距离，速度无限大）","摄像机方位角旋转速度（留空则使用默认值,>=100时直接到达距离，速度无限大）","摄像机仰角旋转速度（留空则使用默认值,>=100时直接到达距离，速度无限大）",垂直偏移量（朝上为正）,是否隐藏主UI,是否在屏幕上显示上下两条黑边
10,和NPC对话,,1,0,10,5,,15,,,1,1,1
20,通用旋转拉近交互物品,,1,30,30,5,,,,,1,0,0
21,通用旋转拉近交互物品,3,1,30,30,5,,,,,1,0,0
30,秋千交互,,1,30,5,5,,,,,0,0,0
40,和NPC对话,,1,0,0,8,,10,0,,1,1,0
41,和NPC对话,3,1,0,0,8,,10,0,,1,1,0
42,和NPC对话,1.2,1,0,0,8,,10,0,,1,1,0
50,对话脚本拉近镜头,20,1,30,5,5,,15,,,,,
51,对话脚本拉近镜头,3,1,30,5,5,,15,,,,,
60,战场结束拍照镜头1,,1,30,20,6,,100,100,100,1,0,0
61,战场结束拍照镜头2,,1,90,30,6,,100,100,100,1,0,0
62,战场结束拍照镜头3,,1,150,30,6,,100,100,100,1,0,0
63,战场结束拍照镜头4,,1,210,30,6,,100,100,100,1,0,0
64,战场结束拍照镜头5,,1,270,30,6,,100,100,100,1,0,0
65,战场结束拍照镜头6,,1,330,30,6,,100,100,100,1,0,0
70,通用拉近交互物品,,0,0,0,7,,5,0,0,1,0,0
71,缓速拉近交互物品,,0,0,0,10.8,,2,0,0,1,0,0
72,通用拉近交互物品,3,0,0,0,7,,5,0,0,1,0,0
73,缓速拉近交互物品,,0,162,0,10.8,,2,0,0,1,0,0
80,以玩家为焦点拉远镜头,,0,0,10,30,,0.3,0.5,0.5,1,0,0
81,缓速拉近目标位置,,0,0,0,25,,0.8,0,0,1,0,0
82,以玩家为焦点拉远镜头,3,0,0,10,30,,0.3,0.5,0.5,1,0,0
83,以玩家为焦点拉远镜头,,0,0,10,30,,0.3,0.5,0.5,1,1,1
84,以玩家为焦点拉远镜头,,1,180,10,20,,100,100,100,1,1,1
85,群岛冒险下-依诗柯出现,,1,90,45,20,,100,100,100,1,1,1
90,稍远距离推进镜头,,0,0,10.7,9.37,,21.59504,8.351239,0,1,1,1
100,稍远距离旋转推进镜头,,1,26.77686,1.074378,7,,21.59504,8.351239,0,1,1,1
110,和NPC对话,3,1,0,0,8,,10,0,,1,1,0
111,和NPC对话,3,1,0,0,8,,10,0,,1,1,0
112,缓速拉近目标位置,,1,0,0,25,,0.8,0,0,1,0,0
113,缓速拉近交互物品（无ui）,,0,0,0,10.8,,2,0,0,1,1,0
114,通用旋转拉近交互物品（无ui）,,1,30,30,5,,,,,1,1,0
115,通用拉近交互物品（无ui）,,0,0,0,7,,5,0,0,1,1,0
116,以玩家为焦点拉远镜头,,0,0,10,10,,0.3,0.5,0.5,1,1,0
117,稍远距离推进镜头,,1,0,10.7,9.37,,21.59504,8.351239,0,1,1,0
118,以玩家为焦点拉远镜头,,1,150,35,15,,100,100,100,1,1,0
119,和NPC对话,,1,0,0,8,,10,0,,1,1,0
120,以玩家为焦点拉远镜头,,1,180,10,13,,100,100,100,1,1,1
121,以玩家为焦点拉远镜头,,1,0,10,15,,10,0.5,0.5,1,1,0
122,缓速拉近目标位置,,0,0,0,25,,0.8,0,0,1,0,1
200,稍远距离旋转推进镜头,,1,-15.7,8.1,10,,21.59504,8.351239,0,1,1,1
201,群岛冒险下-舞台,,1,250,10,20,,100,100,100,1,1,1
202,群岛冒险上-舞台,,1,0,10,30,,0.3,0.5,0.5,1,1,1
203,古城奇遇,,0,0,10.7,11,,21.59504,8.351239,0,1,1,0
210,宠物勋章-密谋,11,1,0,20,25,,0.8,0,0,1,1,1
211,宠物勋章-聚会,13,1,0,10,25,,0.8,0,0,1,1,1
212,宠物勋章-聚会,11,1,0,10,25,,0.8,0,0,1,1,1
213,宠物勋章-聚会,11,1,0,10,25,,0.8,0,0,1,1,1
220,天空套-逃生,11,1,0,10,25,,0.8,0,0,1,1,1
