ID,Mode,Comment,OrgCameraDis,MaxCameraDis,MinCameraDis,OrgCameraRot,MaxCameraRot,MinCameraRot,CanChangeDistance,CanTransverse,CameraSpeedDis,CameraSpeedRot,PhotoMaxY,PhotoMaxX,PhotoOffsetY
镜头ID,应用模式（1.场景 2.相机）,说明，策划备注,默认镜头距离,最大镜头距离,最小镜头距离,默认镜头仰角,最大镜头仰角,最小镜头仰角,是否能改变镜头距离,是否能转动视角,相机距离缓动速度,相机角度缓动速度,水平移动误差Y值,垂直移动误差X值,Y方向偏移
1,1,测试配置，镜头无法放大缩小,18,28,7,31,31,6,0,1,6,8,2,2,1.5
2,1,测试配置，镜头无法转动,10,28,7,23,31,6,1,0,6,8,2,2,1.5
3,1,测试配置,18,18,7,15,31,6,1,1,6,8,2,2,1.5
4,1,副本拉远镜头配置,21,28,7,31,31,6,1,1,6,8,2,2,1.5
5,1,镜头拉远（战场）,21,28,7,31,31,6,1,1,6,8,2,2,1.5
6,1,圣歌试炼,23,28,7,31,31,6,1,1,6,8,2,2,1.5
7,1,黑暗迷宫,35,35,35,60,60,60,0,0,6,8,2,2,1.5
8,1,魔法学院,15,15,15,0,0,0,0,0,6,8,2,2,1.5
9,1,塔防,28,28,28,25,31,6,1,1,6,8,2,2,1.5
10,1,混沌的枷锁,35,35,7,25,31,6,1,1,6,8,2,2,1.5
11,1,5V5 PVP战场,25,28,7,31,31,6,1,1,6,8,2,2,1.5
12,1,记忆碎片5,35,35,35,60,60,60,0,0,6,8,2,2,1.5
13,1,记忆碎片6,35,35,35,60,60,60,0,0,6,8,2,2,1.5
14,1,时间的牢笼,15,21,7,12,28,6,1,1,6,8,2,2,1.5
