TypeID,TypeName,CategoryTab
分类标签id,标签名,所属大类（1属性 2元素 3种族 4体型 5减益 6技能 7其他 10特殊效果）
101,力量,1
102,敏捷,1
103,体质,1
104,智力,1
105,灵巧,1
106,幸运,1
107,生命值,1
108,魔法值,1
109,物理攻击,1
110,魔法攻击,1
111,物理防御,1
112,魔法防御,1
114,吟唱时间,1
115,攻击速度,1
201,增加伤害,2
202,减少伤害,2
203,铠甲属性,2
301,增加伤害,3
302,减少伤害,3
401,增加伤害,4
402,减少伤害,4
501,攻击施予,5
502,受击施予,5
503,抗性增加,5
504,完全免疫,5
505,装备损坏,5
602,获得技能,6
603,攻击触发,6
604,受击触发,6
701,命中,7
702,闪避,7
703,暴击爆伤,7
706,其他增伤,7
707,其他减伤,7
708,伤害反射,7
709,治疗效果,7
801,其他,10
802,无视体型,10
803,攻击触发,10
804,无敌,10
805,霸体,10
806,技能消耗,10
807,移动速度,10
