EntityID,Name,ExtraAwardID,ExtraType
怪物ID,名称（策划用）,额外掉卡奖励包ID,怪物所属类型，关联CardExtraDrop
1001,波利,5110010,1
1003,疯兔,5110020,1
1004,虫蛹,5110030,1
1002,绿棉虫,5110040,1
1169,小鸡,5110050,1
1070,蛋壳小鸡,5110060,1
1009,苍蝇,5110070,1
1029,树精,5110080,1
1075,秃鹰,5110090,1
1008,小野猪,5110100,1
1025,罗达蛙,5110110,1
1006,蝗虫,5110120,1
1027,森灵,5110130,1
1170,蜗牛,5110140,1
1026,魔菇,5110150,1
1071,盗虫卵,5110160,1
1054,土波利,5110170,1
1005,盗虫,5110180,1
1047,白鼠,5110190,1
1171,蚂蚁幼虫,5110200,1
1076,沙漠幼狼,5110210,1
1128,腐尸,5110220,1
1024,溜溜猴,5110230,1
1052,波波利,5110240,1
1038,毒魔菇,5110250,1
1172,浮勒盗虫,5110260,1
1173,玛勒盗虫,5110270,1
1030,松鼠,5110280,1
1033,土拨鼠,5110290,1
1124,摩卡,5110300,1
1182,转转蛋,5110310,1
1007,蜂兵,5110320,1
1189,巨象甲虫,5110330,1
1100,人鱼士兵,5110340,1
1259,爆钻伞蜥,5110350,1
1050,吸血蝙蝠,5110360,1
1174,邪骸战士,5110370,1
1137,魔锅蛋,5110380,1
1204,兹诺克,5110390,1
1108,黑蚁,5110400,2
1262,邪骸食人鱼,5110410,2
1126,绿苍蝇,5110420,2
1099,人鱼,5110430,2
1210,僵尸,5110440,2
1127,绿腐尸,5110450,2
1193,鬼火,5110460,2
1037,艾斯蜘蛛,5110470,2
1106,狂暴木乃伊,5110480,2
1011,克瑞米,5110490,2
1049,青蛇,5110500,2
1109,白蚁,5110510,2
1177,漂浮虫,5110520,2
1092,水母,5110530,2
1178,长老树精,5110540,2
1034,狼,5110550,2
1141,毕莱特,5110560,2
1261,蓝鼠,5110570,2
1023,狸猫,5110580,3
1122,气泡虫,5110590,3
1035,野猪,5110600,3
1131,兽人女战士,5110610,3
1048,猎蝇,5110620,3
1094,邪骸海盗,5110630,3
1130,兽人战士,5110640,3
1104,白幽灵,5110650,3
1098,大嘴鸟,5110660,3
1181,兽人腐尸,5110670,3
1183,麦斯特,5110680,3
1119,卡那多斯,5110690,3
1097,乌贼,5110700,3
1185,重金属蝗虫,5110710,3
1186,妖道,5110720,3
1176,大脚熊,5110730,3
1138,蚯蚓,5110740,3
1120,蛇女伊丝,5110750,3
1258,伞蜥,5110760,3
1102,黑狐,5110770,3
1212,恶灵,5110780,3
1190,巨石怪,5110790,3
1191,南瓜先生,5110800,3
1031,螳螂,5110810,3
1194,鬼女,5110820,3
1114,杰洛米,5110830,3
1115,诺可伊,5110840,3
1227,灰森灵,5110850,3
1228,毕帝特飞龙,5110860,3
1118,风魔巫师,5110870,3
1233,狂暴野猫,5110880,3
1260,梅纳海葵,5110890,3
1220,傀儡娃娃,5110900,3
1105,木乃伊,5110910,3
1129,赤苍蝇,5110920,3
1192,将军魔碑,5110930,3
1132,兽人弓箭手,5110940,3
1134,兽人婴儿,5110950,9
1101,基尔瑟,5110960,9
1140,邪骸士兵,5110970,9
1139,邪骸弓箭手,5110980,9
1018,弓箭哥布灵,5110990,9
1040,直升机哥布灵,5111000,9
1093,剑鱼,5111010,9
1039,喷射哥布灵,5111020,9
1095,马克,5111030,9
1188,异变鱼,5111040,9
1136,泥人,5111050,9
1195,梦魇,5111060,9
1197,黑蛇,5111070,9
1198,土人,5111080,9
1199,九尾狐,5111090,9
1223,马尔杜克,5111100,9
1019,艾吉欧蜈蚣,5111110,9
1236,帕莎纳,5111120,9
1232,犬妖弓箭手,5111130,9
1249,小恶魔,5111140,9
