ID,CardLevel,CardQuality,LevelUpConsume,LevelUpAddAttr,CardRestoreConsume,CardBorder,CardEffect,CanUsePosition
唯一ID,卡片等级,卡片品质,卡片升级消耗（道具ID=数量|道具ID2=数量）,卡片升级增加属性（（属性类型=具体属性ID=数值/参数……；属性类型：0，常规属性；1，buff属性；2，精炼词条属性；3，特技；4，主动技能））,卡片返还消耗,卡片边框,卡片特效,卡片对应装备部位
1,0,1,0,0,0,UI_CardFrame_Big_greencard_01.png,,1
2,1,1,30000050=10,0=425=5,101=100000,UI_CardFrame_Big_greencard_01.png,,1
3,2,1,30000050=10,0=425=5,101=100000,UI_CardFrame_Big_greencard_01.png,,1
4,3,1,30000050=10,0=425=5,101=100000,UI_CardFrame_Big_greencard_01.png,,1
5,4,1,30000050=10,0=425=5,101=100000,UI_CardFrame_Big_greencard_01.png,,1
6,5,1,30000050=10,0=425=5,101=100000,UI_CardFrame_Big_greencard_01.png,,1
7,6,1,30000050=20,0=425=10,101=100000,UI_CardFrame_Big_greencard_02.png,,1
8,7,1,30000050=20,0=425=10,101=100000,UI_CardFrame_Big_greencard_02.png,,1
9,8,1,30000050=20,0=425=10,101=100000,UI_CardFrame_Big_greencard_02.png,,1
10,9,1,30000050=20,0=425=10,101=100000,UI_CardFrame_Big_greencard_02.png,,1
11,10,1,30000050=20,0=425=10,101=100000,UI_CardFrame_Big_greencard_02.png,,1
12,11,1,30000050=40,0=425=15,101=100000,UI_CardFrame_Big_greencard_03.png,,1
13,12,1,30000050=40,0=425=15,101=100000,UI_CardFrame_Big_greencard_03.png,,1
14,13,1,30000050=40,0=425=15,101=100000,UI_CardFrame_Big_greencard_03.png,,1
15,14,1,30000050=40,0=425=15,101=100000,UI_CardFrame_Big_greencard_03.png,,1
16,15,1,30000050=40,0=425=15,101=100000,UI_CardFrame_Big_greencard_03.png,,1
17,16,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
18,17,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
