ID,Name,Type,ItemPos,Prefab,IdleAnim,RunAnim,BeHitAnim,IncrAttrList,CouldCancelCarry
编号,名字,类型 1.双人烹饪道具 2.钓竿 3.遮阳篷 4.镰刀 5.镐 6.浮标,道具位置 0.无 1.采摘 2.挖矿 3.烹饪 4.制药 5.甜品 6.武器冶炼 7.钓鱼 8.钓鱼遮阳篷 9.防具冶炼 10.饰品冶炼,资源路径,待机动画路径(参数：职业英文，性别）,跑步动画(参数：职业英文，性别）,待机动画路径(参数：职业英文，性别）,该状态下玩家属性变化（属性1=增加值1|属性2=增加值2|…支持正负，如74=-3000就表示搬运的时候速度降低30%）,是否可手动取消搬运
1,胡萝卜,1,0,Item_Cooking_HuLuoBo,{0}/{1}_{2}_Bao_Idle,{0}/{1}_{2}_Bao_Run,{0}/{1}_{2}_Bao_Idle,,
2,生菜,1,0,Item_Cooking_BaoCai,{0}/{1}_{2}_Bao_Idle,{0}/{1}_{2}_Bao_Run,{0}/{1}_{2}_Bao_Idle,,
3,肉,1,0,Item_Cooking_Rou,{0}/{1}_{2}_Bao_Idle,{0}/{1}_{2}_Bao_Run,{0}/{1}_{2}_Bao_Idle,,
4,鱼,1,0,Item_Cooking_Yurou,{0}/{1}_{2}_Bao_Idle,{0}/{1}_{2}_Bao_Run,{0}/{1}_{2}_Bao_Idle,,
100000,新手村花盆装饰物,1,0,Item_Collect_HuaPen,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
100001,货物箱,1,0,Item_Collect_HuoWuXiang,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
100002,酒桶,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
100003,气球,1,0,Item_Collect_QiQiu,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101000,装饰物,1,0,Item_Collect_QiQiu,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101001,装饰物,1,0,Item_Collect_QiQiu,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101002,货物箱,1,0,Item_Collect_HuoWuXiang,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101003,酒桶,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101004,货物箱,1,0,Item_Collect_HuoWuXiang,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101005,酒桶,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101006,货物箱,1,0,Item_Collect_HuoWuXiang,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101007,黄金祭坛,1,0,Item_Collect_JinZiTaFuBen_JiGuan_001,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101008,一桶离人泪,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101009,原液,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101010,酒桶,1,0,Item_Collect_JiuTong,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
101011,装有机械体的木箱,1,0,Item_Collect_HuoWuXiang,{0}/{1}_{2}_BanYun_Idle,{0}/{1}_{2}_BanYun_Walk,{0}/{1}_{2}_BanYun_Idle,74=-6000,
200001,炸弹,1,0,Item_Collect_ZhaDan,{0}/{1}_{2}_BaoZhaDan_Idle,{0}/{1}_{2}_BaoZhaDan_Run,{0}/{1}_{2}_BaoZhaDan_Idle,74=-3000,1
3050004,镰刀,4,1,Item_Life_LianDao,,,,,
3050005,镐,5,2,Item_Life_ChuTou,,,,,
3050007,钓竿1,2,7,Item_Fishing_YuGan,,,,,
3050008,遮阳篷1,3,8,Item_Fishing_DiaoYuYi,,,,,
3050009,遮阳篷2,3,8,Item_Fishing_ZheYangSan,,,,,
3112001,浮标,6,0,Item_Fishing_YuPiao,,,,,
,,,,,,,,,
