BaseLv,RecycleMoney,,,,,,,,,
玩家Base等级,期望回收铜币,,,,,,,,,
1,351500,,,,,,,,,
2,353000,,,,,,,,,
3,354500,,,,,,,,,
4,356000,,,,,,,,,
5,357500,,,,,,,,,
6,359000,,,,,,,,,
7,360500,,,,,,,,,
8,362000,,,,,,,,,
9,363500,,,,,,,,,
10,365000,,,,,,,,,
11,366500,,,,,,,,,
12,368000,,,,,,,,,
13,369500,,,,,,,,,
14,371000,,,,,,,,,
15,372500,,,,,,,,,
16,374000,,,,,,,,,
17,375500,,,,,,,,,
18,377000,,,,,,,,,
19,378500,,,,,,,,,
20,380000,,,,,,,,,
21,381500,,,,,,,,,
22,383000,,,,,,,,,
23,384500,,,,,,,,,
24,386000,,,,,,,,,
25,387500,,,,,,,,,
26,389000,,,,,,,,,
27,390500,,,,,,,,,
28,392000,,,,,,,,,
29,393500,,,,,,,,,
30,395000,,,,,,,,,
31,396500,,,,,,,,,
32,398000,,,,,,,,,
33,399500,,,,,,,,,
34,401000,,,,,,,,,
35,402500,,,,,,,,,
36,404000,,,,,,,,,
37,405500,,,,,,,,,
38,407000,,,,,,,,,
39,408500,,,,,,,,,
40,410000,,,,,,,,,
41,411500,,,,,,,,,
42,413000,,,,,,,,,
43,414500,,,,,,,,,
44,416000,,,,,,,,,
45,417500,,,,,,,,,
46,419000,,,,,,,,,
47,420500,,,,,,,,,
48,422000,,,,,,,,,
49,423500,,,,,,,,,
50,425000,,,,,,,,,
51,426500,,,,,,,,,
52,428000,,,,,,,,,
53,429500,,,,,,,,,
54,431000,,,,,,,,,
55,432500,,,,,,,,,
56,434000,,,,,,,,,
57,435500,,,,,,,,,
58,437000,,,,,,,,,
59,438500,,,,,,,,,
60,440000,,,,,,,,,
61,441500,,,,,,,,,
62,443000,,,,,,,,,
63,444500,,,,,,,,,
64,446000,,,,,,,,,
65,447500,,,,,,,,,
66,449000,,,,,,,,,
67,450500,,,,,,,,,
68,452000,,,,,,,,,
69,453500,,,,,,,,,
70,455000,,,,,,,,,
71,456500,,,,,,,,,
72,458000,,,,,,,,,
73,459500,,,,,,,,,
74,461000,,,,,,,,,
75,462500,,,,,,,,,
76,464000,,,,,,,,,
77,465500,,,,,,,,,
78,467000,,,,,,,,,
79,468500,,,,,,,,,
80,470000,,,,,,,,,
81,471500,,,,,,,,,
82,473000,,,,,,,,,
83,474500,,,,,,,,,
84,476000,,,,,,,,,
85,477500,,,,,,,,,
86,479000,,,,,,,,,
87,480500,,,,,,,,,
88,482000,,,,,,,,,
89,483500,,,,,,,,,
90,485000,,,,,,,,,
91,486500,,,,,,,,,
92,488000,,,,,,,,,
93,489500,,,,,,,,,
94,491000,,,,,,,,,
95,492500,,,,,,,,,
96,494000,,,,,,,,,
97,495500,,,,,,,,,
98,497000,,,,,,,,,
99,498500,,,,,,,,,
100,500000,,,,,,,,,
101,501500,,,,,,,,,
102,503000,,,,,,,,,
103,504500,,,,,,,,,
104,506000,,,,,,,,,
105,507500,,,,,,,,,
106,509000,,,,,,,,,
107,510500,,,,,,,,,
108,512000,,,,,,,,,
109,513500,,,,,,,,,
110,515000,,,,,,,,,
111,516500,,,,,,,,,
112,518000,,,,,,,,,
113,519500,,,,,,,,,
114,521000,,,,,,,,,
115,522500,,,,,,,,,
116,524000,,,,,,,,,
117,525500,,,,,,,,,
118,527000,,,,,,,,,
119,528500,,,,,,,,,
120,530000,,,,,,,,,
121,531500,,,,,,,,,
122,533000,,,,,,,,,
123,534500,,,,,,,,,
124,536000,,,,,,,,,
125,537500,,,,,,,,,
126,539000,,,,,,,,,
127,540500,,,,,,,,,
128,542000,,,,,,,,,
129,543500,,,,,,,,,
130,545000,,,,,,,,,
131,546500,,,,,,,,,
132,548000,,,,,,,,,
133,549500,,,,,,,,,
134,551000,,,,,,,,,
135,552500,,,,,,,,,
136,554000,,,,,,,,,
137,555500,,,,,,,,,
138,557000,,,,,,,,,
139,558500,,,,,,,,,
140,560000,,,,,,,,,
141,561500,,,,,,,,,
142,563000,,,,,,,,,
143,564500,,,,,,,,,
144,566000,,,,,,,,,
145,567500,,,,,,,,,
146,569000,,,,,,,,,
147,570500,,,,,,,,,
148,572000,,,,,,,,,
149,573500,,,,,,,,,
150,575000,,,,,,,,,
151,576500,,,,,,,,,
152,578000,,,,,,,,,
153,579500,,,,,,,,,
154,581000,,,,,,,,,
155,582500,,,,,,,,,
156,584000,,,,,,,,,
157,585500,,,,,,,,,
158,587000,,,,,,,,,
159,588500,,,,,,,,,
160,590000,,,,,,,,,
161,591500,,,,,,,,,
162,593000,,,,,,,,,
163,594500,,,,,,,,,
164,596000,,,,,,,,,
165,597500,,,,,,,,,
166,599000,,,,,,,,,
167,600500,,,,,,,,,
168,602000,,,,,,,,,
169,603500,,,,,,,,,
170,605000,,,,,,,,,
171,606500,,,,,,,,,
172,608000,,,,,,,,,
173,609500,,,,,,,,,
174,611000,,,,,,,,,
175,612500,,,,,,,,,
176,614000,,,,,,,,,
177,615500,,,,,,,,,
178,617000,,,,,,,,,
179,618500,,,,,,,,,
180,620000,,,,,,,,,
181,621500,,,,,,,,,
182,623000,,,,,,,,,
183,624500,,,,,,,,,
184,626000,,,,,,,,,
185,627500,,,,,,,,,
186,629000,,,,,,,,,
187,630500,,,,,,,,,
188,632000,,,,,,,,,
189,633500,,,,,,,,,
190,635000,,,,,,,,,
191,636500,,,,,,,,,
192,638000,,,,,,,,,
193,639500,,,,,,,,,
194,641000,,,,,,,,,
195,642500,,,,,,,,,
196,644000,,,,,,,,,
197,645500,,,,,,,,,
198,647000,,,,,,,,,
199,648500,,,,,,,,,
200,650000,,,,,,,,,
