Id,Position,Range,AngleRange,TriggerId,SceneId,IsUsedId,IsHideIcon
缩略图Id,拍照点,拍照点站立范围,拍照目标点角度范围,触发Id，链接到CheckInCameraId,场景Id,是否使用该缩略图,是否隐藏图标
1,75.91=11.65=94.94,6.5,-357.99=-5.94,101,10,1,
2,125.70=11.58=132.01,6.5,-157.90=4.59,102,10,1,
3,127.08=1.94=126.44,6.5,86.26=-7.74,103,12,1,
4,81.02=13.44=117.67,6.5,-426.30=-2.34,104,12,1,
5,43.10=5.30=41.28,6.5,1.06=-0.90,105,12,1,
6,48.26=4.54=41.37,6.5,4.76=1.08,106,23,1,
7,60.45=4.42=133.49,6.5,-240.24=4.05,107,23,1,
8,166.00=13.04=173.57,6.5,-166.46=-0.99,108,1,1,
9,44.19=7.34=112.68,6.5,191.70=0.00,109,1,1,
10,118.05=10.01=61.99,6.5,224.94=1.71,110,5,1,
11,82.05=10.03=167.92,6.5,154.52=-1.71,111,5,1,
12,50.44=9.82=44.93,6.5,576.90=2.61,112,7,1,
13,46.82=9.82=120.10,6.5,415.34=1.08,113,7,1,
14,58.97=9.82=84.16,6.5,451.32=4.86,114,7,1,
15,135.49=9.82=83.46,6.5,267.92=2.34,115,7,0,
16,148.85=9.82=65.48,6.5,270.72=0.54,116,7,1,
17,143.49=9.82=62.97,6.5,393.92=-1.08,117,7,1,
18,129.29=9.82=53.96,6.5,518.52=0.18,118,7,1,
19,152.42=9.82=37.72,6.5,-0.46=-3.42,119,7,1,
20,127.49=9.82=179.26,6.5,271.14=0.00,120,7,1,
21,122.24=9.82=190.28,6.5,223.82=-28.44,121,7,1,
22,66.62=9.82=187.27,6.5,137.86=-33.48,122,7,1,
23,93.87=9.82=197.86,6.5,359.06=-31.23,123,7,1,
24,92.90=10.80=101.15,6.5,546.38=-19.26,124,7,1,
25,120.49=10.06=127.28,6.5,201.40=3.51,125,4,1,
27,148.95=6.45=121.23,6.5,257.12=2.61,127,4,1,
28,151.64=14.05=63.45,6.5,289.86=12.51,128,4,1,
29,73.96=1.58=73.55,6.5,-168.28=5.49,129,8,1,
30,80.19=1.58=162.18,6.5,124.56=9.27,130,8,1,
31,134.66=17.19=101.32,6.5,180.64=1.62,131,21,1,
32,85.20=17.19=135.85,6.5,157.84=-0.54,132,21,1,
33,103.54=17.19=163.94,6.5,135.22=-7.83,133,21,1,
34,106.64=17.19=197.68,6.5,85.22=5.49,134,21,1,
35,77.05=5.63=69.90,6.5,0.00=-4.95,135,20,1,
36,75.06=12.00=172.89,6.5,161.16=5.04,136,13,1,
37,169.53=13.12=183.67,6.5,211.44=3.15,137,13,1,
38,145.82=13.11=132.46,6.5,204.58=2.52,138,13,1,
39,86.46=4.15=193.50,6.5,94.64=-1.17,139,35,1,
40,175.07=3.61=122.31,6.5,131.74=4.77,140,35,1,
41,129.94=12.21=102.42,6.5,76.10=-2.25,141,25,1,
42,84.58=12.21=144.27,6.5,91.50=-5.85,142,25,1,
43,125.95=12.21=68.75,6.5,252.58=-6.48,143,25,1,
44,114.94=9.85=172.81,6.5,360.26=-0.09,144,26,1,
45,118.15=9.85=64.69,6.5,420.74=6.21,145,26,1,
46,161.29=9.85=71.90,6.5,686.60=8.46,146,26,1,
47,147.43=17.19=120.19,6.5,309.44=7.74,147,21,1,
48,99.17=17.01=67.67,6.5,180.70=-3.78,148,16,1,
49,99.18=17.01=45.47,6.5,181.96=2.61,149,16,1,
50,61.12=17.01=124.53,6.5,185.60=-51.45,150,16,1,
51,99.76=17.01=132.15,6.5,180.04=0.00,151,16,1,
52,115.09=12.16=124.97,6.5,283.88=2.79,152,19,1,
53,69.80=15.32=92.21,6.5,224.28=14.76,153,19,1,
54,97.78=15.98=80.35,6.5,218.64=-1.89,154,47,1,
55,155.62=23.86=198.34,6.5,188.82=-0.63,155,47,1,
56,144.47=16.03=137.84,6.5,180.28=-0.99,156,47,1,
57,147.09=15.98=98.03,6.5,224.00=0.00,157,47,1,
58,172.55=15.98=99.71,6.5,219.66=1.26,158,47,1,
59,193.77=15.98=155.07,6.5,267.26=5.31,159,47,1,
60,91.59=10.20=91.27,6.5,236.12=1.35,160,52,1,
61,44.18=13.31=82.98,6.5,107.54=1.98,161,52,1,
62,90.44=10.20=72.02,6.5,302.40=4.50,162,52,1,
63,102.50=22.17=74.76,6.5,91.14=-4.86,163,50,1,
64,107.03=22.17=219.80,6.5,232.80=6.30,164,50,1,
65,117.35=22.17=170.06,6.5,213.22=12.96,165,50,1,
10500,147.09=15.98=98.03,6.5,224.00=0.00,10500,47,0,1
