ConsumableID,,quantity,SuccessfulProbability,ObtainID,,ComposeClassify,Cost,LocalizationArea
消耗物品ID,消耗物品名称（策划用）,消耗数量,合成成功概率,获得物品ID,获得物品名称（策划用）,消耗物品分类（例如：1、矿石；2、宝石；3、金属；4、其他；依据具体物品配置）,消耗的货币及数量（101=铜币，102=zeny币）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
3020002,铝原石,5,1,3020004,铝,1,,
3020001,神之金属原石,5,1,3020003,神之金属,1,,
3054001,蒸蟹螯1星,3,1,3054002,蒸蟹螯2星,2,101=25000,
3054002,蒸蟹螯2星,3,1,3054003,蒸蟹螯3星,2,101=100000,
3054101,口感爽滑的面1星,3,1,3054102,口感爽滑的面2星,2,101=25000,
3054102,口感爽滑的面2星,3,1,3054103,口感爽滑的面3星,2,101=100000,
3054201,鲜虾汁1星,3,1,3054202,鲜虾汁2星,2,101=25000,
3054202,鲜虾汁2星,3,1,3054203,鲜虾汁3星,2,101=100000,
3054301,什锦饭团1星,3,1,3054302,什锦饭团2星,2,101=25000,
3054302,什锦饭团2星,3,1,3054303,什锦饭团3星,2,101=100000,
3054401,热炒蛤蜊1星,3,1,3054402,热炒蛤蜊2星,2,101=25000,
3054402,热炒蛤蜊2星,3,1,3054403,热炒蛤蜊3星,2,101=100000,
3054501,蟹肉棒1星,3,1,3054502,蟹肉棒2星,2,101=25000,
3054502,蟹肉棒2星,3,1,3054503,蟹肉棒3星,2,101=100000,
3054601,金枪鱼串烧1星,3,1,3054602,金枪鱼串烧2星,2,101=25000,
3054602,金枪鱼串烧2星,3,1,3054603,金枪鱼串烧3星,2,101=100000,
3054701,鱼子酱1星,3,1,3054702,鱼子酱2星,2,101=25000,
3054702,鱼子酱2星,3,1,3054703,鱼子酱3星,2,101=100000,
3054801,鲜贝粥1星,3,1,3054802,鲜贝粥2星,2,101=25000,
3054802,鲜贝粥2星,3,1,3054803,鲜贝粥3星,2,101=100000,
3078011,力量药剂1星,3,1,3078012,力量药剂2星,2,101=25000,
3078012,力量药剂2星,3,1,3078013,力量药剂3星,2,101=100000,
3078014,智力药剂1星,3,1,3078015,智力药剂2星,2,101=25000,
3078015,智力药剂2星,3,1,3078016,智力药剂3星,2,101=100000,
3078017,敏捷药剂1星,3,1,3078018,敏捷药剂2星,2,101=25000,
3078018,敏捷药剂2星,3,1,3078019,敏捷药剂3星,2,101=100000,
3078020,灵巧药剂1星,3,1,3078021,灵巧药剂2星,2,101=25000,
3078021,灵巧药剂2星,3,1,3078022,灵巧药剂3星,2,101=100000,
3078023,体质药剂1星,3,1,3078024,体质药剂2星,2,101=25000,
3078024,体质药剂2星,3,1,3078025,体质药剂3星,2,101=100000,
3078026,幸运药剂1星,3,1,3078027,幸运药剂2星,2,101=25000,
3078027,幸运药剂2星,3,1,3078028,幸运药剂3星,2,101=100000,
2010003,黄色药水,5,1,2010004,白色药水,2,,
1400201,战斗加速糖,3,1,1400202,高级挂机加速糖,2,,
1400202,高级战斗加速糖,3,1,1400203,超级挂机加速糖,2,,
1400301,打宝倍增糖,3,1,1400302,高级打宝倍增糖,2,,11
2040016,以太因子补充卡,5,1,2040017,以太因子增幅卡,2,,
2034008,50级装备图纸碎片,5,1,2034010,70级装备图纸碎片,2,,
2034010,70级装备图纸碎片,5,1,2034011,80级装备图纸碎片,2,,27
2090022,1星料理自选包,3,1,2090023,2星料理自选包,2,101=25000,
2090023,2星料理自选包,3,1,2090024,3星料理自选包,2,101=100000,
2090043,1星药剂自选包,3,1,2090044,2星药剂自选包,2,101=25000,
2090044,2星药剂自选包,3,1,2090045,3星药剂自选包,2,101=100000,
3020016,α-能量体,5,1,3020017,β-能量体,2,101=20000,
2034011,80级装备图纸碎片,5,1,2034012,90级装备图纸碎片,2,,11
1029027,木乃伊王座碎片,3,1,1029025,木乃伊王座(15天),,,
1029028,滑板的碎片,3,1,1029026,滑板(15天),,,
3021005,蕴魔石原石,10,1,3021004,蕴魔石,1,,
3021006,初级解封卷轴残卷,5,1,3020010,初级解封卷轴,1,,
3024040,破损的加固装置2.0,10,1,3024053,核心加固装置2.0（15天）,1,,
3022058,武器强化金属,2,1,3022059,武器高级强化金属,1,102=1500,
3022060,防具强化金属,2,1,3022061,防具高级强化金属,1,102=1500,
2091501,高级钛钢碎片,10,1,3024028,高级钛钢,1,,
2151530,莫拉硬币升级箱Ⅰ,3,1,2151531,莫拉硬币升级箱Ⅱ,2,,
2151531,莫拉硬币升级箱Ⅱ,3,1,2151532,莫拉硬币升级箱Ⅲ,2,,
2151533,崩裂迪齿轮升级箱Ⅰ,2,1,2151534,崩裂迪齿轮升级箱Ⅱ,2,,
2151534,崩裂迪齿轮升级箱Ⅱ,2,1,2151535,崩裂迪齿轮升级箱Ⅲ,2,,
2034012,90级装备图纸碎片,5,1,2034013,100级装备图纸碎片,2,,11
3041200,头饰神话水晶Ⅱ,2,1,2052003,神话水晶自选礼盒,2,101=10000,9
3041201,脸饰神话水晶Ⅱ,2,1,2052003,神话水晶自选礼盒,2,101=10000,9
3041202,嘴饰神话水晶Ⅱ,2,1,2052003,神话水晶自选礼盒,2,101=10000,9
3041203,时装神话水晶Ⅱ,2,1,2052003,神话水晶自选礼盒,2,101=10000,9
3041204,背饰神话水晶Ⅱ,2,1,2052003,神话水晶自选礼盒,2,101=10000,9
3040200,头饰神话水晶Ⅰ,2,1,2051003,神话水晶自选匣,2,101=10000,11
3040201,脸饰神话水晶Ⅰ,2,1,2051003,神话水晶自选匣,2,101=10000,11
3040202,嘴饰神话水晶Ⅰ,2,1,2051003,神话水晶自选匣,2,101=10000,11
3040203,时装神话水晶Ⅰ,2,1,2051003,神话水晶自选匣,2,101=10000,11
3040204,背饰神话水晶Ⅰ,2,1,2051003,神话水晶自选匣,2,101=10000,11
2151538,装备打造升级箱1,3,1,2151539,装备打造升级箱2,2,,
2151539,装备打造升级箱2,3,1,2151540,装备打造升级箱3,2,,
3020003,神之金属,5,1,3020005,浓缩神之金属,2,102=1500,
3020004,铝,5,1,3020006,浓缩铝,2,102=1500,
2091428,转盘碎片,4,1,2091427,转盘,2,,
2034030,斯姆丹齿轮碎片,5,1,3024025,斯姆丹齿轮,2,,
90210,技能残卷,4,1,90211,技能随机卷轴,2,,
2034013,100级装备图纸碎片,5,1,2034014,110级装备图纸碎片,2,,9
2151553,童真兔子帽,6,1,1070254,童真兔子帽,2,,8
2080130,baby帽碎片,6,1,1070293,baby帽,2,,8
90140,国王小猪皇冠,200,1,120240,宠物蛋-国王小猪,2,,8
2080132,季风指挥帽碎片,6,1,1070303,季风指挥帽,2,,8
90141,火焰之心,200,1,120270,宠物蛋-火精灵,2,,8
2087001,栗子,6,1,1070308,栗子帽,2,,8
90142,玉佩,200,1,120190,宠物蛋-鬼女,2,,8
30000001,蓝色卡片碎片,10,1,30000003,初级卡册,2,,
30000002,紫色卡片碎片,10,1,30000004,高级卡册,2,,
90100,波利果,6,1,90110,大嘴鸟公仔,2,,16
