ID,Profession,RoleType,Professiontext,Lvmin,Lvmax,Paylv,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9
索引ID,流派ID,职业ID,名称（策划用）,等级下限,等级上限,付费程度,装备,坐骑,勋章,神圣勋章,推荐素质加点,推荐技能加点,Job加点属性,佣兵,道具发放
1,200001,2000,敏剑,10,14,1,10001,,30001,40001,50001,60001,70001,80001,90001
2,200001,2000,敏剑,15,19,1,10002,,30001,40001,50001,60001,70001,80001,90001
3,200001,2000,敏剑,20,24,1,10003,,30001,40001,50001,60001,70001,80002,90001
4,200001,2000,敏剑,25,29,1,10004,,30001,40001,50001,60001,70001,80003,90001
5,200001,2000,敏剑,30,34,1,10005,,30001,40001,50001,60001,70001,80004,90001
6,200001,2000,敏剑,35,39,1,10006,,30001,40001,50001,60001,70001,80005,90001
7,200001,2101,敏剑,40,44,1,10007,,30001,40001,50001,60001,70001,80006,90001
8,200001,2101,敏剑,45,49,1,10008,,30001,40001,50001,60001,70001,80007,90001
9,200001,2101,敏剑,50,54,1,10009,,30003,40001,50001,60001,70001,80008,90001
10,200001,2101,敏剑,55,59,1,10010,,30004,40001,50001,60001,70001,80009,90001
11,200001,2101,敏剑,60,64,1,10011,,30005,40001,50001,60001,70001,80010,90001
12,200001,2101,敏剑,65,69,1,10012,20002,30006,40001,50001,60001,70001,80011,90001
13,200001,2102,敏剑,70,74,1,10013,20006,30008,40001,50001,60001,70001,80012,90001
14,200001,2102,敏剑,75,79,1,10014,20009,30010,40001,50001,60001,70001,80013,90001
15,200001,2102,敏剑,80,84,1,10015,20012,30012,40001,50001,60001,70001,80014,90001
16,200001,2102,敏剑,85,89,1,10016,20015,30014,40001,50001,60001,70001,80015,90001
17,200001,2102,敏剑,90,94,1,10017,20018,30017,40001,50001,60001,70001,80016,90001
18,200001,2102,敏剑,95,99,1,10018,20021,30020,40001,50001,60001,70001,80017,90001
19,200001,2102,敏剑,100,104,1,10019,20024,30023,40001,50001,60001,70001,80017,90001
20,200001,2102,敏剑,105,109,1,10020,20027,30026,40001,50001,60001,70001,80017,90001
21,200001,2102,敏剑,110,114,1,10021,20030,30030,40001,50001,60001,70001,80017,90001
22,200001,2102,敏剑,115,119,1,10022,20033,30030,40001,50001,60001,70001,80017,90001
23,200001,2102,敏剑,120,124,1,10023,20036,30030,40001,50001,60001,70001,80017,90001
24,200001,2102,敏剑,125,129,1,10024,20039,30030,40001,50001,60001,70001,80017,90001
25,200001,2102,敏剑,130,134,1,10025,20040,30030,40001,50001,60001,70001,80017,90001
26,200001,2102,敏剑,135,139,1,10026,20040,30030,40001,50001,60001,70001,80017,90001
27,200001,2102,敏剑,140,144,1,10027,20040,30030,40001,50001,60001,70001,80017,90001
28,200001,2102,敏剑,145,149,1,10028,20040,30030,40001,50001,60001,70001,80017,90001
29,200001,2102,敏剑,150,154,1,10029,20040,30030,40001,50001,60001,70001,80017,90001
30,200001,2102,敏剑,155,159,1,10030,20040,30030,40001,50001,60001,70001,80017,90001
31,200001,2102,敏剑,160,164,1,10031,20040,30030,40001,50001,60001,70001,80017,90001
32,200001,2102,敏剑,165,169,1,10032,20040,30030,40001,50001,60001,70001,80017,90001
