BaseLv,JobLv
角色等级,职业等级
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,13
11,15
12,16
13,17
14,18
15,19
16,21
17,22
18,23
19,25
20,26
21,28
22,30
23,31
24,33
25,34
26,35
27,37
28,38
29,40
30,41
31,42
32,43
33,44
34,45
35,46
36,47
37,48
38,49
39,50
40,53
41,55
42,57
43,58
44,60
45,61
46,62
47,63
48,64
49,65
50,66
51,67
52,68
53,69
54,70
55,71
56,73
57,74
58,75
59,76
60,78
61,80
62,81
63,83
64,84
65,85
66,86
67,87
68,88
69,90
70,93
71,96
72,99
73,102
74,105
75,108
76,111
77,113
78,115
79,117
80,119
81,121
82,123
83,125
84,127
85,129
86,130
87,130
88,130
89,130
90,130
91,130
92,130
93,130
94,130
95,130
96,130
97,130
98,130
99,130
100,130
101,130
102,130
103,130
104,130
105,130
106,130
107,130
108,130
109,130
110,130
111,130
112,130
113,130
114,130
115,130
116,130
117,130
118,130
119,130
120,130
121,130
122,130
123,130
124,130
125,130
126,130
127,130
128,130
129,130
130,130
131,130
132,130
133,130
134,130
135,130
136,130
137,130
138,130
139,130
140,130
141,130
142,130
143,130
144,130
145,130
146,130
147,130
148,130
149,130
150,130
151,130
152,130
153,130
154,130
155,130
156,130
157,130
158,130
159,130
160,130
161,130
162,130
163,130
164,130
165,130
166,130
167,130
168,130
169,130
170,130
171,130
172,130
173,130
174,130
175,130
176,130
177,130
178,130
179,130
180,130
181,130
182,130
183,130
184,130
185,130
186,130
187,130
188,130
189,130
190,130
191,130
192,130
193,130
194,130
195,130
196,130
197,130
198,130
199,130
200,130
201,130
202,130
203,130
204,130
205,130
206,130
207,130
208,130
209,130
210,130
211,130
212,130
213,130
214,130
215,130
216,130
217,130
218,130
219,130
220,130
221,130
222,130
223,130
224,130
225,130
226,130
227,130
228,130
229,130
230,130
