Id,Type,Data
索引ID,模块类型,值
10001,1,
10002,1,12110101=refine=0
10003,1,12110101=refine=0
10004,1,12110101=refine=0|10326102=refine=0|10326102=refine=0
10005,1,12228903=card=4010019=refine=0|7234803=card=4030005=refine=0|8235103=card=4040001=refine=0|11235403=card=4050001=refine=0|10326102=card=4060002=refine=0|10326102=card=4060002=refine=0
10006,1,12228903=card=4010019=refine=1|7234803=card=4030005=refine=1|8235103=card=4040001=refine=1|11235403=card=4050001=refine=1|10326102=card=4060002=refine=1|10326102=card=4060002=refine=1
10007,1,12238904=card=4010019=refine=3|7234804=card=4030005=refine=3|8235104=card=4040001=refine=3|11235404=card=4050001=refine=3|10326102=card=4060002=refine=3|10326102=card=4060002=refine=3
10008,1,12238904=card=4010019=4010019=refine=3|7234804=card=4030005=refine=3|8235104=card=4040001=refine=3|11235404=card=4050001=refine=3|10326706=card=4060002=refine=3|10326706=card=4060002=refine=3
10009,1,12333305=card=4010019=4010019=refine=4|7234805=card=4030005=refine=4|8235105=card=4040001=refine=4|11235405=card=4050001=refine=4|10326706=card=4060002=refine=4|10326706=card=4060002=refine=4
10010,1,12333305=card=4010019=4010019=refine=4|7234805=card=4030005=refine=4|8235105=card=4040001=refine=4|11331905=card=4050001=refine=4|10326706=card=4060002=refine=4|10326706=card=4060002=refine=4
10011,1,12238906=card=4010019=4010019=refine=5|7330305=card=4030005=refine=5|8331205=card=4040001=refine=5|11331905=card=4050001=refine=5|10336706=card=4060002=refine=5|10336706=card=4060002=refine=5
10012,1,12238906=card=4010019=4010019=refine=5|7330305=card=4030005=refine=5|8331205=card=4040001=refine=5|11331905=card=4050001=refine=5|10337206=card=4060002=refine=5|10337206=card=4060002=refine=5
10013,1,12333807=card=4010019=4010019=refine=6=enchant=12=18=16|7330307=card=4030005=refine=6=enchant=307=302=303|8331207=card=4040001=refine=6=enchant=438=434=435|11331907=card=4050001=refine=6=enchant=569=565=564|10337206=card=4060002=refine=6=enchant=164=165=168|10337206=card=4060002=refine=6=enchant=164=165=168
10014,1,12333807=card=4010019=4010019=refine=6=enchant=12=18=16|7330307=card=4030005=refine=6=enchant=307=302=303|8331207=card=4040001=refine=6=enchant=438=434=435|11331907=card=4050001=refine=6=enchant=569=565=564|10337206=card=4060002=refine=6=enchant=164=165=168|10337206=card=4060002=refine=6=enchant=164=165=168
10015,1,12333708=card=4010019=4010019=refine=7=enchant=47=53=51|7330308=card=4030005=refine=7=enchant=336=331=332|8331208=card=4040001=refine=7=enchant=467=463=464|11331908=card=4050001=refine=7=enchant=598=594=593|10337206=card=4060002=refine=7=enchant=195=196=199|10337206=card=4060002=refine=7=enchant=195=196=199
10016,1,12333708=card=4010019=4010019=refine=7=enchant=47=53=51|7333208=card=4030005=refine=7=enchant=336=331=332|8332708=card=4040001=refine=7=enchant=467=463=464|11332808=card=4050001=refine=7=enchant=598=594=593|10338308=card=4060002=refine=7=enchant=195=196=199|10338308=card=4060002=refine=7=enchant=195=196=199
10017,1,12333709=card=4010019=4010019=refine=8=enchant=82=88=86|7333209=card=4030005=refine=8=enchant=365=360=361|8332709=card=4040001=refine=8=enchant=496=492=493|11332809=card=4050001=refine=8=enchant=627=623=622|10338308=card=4060002=refine=8=enchant=226=227=230|10338308=card=4060002=refine=8=enchant=226=227=230
10018,1,12333709=card=4010019=4010019=refine=8=enchant=82=88=86|7333209=card=4030005=refine=8=enchant=365=360=361|8332709=card=4040001=refine=8=enchant=496=492=493|11332809=card=4050001=refine=8=enchant=627=623=622|10342409=card=4060002=refine=8=enchant=226=227=230|10342409=card=4060002=refine=8=enchant=226=227=230
10019,1,12333710=card=4010019=4010019=refine=9=enchant=122=128=126|7333210=card=4030005=refine=9=enchant=399=394=395|8332710=card=4040001=refine=9=enchant=530=526=527|11332810=card=4050001=refine=9=enchant=661=657=656|10342409=card=4060002=refine=9=enchant=262=263=266|10342409=card=4060002=refine=9=enchant=262=263=266
10020,1,12333710=card=4010019=4010019=refine=9=enchant=122=128=126|7333210=card=4030005=refine=9=enchant=399=394=395|8332710=card=4040001=refine=9=enchant=530=526=527|11332810=card=4050001=refine=9=enchant=661=657=656|10342409=card=4060002=refine=9=enchant=262=263=266|10342409=card=4060002=refine=9=enchant=262=263=266
10021,1,12333710=card=4010019=4010019=refine=10=enchant=122=128=126|7333210=card=4030005=refine=10=enchant=399=394=395|8332710=card=4040001=refine=10=enchant=530=526=527|11332810=card=4050001=refine=10=enchant=661=657=656|10342409=card=4060002=refine=10=enchant=262=263=266|10342409=card=4060002=refine=10=enchant=262=263=266
10022,1,12333710=card=4010019=4010019=refine=10=enchant=122=128=126|7333210=card=4030005=refine=10=enchant=399=394=395|8332710=card=4040001=refine=10=enchant=530=526=527|11332810=card=4050001=refine=10=enchant=661=657=656|10342409=card=4060002=refine=10=enchant=262=263=266|10342409=card=4060002=refine=10=enchant=262=263=266
10023,1,12333710=card=4010019=4010019=refine=11=enchant=122=128=126|7333210=card=4030005=refine=11=enchant=399=394=395|8332710=card=4040001=refine=11=enchant=530=526=527|11332810=card=4050001=refine=11=enchant=661=657=656|10342409=card=4060002=refine=11=enchant=262=263=266|10342409=card=4060002=refine=11=enchant=262=263=266
