Id,Action,Key,Name,RefreshType,RefreshNum,Limit,Active,TellClient,ExtraLimitActivity,RefreshTypePara,LocalizationArea
主键\r\n(仅供策划排序使用，不要直接拿来做功能),"行为(1非公示道具商会购买,2非公示道具商会出售,3商店购买,4商店出售,5完成乐园团任务6摆摊摊位上限,7zeny刷新摆摊每日计数,8头饰兑换 9 生活职业12烹饪吃菜数 13双人烹饪次数14商人低买高卖技能15抽卡次数 16波利点数奖励公会之心17委托模块用20精英怪奖励次数21RO月礼每日签到次数23圣歌试炼宝箱怪奖励次数24助战相关25助战相关26公会宴会成就计数27免费素质重置次数28免费技能重置次数，29公示道具商会购买限制,30公示道具商会出售限制, 31大世界相关，32每天最多获得道具数量33每日提醒会长绑群次数 ，34迷吾之森预留 35红包相关计数 36塔防每周次数38载具每周升级次数39大世界菜单每日获得奖励次数40月卡礼包购买限制41主题副本计次43烹饪吃菜多倍奖励次数44声望箱子的消耗次数限制45月卡用户每日原地复活次数上线46礼包相关49 道具使用上限，50宝藏猎人采集他人箱子次数51宝藏猎人助力次数52怪物掉落道具上限 53狩猎场杀人，助攻次数56.57直购礼包限购58委托经验加成限制)59付费首充礼包限购  63 寻宝计次 65活跃度计算67触发式礼包",内容(表的主键),名称(策划用),"刷新类型(0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点5，每月1号凌晨0点，6每月1号凌晨5点，7每天中午12点,8每周三0点，9每周三5点)",刷新数量,上限,主动刷新,通知客户端,活动时额外上限次数（活动type=活动参数=额外次数）,活动刷新,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,6,1,摆摊摊位当前值/上限值,0,10,20,0,1,,,
2,7,1,zeny刷新摆摊每日计数,2,0,-1,1,1,,,
3,9,6010,采摘,2,0,100,1,1,,,
4,9,6020,挖矿,2,0,100,1,1,,,
5,9,6030,钓鱼,2,0,100,1,1,,,
6,10,1,MVP团队奖励次数,2,0,5,1,1,10=1001=2,,
7,10,2,MVP参与奖励次数,2,0,5,1,1,10=1001=2,,
8,10,3,MVP尾刀奖励次数,2,0,3,1,1,,,
9,10,4,MVP公共奖励次数,2,0,4,1,1,,,
10,11,1,mini奖励次数,2,0,5,1,1,,,
11,20,1,精英怪奖励次数,2,0,5,1,1,,,
12,13,0,双人烹饪次数,1,0,1,1,1,,,
13,12,1,烹饪吃菜数,1,0,1,1,1,,,
14,12,2,烹饪吃菜数,1,0,1,1,1,,,
15,12,3,烹饪吃菜数,1,0,1,1,1,,,
16,12,4,烹饪吃菜数,1,0,1,1,1,,,
17,12,5,烹饪吃菜数,1,0,1,1,1,,,
