ID,Comment,NormalPriceMain,NormalPriceSub,AlternativePrice,ExpIncrement,LvUpExp
ID,注释,通常价格-主要材料。主要材料不足时会判断为无法支付,通常价格-辅助材料。辅助材料不足时会走替代价格逻辑,通常价格-辅助材料不足时的替代价格,每付费一次增加的经验值,升到下一级别所需的总经验值。如果升级后还有剩余的exp，则累计到下一级
1,,101=54000,,,150,300
2,,101=72000,,,200,400
3,,101=108000,,,300,600
4,,101=72000,,,200,800
5,,101=90000,,,250,1000
6,,101=135000,,,375,1500
7,,101=180000,,,500,2000
8,,101=270000,,,750,3000
9,,101=360000,,,1000,4000
10,,101=450000,,,1250,5000
11,,101=630000,,,1750,7000
12,,101=810000,,,2250,9000
13,,101=990000,,,2750,11000
14,,101=1170000,,,3250,13000
