SkillLv,FoodRecipeId,MedicineRecipeId,DessertRecipeId,SmeltWepRecipeId,SmeltArmorRecipeId,SmeltAccsRecipeId,FoodFusionRecipeId,MedicineFusionRecipeId,FoodLvUpCond,MedicineLvUpCond,DessertLvUpCond,SmeltWepLvUpCond,SmeltArmorLvUpCond,SmeltAccsLvUpCond,FoodFusionLvUpCond,MedicineFusionLvUpCond,FoodRates,MedicineRates,DessertRates,SmeltWepRates,SmeltArmorRates,SmeltAccsRates,FoodFusionRates,MedicineFusionRates
等级,料理食谱ID组,药剂食谱ID组,甜品食谱ID组,武器冶炼食谱ID组,防具冶炼食谱ID组,饰品冶炼食谱ID组,烹饪组合食谱,制药组合食谱,烹饪升级条件  1：价格，对应CraftingSkillLvUpPriceTable 2：任务(1和2不会同时出现) 3：角色Base等级,制药升级条件,烘焙升级条件,武器冶炼条件,防具冶炼升级条件,饰品冶炼升级条件,烹饪组合升级条件,制药组合升级条件,烹饪概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,制药概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,甜品概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,武器冶炼概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,防具冶炼概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,饰品冶炼概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,烹饪组合概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）,制药组合概率（成功率=大成功率|大成功奖励1=权重|大成功奖励2=权重...）
1,8020441,8020341,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,0=0,0=0,0=0,0=0,0=0,0=0,2=14000010|3=60,2=14000020|3=60,6000=0,6000=0,10000=0,5000=500|20000=100,5000=500|20000=100,10000=0,10000=0,10000=0
2,8020441,8020341,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=1|3=41,1=1|3=41,1=1|3=32,1=1|3=32,1=1|3=32,1=1|3=32,0=0,0=0,6500=0,6500=0,10000=0,5700=500|20000=100,5700=500|20000=100,10000=0,10000=0,10000=0
3,8020441|8020401,8020341,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=2|3=42,1=2|3=42,1=2|3=34,1=2|3=34,1=2|3=34,1=2|3=34,0=0,0=0,7000=0,7000=500|20000=100,10000=0,6000=500|20000=100,6000=500|20000=100,10000=0,10000=0,10000=0
4,8020441|8020401,8020341|8020321,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=3|3=44,1=3|3=44,1=3|3=37,1=3|3=37,1=3|3=37,1=3|3=37,0=0,0=0,7200=500|20000=100,7200=500|20000=100,10000=0,6700=500|20000=100,6700=500|20000=100,10000=0,10000=0,10000=0
5,8020441|8020401|8020481,8020341|8020321,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=4|3=46,1=4|3=46,1=4|3=40,1=4|3=40,1=4|3=40,1=4|3=40,0=0,0=0,7500=500|20000=100,7500=500|20000=100,10000=0,7000=500|20000=100,7000=500|20000=100,10000=0,10000=0,10000=0
6,8020441|8020401|8020481,8020341|8020321,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=5|3=47,1=5|3=47,1=5|3=42,1=5|3=42,1=5|3=42,1=5|3=42,0=0,0=0,8000=1000|20000=100,8000=1000|20000=100,10000=0,7400=500|20000=100,7400=500|20000=100,10000=0,10000=0,10000=0
7,8020441|8020401|8020481,8020341|8020321|8020301|8020311|8020331,,8020501,8020601,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=6|3=48,1=6|3=48,1=6|3=44,1=6|3=44,1=6|3=44,1=6|3=44,0=0,0=0,8200=1200|20000=200|30000=100,8000=1000|20000=100,10000=0,7800=500|20000=100,7800=500|20000=100,10000=0,10000=0,10000=0
8,8020441|8020401|8020481|8020461|8020411|8020451,8020341|8020321|8020301|8020311|8020331,,8020501|8020511,8020601|8020611,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=7|3=49,1=7|3=49,1=7|3=46,1=7|3=46,1=7|3=46,1=7|3=46,0=0,0=0,8200=1200|20000=200|30000=100,8200=1200|20000=200|30000=100,10000=0,8000=500|20000=100,8000=500|20000=100,10000=0,10000=0,10000=0
9,8020441|8020401|8020481|8020461|8020411|8020451,8020341|8020321|8020301|8020311|8020331,,8020501|8020511,8020601|8020611,,8020701|8020711|8020721|8020731|8020741|8020751|8020761|8020771|8020781|8020791|8020801|8020811|8020821|8020831|8020841|8020851|8020861|8020871|8020881|8020891|8020901|8020911|8020921|8020931|8020941|8021101|8021111|8021121|8021131|8021141|8021151|8021161|8021171|8021181|8021191|8021201|8021211|8021221|8021231|8021241|8021251|8021261|8021271|8021281|8021291|8021301|8021311|8021321|8021331|8021341|8021501|8021511|8021521|8021531|8021541|8021551|8021561|8021571|8021581|8021591|8021601|8021611|8021621|8021631|8021641|8021651|8021661|8021671|8021681|8021691|8021701|8021711|8021721|8021731|8021741,8020951|8020961|8020971|8020981|8020991|8021001|8021011|8021021|8021031|8021041|8021051|8021061|8021071|8021081|8021091|8021351|8021361|8021371|8021381|8021391|8021401|8021411|8021421|8021431|8021441|8021451|8021461|8021471|8021481|8021491|8021751|8021761|8021771|8021781|8021791|8021801|8021811|8021821|8021831|8021841|8021851|8021861|8021871|8021881|8021891,1=8|3=50,1=8|3=50,1=8|3=48,1=8|3=48,1=8|3=48,1=8|3=48,0=0,0=0,8500=1500|20000=200|30000=100,8500=1500|20000=200|30000=100,10000=0,8400=500|20000=100,8400=500|20000=100,10000=0,10000=0,10000=0
