Id,Name,Introduction,AdvancedJob,LoveWayMap,Atlas
职业编号,角色名,职业介绍,进阶职业介绍,六维图名称,所在图集
1000,初心者,,,,
2000,剑士,战斗先锋，拥有惊人的生存能力，既能一往无前开拓战场，又能保护盟友,进阶职业：骑士/十字军,UI_role_Swordman.png,Role
3000,服事,能使用强大的治疗魔法来治疗和保护自己和同伴，是团队中不可或缺的强力帮手,进阶职业：牧师/武僧,UI_role_Acolyte.png,Role
4000,法师,能够操控多种元素，对敌人造成毁灭性的伤害，精明的法师不会让敌人轻易近身哦,进阶职业：巫师/贤者,UI_role_Magician.png,Role
5000,盗贼,精通隐匿和潜行之术，经常率先发动犀利的近身攻击，能对敌人造成致命威胁,进阶职业：刺客/流氓,UI_role_Thief.png,Role
7000,弓箭手,能够远距离向敌人射出箭矢，拥有很强的机动性，掌握着战场上的主动权,进阶职业：猎人,UI_role_Archer.png,Role
1001000,初心者（登录）,,,,
1002000,剑士（登录）,战斗先锋，拥有惊人的生存能力，既能一往无前开拓战场，又能保护盟友,进阶职业：骑士/十字军,UI_role_Swordman.png,Role
1003000,服事（登录）,能使用强大的治疗魔法来治疗和保护自己和同伴，是团队中不可或缺的强力帮手,进阶职业：牧师/武僧,UI_role_Acolyte.png,Role
1004000,法师（登录）,能够操控多种元素，对敌人造成毁灭性的伤害，精明的法师不会让敌人轻易近身哦,进阶职业：巫师/贤者,UI_role_Magician.png,Role
1005000,盗贼（登录）,精通隐匿和潜行之术，经常率先发动犀利的近身攻击，能对敌人造成致命威胁,进阶职业：刺客/流氓,UI_role_Thief.png,Role
1007000,弓箭手（登录）,能够远距离向敌人射出箭矢，拥有很强的机动性，掌握着战场上的主动权,进阶职业：猎人,UI_role_Archer.png,Role
