ID,TalkLanguage,AudioPath,TalkTime,Pos,Scale,IsDistinguishSex,LocalizationArea,Area
编号,对白（CV）（单行14字，首句不要是标点）,CV资源路径（用于配置cv配音，路径填event下含资源名称的完整路径）,时长（秒S）,显示模型的偏移位置,显示模型的大小缩放,区分性别,区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
54,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
55,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
56,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
57,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
58,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
59,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
60,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
61,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
62,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
63,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
64,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
65,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
66,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
67,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
68,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
69,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
70,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
71,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
72,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
73,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
74,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
