Id,FunctionID,Type,ActivitySortId,ActivityName,AtlasName,IconName,TerrainAtlas,TerrainIconName,ContentPicAtlas,ContentPicName,AcitiveTimes,AcitiveAwardTimes,AcitiveAward,Lable1,Lable2,DoubleDate,TimeNotice,ProgressDisplayNew,CompletedState,ActiveType,TimeCycle,TimePass,StartTime,ServerOpenTimeLimit,ServerLevelLimit,ResetTimeType,AcitiveText,AwardText,TeamTargetType,isTeamActivity,isTimesLimited,LevelTextDisplay,ModeTextDisplay,TimeTextDisplay,ProgressDisplay,CustomTextDisplay,HelpTextId,RewardDisplay,PushTime,TextBeforeStartTime,TextAfterStartTime,LuaScript,Position,isMapDisplay,NeedNotice,ScenePosition,IsFAQImport,TaskChapter,TaskTimeLimit,WayToObtainKey
活动ID,功能ID,活动类型（活动详情框类型，枚举：普通1；pvp2；mvp3；魔物驱逐4；世界事件5；主题副本6；塔防7；攻城战8）\r\n,列表显示排序id（仅非限时活动）,活动名称,图标图集,图标名字,地形图标图集,图标名字,活动详情图片图集,活动详情图片,每日可完成次数,每几次发奖励，魔物驱逐为分钟，委托为委托券,单次完成活跃度数量，上限去count表索引活动id,1：推荐，2=标签内容,筛选页签，globaltablesystem表DailyActLabel看备注,活跃翻倍日期，周一到周日,限时活动是否提醒1提醒0不提醒,进度列显示（新活动使用）,显示完成状态（0不显示，1显示）,活动类型（0日常，1周常，2周限时，3周循环）,活动周时间,活动时间,活动正式开始时间,开服时间限制（单位：天；0表示无限制）,服务器等级限制（0表示无限制）,重置时间（0无；1每日凌晨0点重置；2每日凌晨5点重置；3每周一凌晨0点重置；4每周一凌晨5点重置）,文本描述,活动奖励,组队大厅目标（类型为0时，ID读取副本ID；类型为1时，ID读取副本父ID）,是否是组队模式（0不是1是）,是否有次数限制（0不限次数，1限次数，2不显示）,等级描述显示,模式描述显示,时间描述显示,进度列显示（不填不显示）,自定义内容描述显示,规则说明类型=id（类型1为文本说明，id取chinese文本表的键名；类型2为图文说明，id索引到GamesTipsTable的主键id；类型3为打开特殊UI，ID索引读程序枚举）,预览奖励展示（配3个预览奖励的item）,限时活动通知推送时间,活动开始时间之前弹窗上显示的文字，不能为空，可以带1个参数（配有StartTime则参数为距离StartTime的倒计时；没配StartTime则参数为距离活动结束时间的倒计时）,活动开始时间之后显示的文字，可以为空。只有在活动表配了StartTime才会在弹窗上显示此文字,脚本调用,位置,是否显示（0不显示）,通知（由程序告知是否添加）,部分特殊活动寻路坐标点(场景ID=X=Y=Z),用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,活动相关任务的章节ID,活动相关任务的开放时间段,获取途径显示
2,5023,6,50,赫尔海姆扰动,Icon01,UI_Icon_jiyisuipian.png,DailyTaskIcon,UI_DailyTaskPic_Xianzhehuiyi.png,DailyTaskPic,UI_functionOpen_Pic31.png,,1,10,2=装备,1|2|3|4,,,每日   {0}/{1}\n每周   {2}/{3},0,0,,00=00,,0,0,2,受赫尔海姆魔力扰动使贤者的回忆出现大量细节变化，出现更高难度的挑战副本玩法！,3900002,1=11000,1,2,45级及以上,组队,每周,本周：{0} 今日：{1},本周：{0} 今日：{1},1=THEME_DUNGEON_HELP,5032|5031|5007,,,,,-34.6=-77.1,,,57=48.34=10=65.57,1,,,全天
3,5031,1,120,无尽之塔,Icon01,UI_Icon_Wuxianta.png,DailyTaskIcon,UI_DailyTaskPic_Wuxianta.png,DailyTaskPic,UI_functionOpen_Pic32.png,,,,2=卡片,3|4,,,本周   {0}层,0,0,,00=00,,0,0,2,神秘的遗迹塔中暗藏怪物和宝藏，层数越高奖励越丰厚，层数和奖励每周一5:00重置！,3900003,1=3000,1,2,55级及以上,单人/组队,每周,{0}层,本周进度：{0}层,1=INFINITE_TOWER_INFO_TIPS,5002|5030|101,,,,,418.7=-86,,,,0,,,全天
4,5150,2,150,角斗场,Icon01,UI_Icon_Jingjichang.png,DailyTaskIcon,UI_DailyTaskPic_Juedouchang.png,DailyTaskPic,UI_functionOpen_Pic27.png,,,,,4,,,自定义战斗：2 - 20人,0,0,,00=00,,0,0,2,和其他冒险者在角斗场进行一场自定义的战斗！\r\n支持人数：2 - 20人,,,0,0,35级及以上,单人,全天,,,,,,,,,136.8=-111.7,,,,1,,,全天
5,5100,3,60,MVP,Icon01,UI_Icon_Mvp.png,DailyTaskIcon,UI_DailyTaskPic_Mvp.png,DailyTaskPic,UI_functionOpen_Pic30.png,,1,3,2=卡片,1|3|4,2,,每日   {0}/{1},0,0,,00=00,,0,0,2,MVP,3900001,,0,0,20级及以上,单人/组队,全天,,今日奖励：{0},,5002|5007|5012|5004,,,,,-113.6=-253.2,,,,1,,,全天
7,15001,1,,战场,Icon01,UI_Icon_Zhanchang.png,DailyTaskIcon,UI_DailyTaskPic_Zhanchang.png,DailyTaskPic,UI_functionOpen_Pic37.png,,1,15,2=勇气勋章,,,1,,0,2,6,1250=1430|2050=2230,1300|2100,0,0,1,摧毁对面阵营的水晶，和小伙伴享受并肩作战的乐趣。,3900007,1=6000,1,0,45级及以上,组队,周六12:50-14:30&20:50-22:30,,,3=2,501|101|5029,1250|1253|1256|1259|2050|2053|2056|2059,战场将在{0}后正式打响，需全员进入等候区才能参与,战场正在进行中,,-21.4=-315.2,,,26=106.5=9.73=124.4,1,,,周六 12:50-14:30&20:50-22:30
9,5110,4,10,魔物驱逐,Icon01,UI_Icon_Guaji.png,DailyTaskIcon,UI_DailyTaskPic_Mowuquzhu.png,DailyTaskPic,UI_functionOpen_Pic26.png,,15,5,2=材料,1|4,5,,祝福剩余{0}分钟,0,0,,00=00,,0,0,2,探险者协会为前去驱逐魔物的冒险者提供每日祝福，持续60分钟，可累积最多420分钟。,3900005,,1,0,40级及以上,单人/组队,每天,,祝福剩余{0}分钟,1=MOWUQUZHU_TIPS_CONTENT,5013|5001|101,,,,,69.8=-205.7,,NeedCheckRemindExpelMonster,,0,,,全天
10,15002,1,,擂台,Icon01,UI_Icon_Leitai.png,DailyTaskIcon,UI_DailyTaskPic_Leitai.png,DailyTaskPic,UI_functionOpen_Pic38.png,,1,3,2=勇气勋章,,,1,,0,2,3,2130=2210,2140,0,0,1,别开生面的3V3擂台挑战赛，和小伙伴一起角逐战斗荣耀。,3900008,,0,0,40级及以上,组队,21:30-22:10,,,1=ARENA_INFO_TIPS_SHORT,501|2010008|1200033,2050|2052|2054|2056|2057|2058|2059,擂台将在{0}后正式打响，需全员进入等候区才能参与,,,282.2=-134.1,,,21=152.63=17.23445=165.79,1,,,周三 21:30-22:10
11,7001,1,,公会宴会,Icon01,UI_Icon_Gonghuiyanhui.png,DailyTaskIcon,UI_DailyTaskPic_Gonghuiyanhui.png,DailyTaskPic,UI_functionOpen_Pic35.png,,,,2=公会贡献,,,1,,0,2,2|4,2000=2020,2000,0,0,1,参与公会组织的宴会，有可能成为宴会的主角，挂机经验和丰富奖励等着你来~,3900009,,0,2,16级及以上,单人/组队,20:00-20:20,,,1=BANQUET_CONTENT_CN_WORD,201|401|5007,1955|1959,公会宴会将在{0}后开始，前往公会愉快享受烹饪吧~,,,-308.2=-237.3,,,,1,,,周二、四 20:00-20:20
12,5130,5,130,时空调查团,Icon01,UI_Icon_Suijishijian.png,DailyTaskIcon,UI_DailyTaskPic_Shikongdiaochatuan.png,DailyTaskPic,UI_functionOpen_Pic34.png,1,,,2=公会贡献,2|4,,,每日   {0}/{1},0,0,,00=00,,0,0,2,服务器等级达到<color=#FFA500>60级</color>，公会成员至少2人组队可以参与时空调查团玩法,3900010,0=7000,1,1,<color=$$Yellow$$>50</color>级及以上,组队,每日<color=$$Yellow$$>12-21</color>点，每隔<color=$$Yellow$$>3</color>小时刷新一次,今日剩余：{0}/{1},包容性数值，可带佣兵,1=TIME_SEARCH_HELP,201|401|2050010|202|101,,,,,-183.6=100.6,,,26=114.6=7.6=106.45,1,,,每日<color=$$Yellow$$>12-21</color>点，每隔<color=$$Yellow$$>3</color>小时刷新一次
