Id,AnimationTableId,IntervalTime,TotalTime,LoopTimes,ImageStartTime,ImageEndTime,ImagePos,ImageBuff,ImageDestroyBuff
编号,动作队列,每个动作的间隔,动作组总时长,循环次数,镜像开始时间,镜像结束时间,镜像位置,镜像buff（左|右）,镜像结束buff（左|右）
1,4|3|2,0.5,16,9,32,148,2|3,930601=930701,931201=931301
2,2|4|3,0.5,16,9,32,148,2|3,930601=930701,931201=931301
3,2|6|4,0.5,16,9,32,148,2|3,930601=930701,931201=931301
4,1|4|7,0.5,24,6,48,148,2|3,930601=930701,931201=931301
5,2|1|5,0.5,24,6,46,148,2|3,930601=930701,931201=931301
6,1|2|4|5,0.5,29,5,58,148,2|3,930601=930701,931201=931301
7,3|2|3|4,0.5,24,6,48,148,2|3,930601=930701,931201=931301
8,6|1|5|2,0.5,29,5,58,148,2|3,930601=930701,931201=931301
9,4|6|1|3,0.5,24,6,48,148,2|3,930601=930701,931201=931301
10,2|4|6|7,0.5,29,5,58,148,2|3,930601=930701,931201=931301
11,1|2|1|4|3,0.5,29,5,58,148,2|3,930601=930701,931201=931301
12,1|4|3|3|6,0.5,29,5,58,148,2|3,930601=930701,931201=931301
13,2|1|2|4|3,0.5,29,5,58,148,2|3,930601=930701,931201=931301
14,2|6|4|3|1,0.5,29,5,58,148,2|3,930601=930701,931201=931301
15,4|6|1|1|2,0.5,29,5,58,148,2|3,930601=930701,931201=931301
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
