Id,BGMId,ActionGroupId
编号,对应BGM表ID,动作组ID
1,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
2,2,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
3,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
4,4,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
5,5,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
6,6,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
7,7,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
8,8,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
9,9,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
10,10,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
11,11,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
12,12,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
13,13,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
14,14,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
15,15,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
