ID,Comment,Type,DungeonWeight,ProgressBar,Time,DisplayAward,FirstAward,AwardDrop,AffixRandomID
层数ID,注释,类型(0：普通，1：BOSS),副本和权重,进度条,时间,奖励展示\r\n（纯展示用，比如无限塔）,首通奖励,副本奖励 AwardId|AwardId,随机词缀ID(DungeonRandomTable中ID)
1,,0,7201=20|7202=20|7204=20|7205=20|7206=20|7208=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740010,8740010,304
2,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740020,8740020,304
3,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740030,8740030,306
4,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740040,8740040,306
5,,1,7219=100,360,240,811|91020|90650|90640|90630|90620|90610|90210|90050,8740050,8740050,
6,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740060,8740060,308
7,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740070,8740070,308
8,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740080,8740080,310
9,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740090,8740090,310
10,,1,7219=100,360,240,811|91020|90650|90640|90630|90620|90610|90210|90050,8740100,8740100,
11,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740110,8740110,312
12,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740120,8740120,312
13,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740130,8740130,314
14,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740140,8740140,314
15,,1,7219=100,360,240,811|91020|90650|90640|90630|90620|90610|90210|90050,8740150,8740150,
16,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740160,8740160,316
17,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740170,8740170,318
18,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740180,8740180,320
19,,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811|90650|90640|90630|90620|90610|90210|90050,8740190,8740190,320
20,,1,7219=100,360,240,811|91020|90650|90640|90630|90620|90610|90210|90050,8740200,8740200,
21,无限层普通,0,7211=20|7212=20|7214=20|7215=20|7216=20|7218=20,360,240,811,8740210,8740210,332
22,无限层BOSS,1,7219=100,360,240,811,8740220,8740220,
