ID,Comment,DungeonID,WaveID,Type,RandomProb
怪物库ID,注释,副本ID,WaveID,类型（0：无，1：层非boss怪，2：层非boss增殖怪，3：层boss，4：高塔协议怪，5：陷阱塔小怪，6：陷阱塔精英，7：塔entity，8：增殖塔（弃用），9：友方NPC，10：跳转NPC，11：塔采集物）,怪物和权重（EntityID=权重|...）
1,森林小怪1,7201,0,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
2,森林小怪2,7201,1,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
3,森林小怪3,7201,2,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
4,森林小怪4,7201,3,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
5,森林精英1,7201,4,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
6,森林精英2,7201,5,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
7,森林BOSS,7201,6,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
8,森林结束NPC,7201,7,10,
9,采集物神龛,7201,8,11,
10,森林神龛1,7201,9,7,29311=100|29312=100|29313=100|29314=100|29315=100|29316=100|29317=100|29318=100
11,森林友方NPC1,7201,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
12,森林友方NPC2,7201,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
13,森林友方NPC3,7201,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
14,森林友方NPC4,7201,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
15,森林友方NPC5,7201,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
16,森林友方NPC6,7201,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
17,森林友方NPC7,7201,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
18,森林友方NPC8,7201,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
19,森林友方NPC9,7201,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
20,森林友方NPC10,7201,41,9,29655=100|29656=100|29658=100|29659=100|29660=100
21,怪物增殖小怪,7201,42,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
22,怪物增殖精英怪,7201,43,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
23,高塔协议召怪,7201,44,4,29626=100|29627=100|29628=100|29629=100|29630=100
24,陷阱塔随机小怪,7201,45,5,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
25,陷阱塔随机精英怪,7201,46,6,29626=100|29627=100|29628=100|29629=100|29630=100
26,沙漠小怪1,7202,12,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
27,沙漠小怪2,7202,13,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
28,沙漠小怪3,7202,14,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
29,沙漠小怪4,7202,15,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
30,沙漠精英1,7202,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
31,沙漠精英2,7202,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
32,沙漠BOSS,7202,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
33,沙漠结束NPC,7202,46,10,
34,采集物神龛,7202,0,11,
35,沙漠神龛1,7202,19,7,29319=100|29320=100|29321=100|29322=100|29323=100|29324=100|29325=100|29326=100
36,沙漠友方NPC1,7202,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
37,沙漠友方NPC2,7202,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
38,沙漠友方NPC3,7202,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
39,沙漠友方NPC4,7202,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
40,沙漠友方NPC5,7202,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
41,沙漠友方NPC6,7202,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
42,沙漠友方NPC7,7202,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
43,沙漠友方NPC8,7202,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
44,沙漠友方NPC9,7202,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
45,沙漠友方NPC10,7202,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
46,怪物增殖小怪,7202,41,1,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
47,怪物增殖精英怪,7202,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
48,高塔协议召怪,7202,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
49,陷阱塔随机小怪,7202,44,5,29513=100|29514=100|29516=100|29517=100|29518=100|29519=100|29520=100|29521=100|29522=100|29523=100|29524=100
50,陷阱塔随机精英怪,7202,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
51,古城小怪1,7203,12,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
52,古城小怪2,7203,13,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
53,古城小怪3,7203,14,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
54,古城小怪4,7203,15,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
55,古城精英1,7203,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
56,古城精英2,7203,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
57,古城BOSS,7203,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
58,古城结束NPC,7203,46,10,
59,采集物神龛,7203,0,11,
60,古城神龛1,7203,19,7,29327=100|29328=100|29329=100|29330=100|29331=100|29332=100|29333=100|29334=100
61,古城友方NPC1,7203,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
62,古城友方NPC2,7203,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
63,古城友方NPC3,7203,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
