Id,Desc,BarberStyleID,Hair,Head,Eyes,EyesColor,Eye,EyeColor,Adorment,Mouth,Body,Lower,IsHikaru,VehicleId,Weapon,WeaponEx,Helmet,Back,Tail,Cart,Mount,HeadPortrait
编号,描述,头发,头发,头部,眼睛,眼睛颜色,眼睛,颜色,脸饰,嘴饰,上身,下身,身体模型是否有高光,载具（坐骑）,主手武器,副手武器,头盔,后背,尾巴,手推车,坐骑,头像快照（旋转|位置|大小）
10,初心者（男）,201303,,Common_M_Default_Head,Common_M_Default_Eyes,137=96=96,6030001,4,,,Novice_M_ChuShengZhuang_Body,,1,,,,,Back_ChuShengZhuangBeiBao01_01,,,,-5=22=0|0=1.53=0|0.27=0.27=1
11,初心者（女）,301001,,Common_F_Default_Head,Common_F_Default_Eyes,137=96=96,6031001,4,,,Novice_F_ChuShengZhuang_Body,,1,,,,,Back_ChuShengZhuangBeiBao02_01,,,,-5=22=0|0=1.53=0|0.27=0.27=1
20,剑士（男）,201303,,Common_M_Default_Head,Common_M_Default_Eyes,137=96=96,6030001,4,,,Swordman_M_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|-0.02=1.53=0|0.27=0.27=1
21,剑士（女）,301001,,Common_F_Default_Head,Common_F_Default_Eyes,137=96=96,6031001,4,,,Swordman_F_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|-0.02=1.53=0|0.27=0.27=1
30,服事（男）,201303,,Common_M_Default_Head,Common_M_Default_Eyes,137=96=96,6030001,4,,,Acolyte_M_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|0=1.53=0|0.27=0.27=1
31,服事（女）,301001,,Common_F_Default_Head,Common_F_Default_Eyes,137=96=96,6031001,4,,,Acolyte_F_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|0=1.53=0|0.27=0.27=1
40,法师（男）,201303,,Common_M_Default_Head,Common_M_Default_Eyes,137=96=96,6030001,4,,,Magician_M_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|-0.01=1.55=0|0.27=0.27=1
41,法师（女）,301001,,Common_F_Default_Head,Common_F_Default_Eyes,137=96=96,6031001,4,,,Magician_F_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|0.01=1.55=0|0.27=0.27=1
50,盗贼（男）,201303,,Common_M_Default_Head,Common_F_Default_Eyes,137=96=96,6030001,4,,,Thief_M_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|0=1.53=0|0.27=0.27=1
51,盗贼（女）,301001,,Common_F_Default_Head,Common_F_Default_Eyes,137=96=96,6031001,4,,,Thief_F_YiJieTaoZhuang_Body,,1,,,,,,,,,-5=22=0|0=1.53=0|0.27=0.27=1
