ItemID,Durability,BuffGroup,
置换器ID,耐久度,效果组，多个buffid用竖线隔开,置换器名称(策划用)
3046011,600,924801,火属性短剑置换器
3046012,600,924801,火属性斧头置换器
3046013,600,924801,火属性钝器置换器
3046014,600,924801,火属性长矛置换器
3046015,600,924801,火属性长剑置换器
3046016,600,924801,火属性双手剑置换器
3046017,600,924801,火属性拳刃置换器
3046018,600,924801,火属性拳套置换器
3046021,600,924701,水属性短剑置换器·
3046022,600,924701,水属性斧头置换器
3046023,600,924701,水属性钝器置换器
3046024,600,924701,水属性长矛置换器
3046025,600,924701,水属性长剑置换器
3046026,600,924701,水属性双手剑置换器
3046027,600,924701,水属性拳刃置换器
3046028,600,924701,水属性拳套置换器
3046031,600,924901,地属性短剑置换器·
3046032,600,924901,地属性斧头置换器
3046033,600,924901,地属性钝器置换器
3046034,600,924901,地属性长矛置换器
3046035,600,924901,地属性长剑置换器
3046036,600,924901,地属性双手剑置换器
3046037,600,924901,地属性拳刃置换器
3046038,600,924901,地属性拳套置换器
3046041,600,925001,风属性短剑置换器
3046042,600,925001,风属性斧头置换器
3046043,600,925001,风属性钝器置换器
3046044,600,925001,风属性长矛置换器
3046045,600,925001,风属性长剑置换器
3046046,600,925001,风属性双手剑置换器
3046047,600,925001,风属性拳刃置换器
3046048,600,925001,风属性拳套置换器
