ID,Name,SortID,Atlas,Photo,Color,Description,AutoUse,Default,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara,IsFlip
ID,名称,排序id,图集,图片,字体颜色,描述,是否获得后自动使用（1是 0否）,默认,是否隐藏(配置1隐藏，0或不填正常显示),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,,当填0或者不填时，翻转;填1时，不翻转
1040001,默认气泡框,1,Personal_Chatbox01,UI_Chatbox01_Icon_01.png,4b6cbb,,,1,,,,,
1040003,无属性气泡框,3,Personal_Chatbox01,UI_Chatbox01_Icon_02.png,95aabd,藏品商店中使用无元素标本兑换,,,,,,,
1040004,风属性气泡框,4,Personal_Chatbox01,UI_Chatbox01_Icon_07.png,ffffff,藏品商店中使用风元素标本兑换,,,,,,,
1040005,地属性气泡框,5,Personal_Chatbox01,UI_Chatbox01_Icon_011.png,ffffff,藏品商店中使用地元素标本兑换,,,,,,,
1040006,火属性气泡框,6,Personal_Chatbox01,UI_Chatbox01_Icon_08.png,ffffff,藏品商店中使用火元素标本兑换,,,,,,,
1040007,水属性气泡框,7,Personal_Chatbox01,UI_Chatbox01_Icon_010.png,ffffff,藏品商店中使用水元素标本兑换,,,,,,,
1040008,毒属性气泡框,8,Personal_Chatbox01,UI_Chatbox01_Icon_06.png,bf78ca,藏品商店中使用毒元素标本兑换,,,,,,,
1040009,圣属性气泡框,9,Personal_Chatbox01,UI_Chatbox01_Icon_09.png,ddb34f,藏品商店中使用圣元素标本兑换,,,,,,,
1040010,暗属性气泡框,10,Personal_Chatbox01,UI_Chatbox01_Icon_05.png,ffffff,藏品商店中使用暗元素标本兑换,,,,,,,
1040011,念属性气泡框,11,Personal_Chatbox01,UI_Chatbox01_Icon_04.png,baa090,藏品商店中使用念元素标本兑换,,,,,,,
1040501,不死属性气泡框,12,Personal_Chatbox01,UI_Chatbox01_Icon_03.png,ffffff,藏品商店中使用不死元素标本兑换,,,,,,,
1040012,小恶魔气泡框,13,Personal_Chatbox01,UI_Chatbox01_Icon_012.png,ffffff,神秘商店中购买并开启“小恶魔之翼扭蛋”和“小天使之翼扭蛋”时有几率获得,,,,9,,,
1040013,博仁斯攻略战荣誉聊天框,14,Personal_Chatbox01,UI_Chatbox01_Icon_013.png,494573,博仁斯攻略战荣誉排名获得,,,,11,,,
1040015,月兔气泡框,15,Personal_Chatbox01,UI_Chatbox01_Icon_016.png,61321b,秋夕节活动中食用松饼有几率获得,,,,9,,,
1040017,时间之翼气泡框,16,Personal_Chatbox01,UI_Chatbox01_Icon_017.png,61321b,神秘商店中购买并开启“时间之翼扭蛋”时有几率获得,,,,9,,,
1040018,万圣夜气泡框（3天）,17,Personal_Chatbox01,UI_Chatbox01_Icon_019.png,ffffff,嘉年华商店中购买并开启“嘉年华小礼盒”时有几率获得,,,,11,,,
1040019,鬼魂气泡框（3天）,18,Personal_Chatbox01,UI_Chatbox01_Icon_018.png,2757ad,嘉年华商店中购买并开启“嘉年华小礼盒”时有几率获得,,,,11,,,
1040020,雪花节气泡框（15天）,19,Personal_Chatbox01,UI_Chatbox01_Icon_020.png,2757ad,通过参与2020年雪花节雪仗原激战活动获得,,,,27,,,
1040021,玩具士兵气泡框,20,Personal_Chatbox01,UI_Chatbox01_Icon_021.png,61321b,,,,,9,,,
1040022,萌萌奶牛气泡框,21,Personal_Chatbox01,UI_Chatbox01_Icon_022.png,ddb34f,通过开启新春小礼盒获得,,,,9,,,
1040023,荆棘之冠气泡框（60天）,22,Personal_Chatbox01,UI_Chatbox01_Icon_5V5_46.png,ddb34f,天下第一勇者大会-超时空争霸赛冠军获得,,,,9,,,
1040024,荆棘守护气泡框（60天）,23,Personal_Chatbox01,UI_Chatbox01_Icon_5V5_47.png,ddb34f,天下第一勇者大会-超时空争霸赛亚军、季军获得,,,,9,,,
1040025,荆棘之矢气泡框（60天）,24,Personal_Chatbox01,UI_Chatbox01_Icon_5V5_48.png,ddb34f,天下第一勇者大会-超时空争霸赛殿军、八强获得,,,,9,,,
1040026,清凉夏日气泡框,25,Personal_Chatbox01,UI_Chatbox01_Icon_044.png,e5a241,完成时空模拟战赛季任务获得,,,,9,,,
1040027,感谢你喜欢RO气泡框（15天）,27,Personal_Chatbox01,UI_Chatbox01_Icon_45.png,e5a241,通过参与周年庆典时装扭蛋活动有几率获得,,,,9,,,
1040028,荆棘之力气泡框（60天）,28,Personal_Chatbox01,UI_Chatbox01_Icon_5V5_49.png,e5a241,天下第一勇者大会-超时空争霸赛十六强获得,,,,9,,,
1040029,明月玉兔气泡框（5天）,29,Personal_Chatbox01,UI_Chatbox01_Icon_057_yyz.png,ddb34f,中秋节活动中食用团子有几率获得,,,,2,1,20210914=050000|20301231=045959,
1040030,明月玉兔气泡框（5天）,30,Personal_Chatbox01,UI_Chatbox01_Icon_057_yyz.png,ddb34f,中秋节活动中食用蔬菜饼有几率获得,,,,25,1,20210914=050000|20301231=045959,
1040031,沉寂之地气泡框（15天）,31,Personal_Chatbox01,UI_Chatbox01_Icon_060_yyz.png,ffffff,开启神秘商店中2021万圣节活动外观扭蛋有机会获得,,,,9,1,20211028=050000|20301231=045959,
1040032,森林麋鹿气泡框（15天）,32,Personal_Chatbox01,UI_Chatbox01_Icon_063_yyz.png,4b6cbb,2021“雪仗原激战“活动排行榜奖励,,,,9,1,20211223=050000|20301231=045959,
1040033,虎虎生威气泡框（15天）,33,Personal_Chatbox01,UI_Chatbox01_Icon_064.png,ddb34f,,,,1,9,,,
