ID,Name,Atlas,Icon,Color,Grade,Type,Target,ShowLimit,Desc,Default,ShowInPreview,isHide,ShowTimeRules,ShowTimeRulesPara,
ID,标签名,图集,图标,叠图颜色（不配则不需要）,等级字符显示（不配则不显示）,类型（1性别标签 2成就标签 3典藏值标签 4魔物研究等级 10等级榜标签）,目标参数,未解锁时是否显示,描述,默认标签,是否显示预览,是否隐藏(配置1隐藏，0或不填正常显示),当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,,备注
1,默认,,,,,0,,,隐藏标签,,,,,,
401,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_01.png,f7aeee,1,4,1,1,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级1级
402,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_01.png,f7aeee,2,4,2,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级2级
403,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_01.png,f7aeee,3,4,3,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级3级
404,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_01.png,f7aeee,4,4,4,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级4级
405,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_01.png,f7aeee,5,4,5,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级5级
406,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_02.png,f7aeee,6,4,6,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级6级
407,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_02.png,f7aeee,7,4,7,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级7级
408,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_02.png,f7aeee,8,4,8,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级8级
409,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_02.png,f7aeee,9,4,9,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级9级
410,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_02.png,f7aeee,10,4,10,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级10级
411,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_03.png,f7aeee,11,4,11,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级11级
412,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_03.png,f7aeee,12,4,12,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级12级
413,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_03.png,f7aeee,13,4,13,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级13级
414,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_03.png,f7aeee,14,4,14,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级14级
415,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_03.png,f7aeee,15,4,15,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级15级
416,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_04.png,cda2f8,16,4,16,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级16级
417,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_04.png,cda2f8,17,4,17,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级17级
418,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_04.png,cda2f8,18,4,18,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级18级
419,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_04.png,cda2f8,19,4,19,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级19级
420,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_04.png,cda2f8,20,4,20,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级20级
421,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_05.png,cda2f8,21,4,21,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级21级
422,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_05.png,cda2f8,22,4,22,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级22级
423,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_05.png,cda2f8,23,4,23,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级23级
424,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_05.png,cda2f8,24,4,24,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级24级
425,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_05.png,cda2f8,25,4,25,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级25级
426,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_06.png,cda2f8,26,4,26,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级26级
427,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_06.png,cda2f8,27,4,27,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级27级
428,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_06.png,cda2f8,28,4,28,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级28级
429,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_06.png,cda2f8,29,4,29,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级29级
430,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_06.png,cda2f8,30,4,30,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级30级
431,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_07.png,bc7ade,31,4,31,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级31级
432,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_07.png,bc7ade,32,4,32,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级32级
433,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_07.png,bc7ade,33,4,33,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级33级
434,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_07.png,bc7ade,34,4,34,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级34级
435,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_07.png,bc7ade,35,4,35,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级35级
436,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_08.png,bc7ade,36,4,36,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级36级
437,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_08.png,bc7ade,37,4,37,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级37级
438,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_08.png,bc7ade,38,4,38,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级38级
439,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_08.png,bc7ade,39,4,39,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级39级
440,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_08.png,bc7ade,40,4,40,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级40级
441,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_09.png,bc7ade,41,4,41,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级41级
442,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_09.png,bc7ade,42,4,42,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级42级
443,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_09.png,bc7ade,43,4,43,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级43级
444,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_09.png,bc7ade,44,4,44,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级44级
445,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_09.png,bc7ade,45,4,45,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级45级
446,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_10.png,bc7ade,46,4,46,,根据当前魔物研究等级显示标签,,1,,,,魔物研究等级46级
447,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_10.png,bc7ade,47,4,47,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级47级
448,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_10.png,bc7ade,48,4,48,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级48级
449,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_10.png,bc7ade,49,4,49,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级49级
450,魔物研究等级标签,Personal_Label01,UI_LabelIcon_Monster_10.png,bc7ade,50,4,50,,根据当前魔物研究等级显示标签,,,,,,魔物研究等级50级
101,男生专属标签,Personal_Label01,UI_LabelIcon_boy.png,,,1,0,,男生的专属身份标识,1,,,,,男生专属标签
102,女生专属标签,Personal_Label01,UI_LabelIcon_girl.png,,,1,1,,女生的专属身份标识,1,,,,,女生专属标签
1001,升级达人,Personal_Label01,UI_LabelIcon_dengji.png,,,10,100,1,BASE经验总值在服务器名列前茅（每日0点结算）,,,,,,升级达人
301,时尚度标签,Personal_Label01,UI_LabelIcon_shishang1.png,cec1cc,1,3,1,1,根据当前时尚度等级显示标签,,1,,,,时尚度达到1级
302,时尚度标签,Personal_Label01,UI_LabelIcon_shishang1.png,cec1cc,2,3,2,,根据当前时尚度等级显示标签,,,,,,时尚度达到2级
303,时尚度标签,Personal_Label01,UI_LabelIcon_shishang1.png,cec1cc,3,3,3,,根据当前时尚度等级显示标签,,,,,,时尚度达到3级
304,时尚度标签,Personal_Label01,UI_LabelIcon_shishang1.png,cec1cc,4,3,4,,根据当前时尚度等级显示标签,,,,,,时尚度达到4级
305,时尚度标签,Personal_Label01,UI_LabelIcon_shishang1.png,cec1cc,5,3,5,,根据当前时尚度等级显示标签,,,,,,时尚度达到5级
306,时尚度标签,Personal_Label01,UI_LabelIcon_shishang2.png,b6de47,6,3,6,,根据当前时尚度等级显示标签,,1,,,,时尚度达到6级
307,时尚度标签,Personal_Label01,UI_LabelIcon_shishang2.png,b6de47,7,3,7,,根据当前时尚度等级显示标签,,,,,,时尚度达到7级
308,时尚度标签,Personal_Label01,UI_LabelIcon_shishang2.png,b6de47,8,3,8,,根据当前时尚度等级显示标签,,,,,,时尚度达到8级
309,时尚度标签,Personal_Label01,UI_LabelIcon_shishang2.png,b6de47,9,3,9,,根据当前时尚度等级显示标签,,,,,,时尚度达到9级
310,时尚度标签,Personal_Label01,UI_LabelIcon_shishang2.png,b6de47,10,3,10,,根据当前时尚度等级显示标签,,,,,,时尚度达到10级
311,时尚度标签,Personal_Label01,UI_LabelIcon_shishang3.png,83d5f7,11,3,11,,根据当前时尚度等级显示标签,,1,,,,时尚度达到11级
312,时尚度标签,Personal_Label01,UI_LabelIcon_shishang3.png,83d5f7,12,3,12,,根据当前时尚度等级显示标签,,,,,,时尚度达到12级
313,时尚度标签,Personal_Label01,UI_LabelIcon_shishang3.png,83d5f7,13,3,13,,根据当前时尚度等级显示标签,,,,,,时尚度达到13级
314,时尚度标签,Personal_Label01,UI_LabelIcon_shishang3.png,83d5f7,14,3,14,,根据当前时尚度等级显示标签,,,,,,时尚度达到14级
315,时尚度标签,Personal_Label01,UI_LabelIcon_shishang3.png,83d5f7,15,3,15,,根据当前时尚度等级显示标签,,,,,,时尚度达到15级
316,时尚度标签,Personal_Label01,UI_LabelIcon_shishang4.png,d9aaff,16,3,16,,根据当前时尚度等级显示标签,,1,,,,时尚度达到16级
317,时尚度标签,Personal_Label01,UI_LabelIcon_shishang4.png,d9aaff,17,3,17,,根据当前时尚度等级显示标签,,,,,,时尚度达到17级
318,时尚度标签,Personal_Label01,UI_LabelIcon_shishang4.png,d9aaff,18,3,18,,根据当前时尚度等级显示标签,,,,,,时尚度达到18级
319,时尚度标签,Personal_Label01,UI_LabelIcon_shishang4.png,d9aaff,19,3,19,,根据当前时尚度等级显示标签,,,,,,时尚度达到19级
320,时尚度标签,Personal_Label01,UI_LabelIcon_shishang4.png,d9aaff,20,3,20,,根据当前时尚度等级显示标签,,,,,,时尚度达到20级
321,时尚度标签,Personal_Label01,UI_LabelIcon_shishang5.png,f3ae3f,21,3,21,,根据当前时尚度等级显示标签,,1,,,,时尚度达到21级
322,时尚度标签,Personal_Label01,UI_LabelIcon_shishang5.png,f3ae3f,22,3,22,,根据当前时尚度等级显示标签,,,,,,时尚度达到22级
323,时尚度标签,Personal_Label01,UI_LabelIcon_shishang5.png,f3ae3f,23,3,23,,根据当前时尚度等级显示标签,,,,,,时尚度达到23级
324,时尚度标签,Personal_Label01,UI_LabelIcon_shishang5.png,f3ae3f,24,3,24,,根据当前时尚度等级显示标签,,,,,,时尚度达到24级
325,时尚度标签,Personal_Label01,UI_LabelIcon_shishang5.png,f3ae3f,25,3,25,,根据当前时尚度等级显示标签,,,,,,时尚度达到25级
201,成就标签,Personal_Label01,UI_LabelIcon_chengjiu1.png,cdc887,1,2,1,1,根据当前成就等级显示标签,,1,,,,成就等级初心者
202,成就标签,Personal_Label01,UI_LabelIcon_chengjiu1.png,cdc887,2,2,2,,根据当前成就等级显示标签,,,,,,成就等级开拓者
203,成就标签,Personal_Label01,UI_LabelIcon_chengjiu1.png,cdc887,3,2,3,,根据当前成就等级显示标签,,,,,,成就等级挑战者
204,成就标签,Personal_Label01,UI_LabelIcon_chengjiu1.png,cdc887,4,2,4,,根据当前成就等级显示标签,,,,,,
205,成就标签,Personal_Label01,UI_LabelIcon_chengjiu1.png,cdc887,5,2,5,,根据当前成就等级显示标签,,,,,,
