DoodadID,Text,IsToTeam,Atlas,Icon,Effect,BuffID,LifeTime,FreshCD,PickTips,AddCondition,DropDistance,Rotation,XYZAxisOffset,DoNotLookAtCamera
拾取物ID,显示文字,是否针对全队,buff图集,buff图标,特效,拾取后BUFFID,生存时间（秒）,刷新时间（秒）,拾取后提示,添加条件（lua),只有走Entity时生效，掉落的范围，不填走Global表,旋转角度 X|Y|Z,图片微调 X|Y|Z , 是否在旋转之前看向镜头 0 看镜头 1 不看
1,天使之赐福,1,Icon_ItemEquip03,UI_icon_item_xingyunzhulian.png,31,3305101,-1,20,全属性提高,,,,,
2,移速增加20%,0,Icon_ItemConsumables01,UI_icon_item_reniunai.png,120030,101010,30,-1,移动速度增加,,,,,
3,极限攻速刀刀暴击,0,Icon_Doodad,Icon_Doodad_Speed.png,610,3305101,-1,-1,攻速无双，刀刀暴击，飞一般的感觉！,,,,,
4,可变吟唱时间大幅降低,0,Icon_Doodad,Icon_Doodad_Magic.png,611,3305201,-1,-1,大幅减少可变吟唱时间！,,,,,
5,武器属性变为火属性,1,Icon_Doodad,Icon_Doodad_Element02.png,609,3305301,-1,-1,武器变成火属性了，对地属性怪物有克制,,,,,
6,武器属性变为水属性,1,Icon_Doodad,Icon_Doodad_Element01.png,608,3305401,-1,-1,武器变成水属性了，对火属性怪物有克制,,,,,
7,武器属性变为地属性,1,Icon_Doodad,Icon_Doodad_Element03.png,609,3305501,-1,-1,武器变成地属性了，对风属性怪物有克制,,,,,
8,武器属性变为风属性,1,Icon_Doodad,Icon_Doodad_Element04.png,610,3305601,-1,-1,武器变成风属性了，对水属性怪物有克制,,,,,
9,武器属性变为圣属性,1,Icon_Doodad,Icon_Doodad_Element05.png,612,3305701,-1,-1,武器变成圣属性了，对暗属性怪物有克制,,,,,
10,物攻魔攻大幅提升,0,Icon_Doodad,Icon_Doodad_Attack.png,609,3305801,-1,-1,极限输出，享受秒杀怪物的感觉,,,,,
11,极限攻速刀刀暴击,0,Icon_Doodad,Icon_Doodad_Speed.png,611,3305901,-1,-1,攻速无双，刀刀暴击，飞一般的感觉！,,,,,
12,回复HP,0,Icon_Doodad,Icon_Doodad_Heal.png,610,100110,-1,-1,,,,,,
13,变身,0,Icon_Doodad,Icon_Doodad_Shift.png,613,100110,-1,-1,,,,,,
14,加速,0,Icon_Doodad,Icon_Doodad_Speed.png,611,100110,-1,-1,,,,,,
15,地之领域,0,Icon_Doodad,Icon_Doodad_Element03.png,609,3306001,-1,-1,地之力从你身体中涌出，会不断对周围怪物造成伤害,,,,,
16,火之领域,0,Icon_Doodad,Icon_Doodad_Element02.png,608,3306101,-1,-1,火之力从你身体中涌出，会不断对周围怪物造成伤害,,,,,
17,水之领域,0,Icon_Doodad,Icon_Doodad_Element01.png,609,3306201,-1,-1,水之力从你身体中涌出，会不断对周围怪物造成伤害,,,,,
18,风之领域,0,Icon_Doodad,Icon_Doodad_Element04.png,610,3306301,-1,-1,风之力从你身体中涌出，会不断对周围怪物造成伤害,,,,,
