ID,Targets,Des
目标组ID,目标组目标,备注
1,501,（兽人事变1）击杀在门口看守的兽人小队
2,508,（兽人事变1）继续深入洞穴
3,502,（兽人事变1）与旁边的兽人士兵对话
4,503,（兽人事变1）救出兽人士兵的孩子
5,504,（兽人事变1）和兽人小孩对话——分支
6,505,（兽人事变1-1）再跟兽人士兵对话
7,506,（兽人事变1-1）消除空气墙
8,507,（兽人事变1-1）击杀剩余魔物
9,509,（兽人事变1-2）去击杀另两只巡逻的怪
10,1100,清空地图内魔物
11,1101,击杀狂暴的魔物
12,1103,击杀巴风特之影
13,1105|1106,击杀狂暴的魔物|与塔罗斯对话
14,8,将20只波利赶入指定区域
15,510,（兽人事变1-2）再和兽人小孩对话
16,525,（兽人事变1-2）摧毁屏障2
17,615,找到毒眼组织成员
18,616,与毒眼组织成员对话
19,617,消灭毒眼组织成员
20,618,与麻略加娜对话
21,619,前去吸引加雷斯注意
22,620,打败加雷斯
23,621,审问加雷斯剧毒之刺的下落
24,622,跟随加雷斯找到剧毒之刺
25,623,与加雷斯对话
26,624,消灭毒眼成员
27,625,跟随脚印找到加雷斯
28,626,击败加雷斯
29,627,与麻略加娜对话
30,628,躲到一旁观看
31,629,与麻略加娜对话
32,630,消灭毒眼组织成员
33,631,按兵不动，继续等待
34,632,与加雷斯对话
35,633,击败加雷斯
36,634,与发兑斯对话，拿取剧毒之刺
37,635,击退刺客公会成员
38,636,与毒眼成员对话
39,637,找到加雷斯并与他对话
40,638,溜到一边给刺客公会写信
41,639,与加雷斯对话，拖住他
42,640,击败加雷斯
43,641,与麻略加娜对话
44,642,找到加雷斯的藏身地
45,643,与加雷斯对话
46,644,销毁剧毒之刺
47,645,带着剧毒之刺离开
48,646,解决赶来的追兵
49,647,前往安全区域
50,648,销毁剧毒之刺
