ID,Target,GuidePos,TargetDes,Des
目标ID,副本目标（1，对话；2，打怪，击杀特定怪物；3：采集；4，获得特定物品；5，进入区域；6：使用道具；7：特殊事件,引导坐标（不配置不会在小地图显示引导位置，配置则会显示引导位置）,目标描述,备注
1,1|20102|1010,152.5=14.1=88.5,与南门的NPC普约尔对话,测试场景
2,2|1025|5,,消灭5只罗达蛙,测试场景
3,3|511002|1,89.4=10.1=76.3,采集光芒草,测试场景
4,4|3080002|5,100=10.1=47.8,获得5个苹果,测试场景
5,5|1010|2,92.6=10.01=137.5,前往普隆德拉南门的入口处,测试场景
6,6|2090018|2,,使用2次 老旧卡册,测试场景
7,7|1|1,64.6=10.012=131.7,前往南门口西侧的的区域探查,测试场景
8,7|1|15,,将15只波利赶入指定区域,
20,1|20102|1010,140.84=9.1=69.2,跟普约尔对话了解狩猎任务,公会狩猎简单
21,7|1|1,135=9.1=46.44,消灭第一波魔物,公会狩猎简单
22,7|1|1,,消灭第二波魔物,公会狩猎简单
23,1|20103|1012,,与普约尔对话了解任务,公会狩猎普通起始
24,7|1|1,,消灭前方的魔物,公会狩猎普通
25,7|1|1,,消灭所有精英魔物,公会狩猎普通
26,3|511002|3,,采集3棵光芒草,公会狩猎普通
27,7|1|1,,消灭所有司令,公会狩猎普通
28,1|20104|1022,,与普约尔对话了解狩猎任务,公会狩猎困难起始
29,7|1|1,,狩猎变异的法老王,公会狩猎困难
33,2|8074|1,,狩猎变异的鬼女,公会狩猎困难
34,2|8067|1,,狩猎变异的天使波利,公会狩猎困难
35,2|8065|1,,狩猎变异的鬼女,公会狩猎普通
36,2|8058|1,,狩猎变异的天使波利,公会狩猎普通
101,7|1|1,,和祈福队伍汇合,圣职祈福
102,7|1|1,,学习修女的祈福动作,圣职祈福
103,7|1|1,,观察并模仿队伍动作，混入火场,圣职祈福
104,7|1|1,,沿着痕迹，和安德鲁在下水道深处汇合,潜入下水道
105,7|1|1,,和瓦尔基里会面,英灵殿
106,7|1|1,,跨越彩虹之桥,英灵殿
107,7|1|1,,召唤远古的元素之灵,英灵殿
108,7|1|1,,和水之灵学习元素克制,英灵殿
109,7|1|1,,和火之灵学习元素克制,英灵殿
110,7|1|1,,和地之灵学习元素克制,英灵殿
111,7|1|1,,和风之灵学习元素克制,英灵殿
112,7|1|1,,去看看瓦尔基里想对你说什么,英灵殿
113,7|1|1,,击败马尔杜克,英灵殿
114,7|1|1,,击败石巨人,英灵殿
115,7|1|1,,击败狮鹫,英灵殿
116,7|1|1,,击败海神,英灵殿
117,7|1|1,,返回冒险者学院,英灵殿
118,7|1|1,,和瓦尔基里对话，完成试炼,英灵殿
121,7|1|1,,追随光芒，探索六维印记,英灵殿
122,7|1|1,,拔出试炼之剑,英灵殿
123,7|1|1,,跨越瓦尔哈拉之桥,英灵殿
124,7|1|1,,前往标记点，和未知的声音会面,英灵殿
125,7|1|1,,和瓦尔基里对话，开启最终试炼,英灵殿
126,7|1|1,,击败土波利王,英灵殿
127,7|1|1,,和瓦尔基里对话，返回学院,英灵殿
130,2|7726|1,,消灭海盗之王：德雷克,海盗船
131,7|1|1,,击败敌方小队所有成员,3v3
132,7|1|1,,跟随导师，通过试炼之地,实力烙印
133,7|1|1,,调查船员复活的真相,海盗船
134,7|1|1,,追击帕纳迦，夺回绿龙之心,海盗船
135,2|5201|1,,消灭海盗之王：德雷克,海盗船
136,2|7701|1,,消灭海盗之王：德雷克,海盗船
137,7|1|1,,和前线部队会合,A7
138,7|1|1,,深入魔神塔，支援突击部队,A7
139,7|1|1,,寻找通往二楼的路,A7
140,7|1|1,,前往二楼侧厅,A7
141,7|1|1,,阻止邪恶的献祭仪式,A7
142,7|1|1,,去塔顶支援达纳托斯,A7
143,7|1|1,,消灭达纳托斯的诅咒人格,A7
144,7|1|1,,激活以太水晶解除屏障,吉芬地下
145,7|1|1,,消灭沿途的魔物继续前进,吉芬地下
146,7|1|1,,寻找通往葛帔尼亚的路,吉芬地下
147,2|7757|1,,消灭死灵剑士：多普勒,吉芬地下
148,2|5257|1,,消灭死灵剑士：多普勒,吉芬地下
201,7|1|1,,限时内避免金币进度条降低至0,守护钱堆
202,2|6961|1,,协助友方消灭巴风特残影,集体打大巴
203,7|1|1,,治疗格瑞德,服事体验
204,7|1|1,,治疗别西卜,服事体验
205,7|1|1,,协助拉斯击退邪骸弓箭手,服事体验
206,7|1|1,,协助恩维击退蛇女伊丝,服事体验
207,7|1|1,,限时结束保持铁砧热量不为0或者限时内将热量敲击至上限,敲击铁砧
208,7|1|1,,寻找摧毁蚁窝的方法,蚁穴惊魂
209,7|1|1,,探查蚁穴深处,蚁穴惊魂
210,7|1|1,,躲过基尔瑟的疯狂轰炸,蚁穴惊魂
211,7|1|1,,继续探查蚁穴深处,蚁穴惊魂
212,2|7801|1,,消灭蚁后玛雅,蚁穴惊魂
213,7|1|1,,等待奥维斯·夏使用枯树枝,剑士体验
214,7|1|1,,击退侵袭而来的魔物,剑士体验
215,2|7148|1,,击退暗黑螳螂,剑士体验
216,7|1|1,,等待艾米丽万使用枯树枝,法师体验
217,7|1|1,,击退侵袭而来的魔物,法师体验
218,2|7159|1,,击退暗黑卡利斯格,法师体验
219,7|1|1,,消灭教学用森灵,盗贼体验
220,7|1|1,,偶遇路过的男孩,盗贼体验
221,7|1|1,,击退侵袭而来的魔物,盗贼体验
222,7|1|1,,利用隐匿躲过相机的拍摄,盗贼体验
223,2|7177|1,,击退虎王,盗贼体验
224,7|1|1,,偶遇路过的男孩,弓手体验
225,7|1|1,,击退侵袭而来的魔物,弓手体验
226,7|1|1,,利用冲锋箭将野猪先锋击出法阵,弓手体验
227,7|1|1,,阻止野猪走近瑟希莉斯,弓手体验
228,2|7185|1,,击退野猪王,弓手体验
229,7|1|1,,走近枯树枝,商人体验
230,7|1|1,,击退侵袭而来的魔物,商人体验
231,7|1|1,,前往导师处给手推车加点重量,商人体验
232,7|1|1,,继续击退侵袭而来的魔物,商人体验
233,2|7195|1,,击退榔头哥布灵,商人体验
234,3|512051|1,,靠近符文石并查看,北森异变
235,7|1|1,,消灭魔物，等待巴雷蒙德解析符文,北森异变
236,7|1|1,,跟随巴雷蒙德前进,北森异变
237,2|9752|5,,消灭魔物，等待巴雷蒙德净化异变,北森异变
238,7|1|1,,前往下个区域,北森异变
239,7|1|1,,消灭教国卫兵,北森异变
240,3|512052|1,,靠近符文石并查看,北森异变
241,7|1|1,,消灭魔物，等待巴雷蒙德解析符文,北森异变
242,7|1|1,,消灭教国法师,北森异变
243,7|1|1,,前往下个区域（或者在附近探查）,北森异变
244,3|512053|1,,靠近符文石并查看,北森异变
245,7|1|1,,消灭魔物，等待巴雷蒙德解析符文,北森异变
246,7|1|1,,阅读掉落的信,北森异变
247,3|512057|1,,和巴雷蒙德对话,北森异变
248,7|1|1,,消灭教国军,北森异变
249,7|1|1,,跟随巴雷蒙德前往西北峭壁,北森异变
250,2|9751|1,,消灭幕后黑手凯思利亚斯,北森异变
251,2|9802|5,,消灭魔物，等待巴雷蒙德净化异变,北森异变
252,2|9801|1,,消灭幕后黑手凯思利亚斯,北森异变
253,2|5401|1,,消灭蚁后玛雅,蚁穴惊魂
254,7|1|1,,消灭狂暴疯兔,单人北森异变
255,7|1|1,,消灭狂暴的魔物们,单人北森异变
256,7|1|1,,走过木桥,单人北森异变
257,7|1|1,,渡过峭壁前往深处,单人北森异变
258,2|9820|1,,消灭幕后黑手凯思利亚斯,单人北森异变
260,3|512058|1,198.44=65.63=318.92,用星泪石打开启示录,魔法学院
261,7|1|1,198.44=65.63=327.19,看完启示录就离开吧,魔法学院
270,7|1|1,,跟随光点找到动力室的入口,动力室
271,3|512059|1,,开启动力炉,动力室
272,7|1|1,,跟随光点找到动力室的入口,动力室
273,7|1|1,,消灭南门魔物,转生回忆
274,7|1|1,,和瓦尔基里对话,转生回忆
275,7|1|1,,消灭沉船魔物,转生回忆
276,7|1|1,,和瓦尔基里对话,转生回忆
