TaskID,Des,Type,Condition,EquipPos,Awardid,MissionPointNum
任务ID,描述,类型1高级附魔2某部位紫色及以上品质几条3单部位橙色属性4任意X个部位拥有一条紫色及以上属性5任意X个部位拥有一条橙色及以上属性,完成条件,所属部位1:武器3：盔甲 4：披风 5：鞋子 6：饰品 ,奖励,行动点奖励数量
1,高级附魔<color=#f56f02>{0}</color>次,1,5,,8550010,50
2,高级附魔<color=#f56f02>{0}</color>次,1,20,,8550020,100
3,穿戴1件拥有<color=#f56f02>{1}</color>条紫色及以上附魔属性的<color=#f56f02>{0} </color>,2,2,1,8550030,80
4,穿戴1件拥有<color=#f56f02>{1}</color>条紫色及以上附魔属性的<color=#f56f02>{0} </color>,2,2,3,8550040,80
5,穿戴1件拥有<color=#f56f02>{1}</color>条紫色及以上附魔属性的<color=#f56f02>{0} </color>,2,2,4,8550050,80
6,穿戴1件拥有<color=#f56f02>{1}</color>条紫色及以上附魔属性的<color=#f56f02>{0} </color>,2,2,5,8550060,80
7,穿戴1件拥有<color=#f56f02>{1}</color>条紫色及以上附魔属性的<color=#f56f02>{0} </color>,2,2,6,8550070,80
8,穿戴<color=#f56f02>{0} </color>件拥有紫色及以上附魔属性的装备,4,6,,8550080,200
9,穿戴<color=#f56f02>{0} </color>件拥有橙色附魔属性的装备,5,1,,8550090,100
10,穿戴<color=#f56f02>{0} </color>件拥有橙色附魔属性的装备,5,3,,8550100,200
11,穿戴<color=#f56f02>{0} </color>件拥有橙色附魔属性的装备,5,6,,8550110,400
