ID,Comment,DungeonsID,IsSave,IsBossFloor,Name,ExpectHp,ExpectDps,ExpectLv,FirstArrivalReward,RecommendedLv,LocalizationArea
ID,注释,对应的副本ID,记录层？,boss层？,该层名字,期望生命,期望输出,等级,首次到达该层的奖励,推荐等级（显示用）,
1,无限塔第1层,1=3101,1,0,无限塔第1层,500,25,50,,55,
2,无限塔第2层,1=3102,0,0,无限塔第2层,1000,50,51,,55,
3,无限塔第3层,1=3103,0,0,无限塔第3层,1500,75,52,,55,
4,无限塔第4层,1=3104,0,0,无限塔第4层,2000,100,53,,55,
5,无限塔第5层,1=3105,1,1,无限塔第5层,2500,125,54,3310010,55,
6,无限塔第6层,1=3106,1,0,无限塔第6层,3000,150,55,,55,
7,无限塔第7层,1=3107,0,0,无限塔第7层,3500,175,56,,55,
8,无限塔第8层,1=3108,0,0,无限塔第8层,4000,200,57,,55,
9,无限塔第9层,1=3109,0,0,无限塔第9层,4500,225,58,,55,
10,无限塔第10层,1=3110,1,1,无限塔第10层,5000,250,59,3310020,55,
11,无限塔第11层,1=3111,1,0,无限塔第11层,5500,275,60,,55,
12,无限塔第12层,1=3112,0,0,无限塔第12层,6000,300,61,,55,
13,无限塔第13层,1=3113,0,0,无限塔第13层,6500,325,62,,55,
14,无限塔第14层,1=3114,0,0,无限塔第14层,7000,350,63,,55,
15,无限塔第15层,1=3115,1,1,无限塔第15层,7500,375,64,3310030,55,
16,无限塔第16层,1=3116,1,0,无限塔第16层,8000,400,65,,60,
17,无限塔第17层,1=3117,0,0,无限塔第17层,8500,425,66,,60,
18,无限塔第18层,1=3118,0,0,无限塔第18层,9000,450,67,,60,
19,无限塔第19层,1=3119,0,0,无限塔第19层,9500,475,68,,60,
20,无限塔第20层,1=3120,1,1,无限塔第20层,10000,500,69,3310040,60,
21,无限塔第21层,1=3121,1,0,无限塔第21层,10500,525,70,,65,
22,无限塔第22层,1=3122,0,0,无限塔第22层,11000,550,71,,65,
23,无限塔第23层,1=3123,0,0,无限塔第23层,11500,575,72,,65,
24,无限塔第24层,1=3124,0,0,无限塔第24层,12000,600,73,,65,
25,无限塔第25层,1=3125,1,1,无限塔第25层,12500,625,74,3310050,65,
26,无限塔第26层,1=3126,1,0,无限塔第26层,13000,650,75,,70,
27,无限塔第27层,1=3127,0,0,无限塔第27层,13500,675,76,,70,
28,无限塔第28层,1=3128,0,0,无限塔第28层,14000,700,77,,70,
29,无限塔第29层,1=3129,0,0,无限塔第29层,14500,725,78,,70,
30,无限塔第30层,1=3130,1,1,无限塔第30层,15000,750,79,3310060,70,
31,无限塔第31层,1=3131,1,0,无限塔第31层,15000,750,80,,75,
32,无限塔第32层,1=3132,0,0,无限塔第32层,15000,750,81,,75,
33,无限塔第33层,1=3133,0,0,无限塔第33层,15000,750,82,,75,
34,无限塔第34层,1=3134,0,0,无限塔第34层,15000,750,83,,75,
35,无限塔第35层,1=3135,1,1,无限塔第35层,15000,750,84,3310070,75,
36,无限塔第36层,1=3136,1,0,无限塔第36层,15000,750,85,,75,
37,无限塔第37层,1=3137,0,0,无限塔第37层,15000,750,86,,75,
38,无限塔第38层,1=3138,0,0,无限塔第38层,15000,750,87,,75,
39,无限塔第39层,1=3139,0,0,无限塔第39层,15000,750,88,,75,
40,无限塔第40层,1=3140,1,1,无限塔第40层,15000,750,89,3310080,75,
41,无限塔第41层,1=3141,1,0,无限塔第41层,15000,750,90,,80,11
42,无限塔第42层,1=3142,0,0,无限塔第42层,15000,750,91,,80,11
43,无限塔第43层,1=3143,0,0,无限塔第43层,15000,750,92,,80,11
44,无限塔第44层,1=3144,0,0,无限塔第44层,15000,750,93,,80,11
45,无限塔第45层,1=3145,1,1,无限塔第45层,15000,750,94,3310090,80,11
46,无限塔第46层,1=3146,1,0,无限塔第46层,15000,750,95,,80,11
47,无限塔第47层,1=3147,0,0,无限塔第47层,15000,750,96,,80,11
48,无限塔第48层,1=3148,0,0,无限塔第48层,15000,750,97,,80,11
49,无限塔第49层,1=3149,0,0,无限塔第49层,15000,750,98,,80,11
50,无限塔第50层,1=3150,1,1,无限塔第50层,15000,750,99,3310100,80,11
51,无限塔第51层,1=3151,1,0,无限塔第51层,15000,750,100,,100,9
52,无限塔第52层,1=3152,0,0,无限塔第52层,15000,750,101,,100,9
53,无限塔第53层,1=3153,0,0,无限塔第53层,15000,750,102,,100,9
54,无限塔第54层,1=3154,0,0,无限塔第54层,15000,750,103,,100,9
55,无限塔第55层,1=3155,1,1,无限塔第55层,15000,750,104,3310110,100,9
56,无限塔第56层,1=3156,1,0,无限塔第56层,15000,750,105,,110,9
57,无限塔第57层,1=3157,0,0,无限塔第57层,15000,750,106,,110,9
58,无限塔第58层,1=3158,0,0,无限塔第58层,15000,750,107,,110,9
59,无限塔第59层,1=3159,0,0,无限塔第59层,15000,750,108,,110,9
60,无限塔第60层,1=3160,1,1,无限塔第60层,15000,750,109,3310120,110,9
