ID,Level,NormalAttribute,EliteAttribute,BossAttribute,MVPAttribute,Function
序号,等级,普通怪数值（HP=DAMAGE）,精英怪数值（HP=DAMAGE）,BOSS怪数值HP=DAMAGE）,MVP怪数值（HP=DAMAGE）,"功能（1.圣歌试炼 2.无限塔 3.野外 4.魔物驱逐-读精英，5-boss挑战，6.迷宫副本,7公会狩猎，8世界奇闻，11心之道馆）"
1,1,23=0,63=1,126=2,126=2,1
2,2,41=0,111=1,222=3,222=3,1
3,3,74=1,197=2,395=4,395=4,1
4,4,80=1,215=2,430=5,430=5,1
5,5,113=1,301=2,603=5,603=5,1
6,6,145=1,388=3,776=6,776=6,1
7,7,163=1,436=3,872=7,872=7,1
8,8,196=1,522=3,1045=7,1045=7,1
9,9,214=2,570=4,1141=8,1141=8,1
10,10,310=2,827=5,1655=11,1655=11,1
11,11,560=2,1495=5,2991=12,2991=12,1
12,12,602=3,1607=6,3215=12,3215=12,1
13,13,639=3,1704=6,3408=13,3408=13,1
14,14,666=3,1776=6,3553=14,3553=14,1
15,15,812=3,2167=7,4335=15,4335=15,1
16,16,861=3,2296=7,4593=16,4593=16,1
17,17,892=4,2379=8,4758=16,4758=16,1
18,18,932=4,2487=8,4974=17,4974=17,1
19,19,963=4,2568=8,5137=18,5137=18,1
20,20,1009=4,2692=9,5384=19,5384=19,1
21,21,1052=4,2806=9,5613=20,5613=20,1
22,22,1088=5,2902=10,5805=21,5805=21,1
23,23,1114=5,2970=10,5941=21,5941=21,1
24,24,1149=5,3065=10,6130=22,6130=22,1
25,25,1248=5,3329=11,6659=23,6659=23,1
26,26,1320=5,3521=11,7042=24,7042=24,1
27,27,1379=6,3677=12,7355=25,7355=25,1
28,28,1439=6,3839=12,7679=26,7679=26,1
29,29,1485=6,3962=13,7925=27,7925=27,1
30,30,1827=9,4873=18,9747=38,9747=38,1
31,31,1902=9,5074=18,10148=39,10148=39,1
32,32,1964=9,5239=19,10479=40,10479=40,1
33,33,2053=9,5474=19,10949=41,10949=41,1
