ID,UnitAttrType,Group,LevelAward,
id,"属性类别(0.无属性1.风属性,2.地属性,3.火属性,4.水属性, 5.毒属性6.圣属性,7.暗属性,8.念属性,9.不死属性)",分组编号,等级奖励（等级1=奖励id|等级2=奖励id）,备注
1,0,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
2,0,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
3,0,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
4,0,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
5,0,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
6,0,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
7,0,7,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
8,0,8,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,1个
101,1,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
102,1,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
103,1,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
104,1,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
105,1,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
106,1,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
107,1,7,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,1个
201,2,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
202,2,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
203,2,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
204,2,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
205,2,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
206,2,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
207,2,7,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
208,2,8,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
209,2,9,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
210,2,10,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
211,2,11,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
212,2,12,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,2个
301,3,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
302,3,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
303,3,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
304,3,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
305,3,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
306,3,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
307,3,7,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
308,3,8,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,3个
401,4,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
