Lv,Point,Atlas,Icon,Award,AddAttr,Unlock,
等级,升级所需研究点数,图集名称,图标名称,等级奖励（awardid),属性,是否有商品解锁,备注
1,300,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=27=5|0=36=5,,
2,1000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=33=100,,
3,3000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=47=30,,
4,6000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=42=100,,
5,10000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=28=100|0=37=100,,
6,15000,AchievementIcon,UI_AchievementIcon_Chuxinzhe.png,,0=51=2,,
7,21000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=53=2,,
8,28000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=48=100,,
9,36000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=49=10,,
10,45000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=65=100|0=66=100,,
11,55000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=27=5|0=36=5,,
12,66000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=33=100,,
13,78000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=47=30,,
14,91000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=42=100,,
15,105000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=28=100|0=37=100,,
16,120000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=51=2,,
17,136000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=53=2,,
18,153000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=48=100,,
19,171000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=49=10,,
20,190000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=65=100|0=66=100,,
21,210000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=27=5|0=36=5,,
22,232000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=33=100,,
23,255000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=47=30,,
24,279000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=42=100,,
25,305000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=28=100|0=37=100,,
26,332000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=51=2,,
27,360000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=53=2,,
28,389000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=48=100,,
29,419000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=49=10,,
30,450000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=65=100|0=66=100,,
31,482000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=27=5|0=36=5,,
32,515000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=33=100,,
33,549000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=47=30,,
34,584000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=42=100,,
35,620000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=28=100|0=37=100,,
36,657000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=51=2,,
37,695000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=53=2,,
38,734000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=48=100,,
39,774000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=49=10,,
40,815000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=65=100|0=66=100,,
41,858000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=27=5|0=36=5,,
42,902000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=33=100,,
43,947000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=47=30,,
44,993000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=42=100,,
45,1040000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=28=100|0=37=100,,
46,1088000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=51=2,,
47,1137000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=53=2,,
48,1187000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=48=100,,
49,1238000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=49=10,,
50,1290000,AchievementIcon,UI_AchievementIcon_Kaituozhe.png,,0=65=100|0=66=100,,
