Id,Name,Desc1,Desc,Desc2,DefaultEquipID,PresentID,PresentRatio,UnitSkillID,BornBuff,AI,IsCopyHatredList,AIStartTime,AIHeartInterval,AIHeartIntervalCombat,UnitTypeLevel,MonsterID,HatredBuildType,HatredDeleteType,ScreenLimit,SelfLimit,LimitType,LimitRadius,MobPVECoexistencelimit,MobPVPCoexistencelimit,FightTargetOffsetDegree,MiniMapIcon,BuffCanCall,UnitRace,UnitAttrType,UnitSize,MoveSpeed,ASPD,IsInitiative,HatredAway,HatredAwayStateDuration,Sight,HatredBuildAngle,HatredDetectionInterval,IgnoreDead,IgnoreHide,BodyDisappearTime,UnitLevel,DynamicAttr,AtkDef,STR,INT,AGI,VIT,DEX,LUK,BaseHP,BaseSP,BaseATK,BaseMATK,BaseDEF,BaseMDEF,HIT,FLEE,CRI,CRI_RES,WEAPON_ATK,WEAPON_MATK,DEF,MDEF,DEF_IGNORE,SheildIgnore,MDEF_IGNORE,BaseExp,JobExp,Award,StealAward,DropDoodad,BloodLineNum,MonsterDesc,IsCountData,DeadEffcet,IsDummy,CanChangeColor,HugeMonsterColliders,IsDynamicGroup,DefaultGroup,EntityShowScript,AlwaysShowOnMap,NotShowOnMap,IsShowInHandBook,IsFieldMonster,FeaturesDesc,OutViewMove,HatredAllience,EVO,CanFeelSkill,ElfId,AlwaysShowHud,IsFAQImport,DynamicAtk,DynamicHp,,,,,,
编号,名字,数值用描述,描述,数值配置用描述,装备列表,模板ID,模型比例,技能ID(id=level|...),出生Buff(id=概率),怪物AI,是否拷贝仇恨列表（0不拷贝，1拷贝）默认0,AI起始时间,AI心跳间隔\r\n（休闲）,AI心跳间隔\r\n（战斗）,"怪物级别\r\n(0.普通怪，1.精英怪，2.Boss怪，3.召唤物，4.MINI，5.MVP，6.魔物驱逐宝箱怪，7.魔物驱逐经验怪，8.草类，9.野外任务怪无经验，11.大世界彩蛋，12.活动怪物, 16宠物召唤物）",怪物标识\r\n（自定义value，用于归类怪物）,仇恨建立类型\r\n（0：普通   1：产生仇恨关系时将视野中所有敌对阵营目标加入仇恨列表 2：产生仇恨关系时将扇形视野中敌对阵营目标加入仇恨列表）,仇恨清除类型（0：普通    1：仇恨列表内所有目标死亡或自己死亡或自己脱战，清除仇恨列表）,同屏技能公共个数限制\r\n（无则不填）,个人技能个数限制\r\n（无则不填）,召唤兽技能互斥类型,召唤兽互斥范围,PVE允许共存召唤兽个数，超过后互斥,PVP允许共存召唤兽个数，超过后互斥,战斗偏移角度（默认90，近战90，远程15，Boss0）,小地图图标\r\n（0.不显示 1.MINI2.MVP3.玩家 4.传送门 5.怪 6.精英 具体见minimaptable）默认5,可通过buff召唤\r\n（0不召唤，1召唤，非野外精英MINI填0）,种族(0.动物|1.人形|2.恶魔|3.植物|4.不死|5.无形|6.鱼贝|7.天使|8.昆虫|9.龙族 |10.战场用机械),属性类别(0.无属性1.风属性2.地属性3.火属性4.水属性 5.毒属性6.圣属性7.暗属性8.念属性9.不死属性),体型（0.中，1.大，2.小）,移动速度,攻速,是否主动（1.主动 0被动）,脱战方式（0.不脱战（配置为0=0）  1.时间脱战 1=5（代表5秒不碰到目标且不被攻击脱战） 2.范围脱战 2=15（代表追逐超过初始位置大于15米后脱战））,脱战状态持续时间（毫秒）,视野,视野角度,仇恨检测间隔（毫秒，野外怪物不低于1000，BOSS等不低于500）,是否无视装死,是否无视隐匿,尸体消失时间（秒）,怪物等级,是否加入脚本计算,攻血比例,力量,智力,敏捷,体质,灵巧,幸运,基础生命,基础魔法值,基础物理攻击,基础魔法攻击,基础物理防御,基础魔法防御,命中,闪避,暴击,暴击防护,装备物理攻击,装备魔法攻击,装备物理防御,装备魔法防御,忽视物理防御,忽视盾牌防御,忽视魔法防御,基础经验,职业经验,奖励,偷窃奖励,可拾取BUFF掉落,怪物血条数,怪物简介,是否计算数据\r\n（0.副本中不计算数据\r\n1.副本中计算数据）,怪物死亡特效,是否无法选中,是否可被技能变色\r\n（0不可以，1可以）,形体拆分\r\n（x=z=r=h),是否动态阵容（0.不是  1.是；为0时DefaultGroup填写FightGroup表中，为1时填程序定义的值；默认为0）,默认阵营（敌对2，友方0）,怪物喊话脚本,不管视野限制，永远在小地图上显示图标\r\n（只在特定场景生效）,不在小地图上显示\r\n（策划标记用）,是否在图鉴中显示（1.显示  0.不显示）,是否野外怪（0 不是  1 是  ）,魔物特性,不在视野内是否可以移动（0不可以，>0表示休闲心跳的多少倍）,仇恨联动ID\r\n（协助同类）,进化（ID=权重）,感应魔法,波利团精灵ID,常驻血条和名字（0.常驻不显示，1常驻显示血条，2常驻显示名字，3受击不显示血条，4受击不显示名字，用竖线隔开）,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,攻击比例,血量比例,,,,,,
1,剑士,,南门,剑士,,20,1,,,XinShouFuBen_QiShiLingZhu,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,149,10,0,0,38,120,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
2,服事,,南门,服事,,30,1,,,XinShouFuBen_ShenGuan1,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
3,法师,,南门,法师,,40,1,,,XinShouFuBen_ChaoMoDaoShi,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
4,盗贼,,南门,盗贼,,50,1,,,XinShouFuBen_ShiZiCiKe,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,149,10,172,10,38,200,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
5,弓箭手,,南门,弓箭手,,60,1,,,XinShouFuBen_ShengSheShou,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,15,15,120,5,164,181,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
11,蹩脚剑士,,南门,蹩脚剑士,,20,1,,,,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,40,,,149,10,0,0,38,120,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
12,萌萌服事,,南门,萌萌服事,,30,1,,,,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,40,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
13,中二法师,,南门,中二法师,,40,1,,,,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,40,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
14,跳跳盗贼,,南门,跳跳盗贼,,50,1,,,,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,40,,,149,10,172,10,38,200,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
