ID,Description,WeatherType,Temperature,PeriodType,StartAction,HoldAction,EndAction,Chance
id,备注,天气  (0: 无  1:晴天 2:阴天 3:雾天 4:小雨 5:大雨 6:雷雨 7:小雪 8:大雪 9:沙尘 10:雨后 11:雪后,温度范围(对应于TemperatureRangeTable),时间(0:无 1:早晨 2:下午 3:傍晚  4:夜晚),开始动作,保持动作,结束动作,权值
1,男打伞1,4|5|6,,0,1207,1208,1209,1
2,男打伞2,4|5|6,,0,1213,1214,1215,1
3,遮雨,4|5|6,,0,1210,1211,1212,0
4,发抖,0,1|2|3,0,1203,,,0
5,喘气,0,5|6|7,0,1205,,,0
6,拍灰尘,0,,0,1101,,,1
7,伸懒腰,0,,0,1103,,,1
8,揉眼睛,0,,0,1106,,,1
9,女打伞1,4|5|6,,0,1216,1217,1218,1
10,女打伞2,4|5|6,,0,1219,1220,1221,1
11,男思考,0,,0,1105,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
