ModeID,Comment,DurationAndWeatherType,WeatherTypeID
天气模式ID,注释\r\n晨：4小时\r\n昼：9小时\r\n夕：3小时\r\n夜：8小时,"持续时间=天气类型\r\n时间单位(h)\r\n天气类型\r\n0:无 不可配置,1:晴天,2:阴天\r\n3:雾天,4:小雨,5:大雨,6:雷雨\r\n7:小雪,8:大雪,9:沙尘\r\n10:雨后,11:雪后",场景风格类型ID
1101,普隆德拉_晨1,4=8,1
1102,普隆德拉_晨2,4=8,1
1103,普隆德拉_晨3,4=8,1
1104,普隆德拉_周年庆晨,4=1,257
1105,普隆德拉_邪能晨,0=12,10004
1106,普隆德拉_赛事版晨,4=1,281
1121,普隆德拉_昼1,9=8,2
1122,普隆德拉_昼2,9=8,2
1123,普隆德拉_昼3,9=8,2
1124,普隆德拉_昼4,9=8,2
1125,普隆德拉_周年庆昼,9=1,258
1126,普隆德拉_邪能昼,0=12,10004
1127,普隆德拉_赛事版昼,9=1,282
1141,普隆德拉_夕1,3=8,3
1142,普隆德拉_夕2,3=8,3
1143,普隆德拉_夕3,3=8,3
1144,普隆德拉_周年庆夕,3=1,259
1145,普隆德拉_邪能夕,0=12,10004
1146,普隆德拉_赛事版夕,3=1,283
1161,普隆德拉_夜1,8=8,4
1162,普隆德拉_夜2,8=8,4
1163,普隆德拉_夜3,8=8,4
1164,普隆德拉_夜4,8=8,4
1165,普隆德拉_万圣夜,24=1,216
1166,普隆德拉_周年庆夜,8=1,260
1167,普隆德拉_邪能夜,0=12,10004
1168,普隆德拉_赛事版夜,8=1,284
1201,南门_晨1,4=8,5
1202,南门_晨2,4=8,5
1203,南门_晨3,4=8,5
1221,南门_昼1,9=8,6
1222,南门_昼2,9=8,6
1223,南门_昼3,9=8,6
1241,南门_夕1,3=8,7
1242,南门_夕2,3=8,7
1243,南门_夕3,3=8,7
1261,南门_夜1,8=8,8
1262,南门_夜2,8=8,8
1263,南门_夜3,8=8,8
1301,西门_晨1,4=8,9
1302,西门_晨2,4=8,9
1303,西门_晨3,4=8,9
1321,西门_昼1,9=8,10
1322,西门_昼2,9=8,10
1323,西门_昼3,9=8,10
1341,西门_夕1,3=8,11
1342,西门_夕2,3=8,11
1343,西门_夕3,3=8,11
1361,西门_夜1,8=8,12
1362,西门_夜2,8=8,12
1363,西门_夜3,8=8,12
1401,北门_晨1,4=8,13
1402,北门_晨2,4=8,13
1403,北门_晨3,4=8,13
1421,北门_昼1,9=8,14
1422,北门_昼2,9=8,14
1423,北门_昼3,9=8,14
1441,北门_夕1,3=8,15
1442,北门_夕2,3=8,15
1443,北门_夕3,3=8,15
1461,北门_夜1,8=8,16
1462,北门_夜2,8=8,16
1463,北门_夜3,8=8,16
1501,芋虫峡谷_晨1,4=1,17
1502,芋虫峡谷_晨2,4=1,17
1503,芋虫峡谷_晨3,4=1,17
1521,芋虫峡谷_昼1,9=1,18
1522,芋虫峡谷_昼2,9=1,18
1523,芋虫峡谷_昼3,9=1,18
1541,芋虫峡谷_夕1,3=1,19
1542,芋虫峡谷_夕2,3=1,19
1543,芋虫峡谷_夕3,3=1,19
1561,芋虫峡谷_夜1,8=1,20
1562,芋虫峡谷_夜2,8=1,20
1563,芋虫峡谷_夜3,8=1,20
1601,波利岛_晨1,4=1,21
1602,波利岛_晨2,1=1|1=4|1=10|1=1,21
1603,波利岛_晨3,3=4|1=10,21
1621,波利岛_昼1,9=1,22
1622,波利岛_昼2,3=1|2=4|1=10|3=1,22
1623,波利岛_昼3,2=1|5=4|1=10|1=1,22
1641,波利岛_夕1,3=1,23
1642,波利岛_夕2,1=4|1=10|1=1,23
1643,波利岛_夕3,1=1|1=4|1=10,23
1661,波利岛_夜1,8=1,24
1662,波利岛_夜2,3=1|1=4|4=1,24
1663,波利岛_夜3,2=1|3=4|1=1|1=4|1=1,24
1701,哥布林森林_晨1,2=1|1=6|1=10,25
1702,哥布林森林_晨2,4=1,25
1703,哥布林森林_晨3,1=1|1=6|1=10|1=1,25
1721,哥布林森林_昼1,3=1|1=6|1=10|4=1,26
