SceneID,Comment,Morning,Afternoon,Evening,LateNight,UniquePeriod
场景ID,注释,早晨,白昼,黄昏,晚上,指定唯一时段  UniquePeriod只会配置Morning、Afternoon、Evening、LateNight中的一个字符串。    如果用这个数据，那么4个时段都要配置相同的数据，以防报错
1,普隆德拉西门,1301=3000|1302=3000|1303=4000,1321=3000|1322=3000|1323=4000,1341=3000|1342=3000|1343=4000,1361=3000|1362=3000|1363=4000,
4,普隆德拉南门,1201=3000|1202=3000|1203=4000,1221=3000|1222=3000|1223=4000,1241=3000|1242=3000|1243=4000,1261=3000|1262=3000|1263=4000,
5,普隆德拉北门,1401=3000|1402=3000|1403=4000,1421=3000|1422=3000|1423=4000,1441=3000|1442=3000|1443=4000,1461=3000|1462=3000|1463=4000,
7,普隆德拉,1101=10000|1102=10000|1103=10000,1121=10000|1122=10000|1123=10000|1124=10000,1141=10000|1142=10000|1143=10000,1161=10000|1162=10000|1163=10000|1164=10000,
8,哥布林森林,1701=3000|1702=3000|1703=4000,1721=3000|1722=3000|1723=4000,1741=3000|1742=3000|1743=4000,1761=3000|1762=3000|1763=4000,
9,芋虫峡谷,1501=3500|1502=3500|1503=3000,1521=3500|1522=3500|1523=3000,1541=3500|1542=3500|1543=3000,1561=3500|1562=3500|1563=3000,
10,吉芬北部,1801=3500|1802=3500|1803=3000,1821=3500|1822=3500|1823=3000,1841=3000|1842=3000|1843=4000,1861=3000|1862=3000|1863=4000,
11,沙漠岔道,2101=10000,2121=10000,2141=10000,2161=10000,
12,吉芬西部,1901=3500|1902=3500|1903=3000,1921=3500|1922=3500|1923=3000,1941=3000|1942=3000|1943=4000,1961=3000|1962=3000|1963=4000,
13,波利岛,1601=3000|1602=3000|1603=4000,1621=3000|1622=3000|1623=4000,1641=3000|1642=3000|1643=4000,1661=3000|1662=3000|1663=4000,
16,吉芬,2401=3500|2402=3500|2403=3000,2421=3500|2422=3500|2423=3000,2441=3500|2442=3500|2443=3000,2461=3500|2462=3500|2463=3000,
17,花园,5601=3000|5602=3000|5603=4000,5621=3000|5622=3000|5623=4000,5641=3000|5642=3000|5643=4000,5661=3000|5662=3000|5663=4000,
19,苏克拉特沙漠,3701=10000,3721=10000,3741=10000,3761=10000,
20,柏伊亚岚岛,5101=10000,5102=10000,5103=10000,5104=10000,
21,伊斯鲁得,2301=4000|2302=3000|2303=3000,2321=4000|2322=3000|2323=3000,2341=4000|2342=3000|2343=3000,2361=4000|2362=3000|2363=3000,
23,吉芬东部,2001=3000|2002=3000|2003=4000,2021=3000|2022=3000|2023=4000,2041=3000|2042=3000|2043=4000,2061=3000|2062=3000|2063=4000,
25,梦罗克西部,3601=10000,3621=10000,3641=10000,3661=10000,
26,梦罗克,3401=10000,3421=10000,3441=10000,3461=10000,
