SealCardId,SealCardName,ItemCost,CardId
封印卡ID,封印卡名称,解封消耗,解封后卡片Id
5010011,封印的海盗之王卡片,3023006=10,4010011
5010018,封印的巴风特卡片,3023006=10,4010018
5010037,封印的皮里恩卡片,3023006=10,4010037
5010053,封印的德古拉伯爵卡片,3023006=10,4010053
5010058,封印的死灵卡片,3023006=10,4010058
5020002,封印的黄金虫卡片,3023006=10,4020002
5020004,封印的蚁后卡片,3023006=10,4020004
5030007,封印的天使波利卡片,3023006=10,4030007
5030019,封印的兽人酋长卡片,3023006=10,4030019
5040003,封印的恶魔波利卡片,3023006=10,4040003
5050009,封印的虎王卡片,3023006=10,4050009
5050011,封印的月夜猫卡片,3023006=10,4050011
5060019,封印的俄塞里斯卡片,3023006=10,4060019
5070007,封印的蜂后卡片,3023006=10,4070007
5070009,封印的法老王卡片,3023006=10,4070009
5070012,封印的兽人英雄卡片,3023006=10,4070012
5060020,封印的鹗枭男爵卡片,3023006=10,4060035
5010060,封印的血腥骑士卡片,3023006=10,4010069
5020005,封印的凯美拉卡片,3023006=10,4030026
5050012,封印的黑暗之王卡片,3023006=10,4050014
5030008,封印的卡伦卡片,3023006=10,4030037
5010062,封印的冰暴骑士卡片,3023006=10,4010081
5010061,封印的时间管理人卡片,3023006=10,4010080
5030009,封印的塔奥群卡卡片,3023006=10,4030039
5010063,封印的半龙人卡片,3023006=10,4010088
5060043,封印的伊夫利特卡片,3023006=10,4060043
5010093,封印的阿特罗斯卡片,3023006=10,4010093
