ID,CardName,CardTexture,CardColor,CardAttributes,CanUsePosition,RecommendSchool,IsShowInHandBook,ResolveAmount,ExpendZeny,CardLevelType,SortId,CardCollectAttr,TakeoutConsume,SyntheticConsume,LocalizationArea,AwakeningCardID,AwakeningConsume,StarConsume,StarAddAttr
卡片ID,卡片名称,卡片立绘,1 蓝色 2 黄色,卡片携带的属性（属性类型=具体属性ID=数值/参数……；属性类型：0，常规属性；1，buff属性；2，精炼词条属性；3，特技；4，主动技能）,可用部位：部位ID|部位ID（不配：表示一个部位都不可用；0，全部位可用；1，主武器；2，副手；3，盔甲；4，披风；5，鞋子；6，饰品；7，头饰；8，脸饰；9，嘴饰；10，背饰；11，载具）,推荐流派（显示类型=职业/流派对应ID；0职业，1流派）,是否在图鉴中显示（1显示 0不显示）,分解后获得对应材料的数量(获得物品ID=下限=上限）,分解卡片所需要花费的zeny币数量,卡片等级类型,排序id,收藏属性,取出消耗,卡片合成消耗,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10),关联觉醒卡片ID/返还卡片ID,卡片觉醒消耗,觉醒卡片升星消耗（卡片星级=道具ID1=数量=道具ID2=数量|卡片星级2=道具ID=数量...）未觉醒卡片不需要配置,觉醒卡片升星属性（卡片星级1=属性类型=具体属性ID=数值/参数|卡片星级2=属性类型=具体属性ID=数值/参数...；属性类型：0，常规属性；1，buff属性；2，精炼词条属性；3，特技；4，主动技能）
4010001,绿棉虫卡片,MonsterCard/UI_MonsterCard_Lvmianchong.jpg,1,0=22=1|0=47=100,1,,1,30000050=30=31,30000,1,110,0=36=2,,1610001=10,,401000101,30000050=10,,
4010002,疯兔卡片,MonsterCard/UI_MonsterCard_Fengtu.jpg,1,0=24=1|0=55=1|0=53=1,1,,1,30000050=20=21,20000,1,20,0=36=2,,1610002=10,,401000201,30000050=10,,
4010003,小野猪卡片,MonsterCard/UI_MonsterCard_Xiaoyezhu.jpg,1,0=27=5|0=36=5|1=510014001=0,1,,1,30000050=20=21,20000,1,60,0=47=20,,40100030=5,,401000301,30000050=10,,
4010004,曼陀罗魔花卡片,MonsterCard/UI_MonsterCard_Mantuoluomohua.jpg,2,0=192=2000,1,,1,30000050=400=401,400000,2,230,0=192=100,,40100040=5,,401000401,30000050=50,,
4010005,吸血蝙蝠卡片,MonsterCard/UI_MonsterCard_Xixuebianfu.jpg,1,0=27=5|0=36=5|1=510014102=0,1,,1,30000050=20=21,20000,2,30,0=47=20,,40100050=5,,401000501,30000050=10,,
4010006,大嘴鸟蛋卡片,MonsterCard/UI_MonsterCard_Dazuiniaodan.jpg,2,0=207=2000,1,,1,30000050=400=401,400000,1,160,0=207=100,,40100060=5,,401000601,30000050=50,,
4010007,蝎子卡片,MonsterCard/UI_MonsterCard_Xiezi.jpg,2,0=205=2000,1,,1,30000050=400=401,400000,2,210,0=205=100,,40100070=5,,401000701,30000050=50,,
4010008,土波利卡片,MonsterCard/UI_MonsterCard_Tuboli.jpg,1,0=20=1|0=51=3|1=510022283=0,1,,1,30000050=20=21,20000,2,20,0=27=2,,40100080=5,,401000801,30000050=10,,
4010009,狼卡片,MonsterCard/UI_MonsterCard_Lang.jpg,1,0=27=15|0=55=1,1,,1,30000050=100=101,100000,3,100,0=47=50,,40100090=5,,401000901,30000050=50,,
4010010,海葵卡片,MonsterCard/UI_MonsterCard_Haikui.jpg,3,0=203=2000,1,,1,30000051=400=401,2000000,3,390,0=203=200,,40100100=5,,401001001,30000051=50,,
4010011,海盗之王卡片,MonsterCard/UI_MonsterCard_Haidaozhiwang.jpg,4,1=510014910=0|1=510025414=0,1,,1,,,4,480,0=28=300,,40100110=5,,401001101,,,
4010012,青蛇卡片,MonsterCard/UI_MonsterCard_Qingshe.jpg,1,0=36=20,1,,1,30000050=100=101,100000,2,170,0=47=50,,40100120=5,,401001201,30000050=50,,
4010013,螃蟹卡片,MonsterCard/UI_MonsterCard_Pangxie.jpg,2,0=194=2000,1,,1,30000050=400=401,400000,3,270,0=194=100,,40100130=5,,401001301,30000050=50,,
4010014,水母卡片,MonsterCard/UI_MonsterCard_Shuimu.jpg,1,0=27=15|0=36=15|1=510015112=0,1,,1,30000050=100=101,100000,3,90,0=47=50,,40100140=5,,401001401,30000050=50,,
4010015,哥布灵卡片,MonsterCard/UI_MonsterCard_Gebulin.jpg,2,0=202=2000,1,,1,30000050=400=401,400000,3,290,0=202=100,,40100150=5,,401001501,30000050=50,,
4010017,哥布灵首领卡片,MonsterCard/UI_MonsterCard_Gebulinshouling.jpg,2,1=510015213=0|1=510023899=0,1,,1,30000051=400=401,2000000,4,470,0=48=100,,40100170=5,,401001701,30000051=50,,
4010018,巴风特卡片,MonsterCard/UI_MonsterCard_Bafengte.jpg,4,0=51=-10|0=71=500|1=907401=0,1,,1,,,5,350,0=28=300,,40100180=5,,401001801,,,
4010019,白蚁卡片,MonsterCard/UI_MonsterCard_Baiyi.jpg,1,0=27=20,1,,1,30000050=100=101,100000,2,160,0=47=50,,40100190=5,,401001901,30000050=50,,
4010025,弓箭哥布灵卡片,MonsterCard/UI_MonsterCard_Gongjiangebulin.jpg,3,0=59=1000|1=510015617=0,1,,1,30000051=200=201,1000000,3,380,0=57=3,,40100250=5,,401002501,30000051=50,,
4010026,喷射哥布灵卡片,MonsterCard/UI_MonsterCard_Penshegebulin.jpg,3,0=59=1000|1=510015718=0,1,,1,30000051=200=201,1000000,4,320,0=57=3,,40100260=5,,401002601,30000051=50,,
4010027,直升机哥布灵卡片,MonsterCard/UI_MonsterCard_Zhishengjigebulin.jpg,3,0=59=1000|1=510015819=0,1,,1,30000051=200=201,1000000,3,360,0=55=3,,40100270=5,,401002701,30000051=50,,
4010028,沙漠之狼卡片,MonsterCard/UI_MonsterCard_Shamozhilang.jpg,3,0=27=20|0=36=20|0=222=1800,1,,0,,,,,0=47=150,,40100280=5,,401002801,30000051=50,,
4010029,邪骸弓箭手卡片,MonsterCard/UI_MonsterCard_Xiehaigongjianshou.jpg,2,0=249=1000,1,,1,30000051=200=201,1000000,3,370,0=249=100,,40100290=5,,401002901,30000051=50,,
4010030,邪骸士兵卡片,MonsterCard/UI_MonsterCard_Xiehaishibing.jpg,3,0=55=9,1,,1,30000051=200=201,1000000,3,350,0=27=12,,40100300=5,,401003001,30000051=50,,
4010031,黑蛇卡片,MonsterCard/UI_MonsterCard_heishe.jpg,3,1=510019859=0,1,,1,30000051=200=201,1000000,4,380,0=27=12,,40100310=5,,401003101,30000051=50,,
4010032,木乃伊卡片,MonsterCard/UI_MonsterCard_Munaiyi.jpg,1,0=51=20,1,,1,30000050=200=201,200000,3,220,0=47=50,,40100320=5,,401003201,30000050=50,,
4010033,噬人花卡片,MonsterCard/UI_MonsterCard_Shirenhua.jpg,2,0=208=2000,1,,1,30000050=400=401,400000,3,300,0=208=100,,40100330=5,,401003301,30000050=50,,
4010034,蜂兵卡片,MonsterCard/UI_MonsterCard_Fengbing.jpg,1,0=14=2|0=192=500,1,,1,30000050=30=31,30000,3,60,0=27=2,,40100340=5,,401003401,30000050=10,,
4010035,海神卡片,MonsterCard/UI_MonsterCard_Haishen.jpg,2,0=204=2000,1,,1,30000050=400=401,400000,4,300,0=204=100,,40100350=5,,401003501,30000050=50,,
4010036,魔锅蛋卡片,MonsterCard/UI_MonsterCard_Moguodan.jpg,1,0=27=10|0=36=10|1=510016324=0,1,,1,30000050=30=31,30000,3,30,0=27=2,,40100360=5,,401003601,30000050=10,,
4010037,皮里恩卡片,MonsterCard/UI_MonsterCard_Pilien.jpg,4,0=51=100|1=510025616=0,1,,1,,,4,520,0=65=300,,40100370=5,,401003701,,,
4010038,红蝙蝠卡片,MonsterCard/UI_MonsterCard_Hongbianfu.jpg,2,0=195=2000,1,,1,30000050=400=401,400000,3,280,0=195=100,,40100380=5,,401003801,30000050=50,,
4010039,诺可伊卡片,MonsterCard/UI_MonsterCard_Nuokeyi.jpg,1,0=27=25|0=36=25|1=510016627=0,1,,1,30000050=200=201,200000,4,210,0=47=50,,40100390=5,,401003901,30000050=50,,
4010040,米洛斯卡片,MonsterCard/UI_MonsterCard_Miluosi.jpg,3,0=27=20|0=36=20|0=224=1800,1,,1,30000051=400=401,2000000,3,420,0=224=100,,40100400=5,,401004001,30000051=50,,
4010041,变异的小野猪卡片,MonsterCard/UI_MonsterCard_Xiaoyezhu.jpg,1,0=27=7|0=36=7,1,,0,,,,,,,40100410=5,,401004101,30000050=10,,
4010042,邪骸战士卡片,MonsterCard/UI_MonsterCard_Xiehaizhanshi.jpg,1,0=27=10|0=36=10|1=510017839=0,1,,1,30000050=30=31,30000,2,130,0=27=2,,40100420=5,,401004201,30000050=10,,
4010043,浮勒盗虫卡片,MonsterCard/UI_MonsterCard_Fuledaochong.jpg,1,0=18=1|0=53=1|0=27=5,1,,1,30000050=30=31,30000,2,120,0=47=20,,40100430=5,,401004301,30000050=10,,
4010044,漂浮虫卡片,MonsterCard/UI_MonsterCard_Piaofuchong.jpg,1,0=27=15|0=36=15|1=510017940=0,1,,1,30000050=100=101,100000,3,70,0=55=2,,40100440=5,,401004401,30000050=50,,
4010045,兽人女战士卡片,MonsterCard/UI_MonsterCard_Shourennvzhanshi.jpg,2,1=510018041=0,1,,1,30000050=200=201,200000,3,200,0=27=5,,40100450=5,,401004501,30000050=50,,
4010046,邪骸矿工卡片,MonsterCard/UI_MonsterCard_Xiehaikuanggong.jpg,3,0=27=20|0=36=20|0=223=1800,1,,1,30000051=400=401,2000000,4,430,0=223=100,,40100460=5,,401004601,30000051=50,,
4010047,邪骸兽人卡片,MonsterCard/UI_MonsterCard_Xiehaishouren.jpg,2,0=197=2000,1,,1,30000050=400=401,400000,4,290,0=197=100,,40100470=5,,401004701,30000050=50,,
4010048,兹诺克卡片,MonsterCard/UI_MonsterCard_Zinuoke.jpg,1,0=27=10|0=36=10|1=510018142=0,1,,1,30000050=30=31,30000,4,20,0=27=2,,40100480=5,,401004801,30000050=10,,
4010049,重金属蝗虫卡片,MonsterCard/UI_MonsterCard_Jinshuhuangchong.jpg,1,0=27=25|0=36=25|1=510018243=0,1,,1,30000050=200=201,200000,3,240,0=47=50,,40100490=5,,401004901,30000050=50,,
4010050,巨象甲虫卡片,MonsterCard/UI_MonsterCard_Juxiangjiachong.jpg,1,0=208=500|1=510018344=0,1,,1,30000050=30=31,30000,4,10,0=47=20,,40100500=5,,401005001,30000050=10,,
